feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7899790,TSSK3,gene_assignment,True
7899795,,,False
7899797,ZBTB8B,gene_assignment,True
7899811,,,False
7899813,RBBP4,gene_assignment,True
7899821,KIAA1522,gene_assignment,True
7899829,S100PBP,gene_assignment,True
7899841,HPCA,gene_assignment,True
7899849,,,False
7899851,ADC,gene_assignment,True
7899870,ZNF362,gene_assignment,True
7899882,,,False
7899884,ZSCAN20,gene_assignment,True
7899898,HMGB4,gene_assignment,True
7899905,HMGB4,gene_assignment,True
7899909,,,False
7899911,C1ORF94,gene_assignment,True
7899921,GJB5,gene_assignment,True
7899927,GJB4,gene_assignment,True
7899932,GJB3,gene_assignment,True
7899939,GJA4,gene_assignment,True
7899943,ZMYM1,gene_assignment,True
7899955,,,False
7899957,ZMYM4,gene_assignment,True
7899988,,,False
7899990,NCDN,gene_assignment,True
7900001,TFAP2E,gene_assignment,True
7900009,EIF2C4,gene_assignment,True
7900030,EIF2C1,gene_assignment,True
7900051,EIF2C3,gene_assignment,True
7900076,TEKT2,gene_assignment,True
7900087,ADPRHL2,gene_assignment,True
7900095,MAP7D1,gene_assignment,True
7900119,THRAP3,gene_assignment,True
7900129,C1ORF113,gene_assignment,True
7900144,,,False
7900146,ZC3H12A,gene_assignment,True
7900157,RPS27,gene_assignment,True
7900159,DNALI1,gene_assignment,True
7900167,CDCA8,gene_assignment,True
7900181,,,False
7900183,MANEAL,gene_assignment,True
7900192,C1ORF122,gene_assignment,True
7900197,,,False
7900201,UTP11L,gene_assignment,True
7900212,,,False
7900214,,,False
7900216,AKIRIN1,gene_assignment,True
7900228,NDUFS5,gene_assignment,True
7900235,MACF1,gene_assignment,True
7900336,AK023285,gene_assignment,True
7900340,BMP8A,gene_assignment,True
7900352,OXCT2,gene_assignment,True
7900354,PPIE,gene_assignment,True
7900365,MFSD2A,gene_assignment,True
7900382,CAP1,gene_assignment,True
7900395,RLF,gene_assignment,True
7900405,,,False
7900407,,,False
7900409,TMCO2,gene_assignment,True
7900413,ZMPSTE24,gene_assignment,True
7900426,SMAP2,gene_assignment,True
7900438,ZNF643,gene_assignment,True
7900446,ZNF642,gene_assignment,True
7900454,DEM1,gene_assignment,True
7900461,ZNF684,gene_assignment,True
7900468,NFYC,gene_assignment,True
7900488,MIR30E,gene_assignment,True
7900490,MIR30C1,gene_assignment,True
7900492,KCNQ4,gene_assignment,True
7900508,,,False
7900510,CTPS,gene_assignment,True
