gse_id,level,gsm_id,file_url_or_value,looks_useful_for_expression
GSE57338,sample,GSM1379893,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379893/suppl/GSM1379893_C00138_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379894,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379894/suppl/GSM1379894_C00133_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379895,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379895/suppl/GSM1379895_C00109_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379896,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379896/suppl/GSM1379896_C00115_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379897,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379897/suppl/GSM1379897_C00060_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379898,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379898/suppl/GSM1379898_C00064_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379899,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379899/suppl/GSM1379899_C00101_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379900,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379900/suppl/GSM1379900_C00102_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379901,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379901/suppl/GSM1379901_C00104_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379902,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379902/suppl/GSM1379902_C00118_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379903,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379903/suppl/GSM1379903_C00120_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379904,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379904/suppl/GSM1379904_C00121_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379905,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379905/suppl/GSM1379905_C00122_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379906,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379906/suppl/GSM1379906_C00127_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379907,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379907/suppl/GSM1379907_C00150_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379908,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379908/suppl/GSM1379908_C00151_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379909,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379909/suppl/GSM1379909_C00119_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379910,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379910/suppl/GSM1379910_C00170_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379911,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379911/suppl/GSM1379911_C00153_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379912,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379912/suppl/GSM1379912_C00157_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379913,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379913/suppl/GSM1379913_C00162_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379914,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379914/suppl/GSM1379914_C00163_HuGene1.1ST.CEL.gz,True
