feature_id,missing_n,mean_expression,sd_expression
ABHD12B,0,6.061148619351722,0.07554520811752768
ABHD13,0,6.273211503468966,0.09926030156451618
ABHD14A,0,8.313014578413789,0.3114964379158735
ABHD14B,0,6.672094311427587,0.2241808771644723
ABHD2,0,6.619926588048272,0.27047629967450376
ABHD3,0,6.652456609206895,0.1644236221748381
ABHD4,0,6.730575280172414,0.1781767853441522
ABHD5,0,7.570944914296552,0.48467512067624846
ABHD6,0,6.921285730634483,0.19700461989370793
ABHD7,0,6.250488293786206,0.25779669940442346
ABHD8,0,8.414383612951724,0.23859143267686198
ABHD9,0,6.287538411393105,0.14210413608381775
ABI1,0,6.934380531468964,0.28213320490355415
ABI2,0,7.114610152848277,0.12053865301186673
ABI3,0,6.756676406310344,0.24613065985921523
ABI3BP,0,7.8283006757655205,0.5199801207260151
ABL1,0,7.688130068,0.23005442691840575
ABL2,0,6.19813227230345,0.09313715974138487
ABLIM1,0,11.51719504441379,0.27388617386746755
ABLIM2,0,8.104624138910346,0.42297256657315624
ABLIM3,0,8.371579327517239,0.40639066537611235
ABO,0,6.026852302882757,0.12445095366759738
ABP1,0,6.1697962482758655,0.16287371209566653
ABR,0,9.423814026517242,0.26711280815912486
ABRA,0,6.976317440468964,0.5488963374545739
ABT1,0,6.2473163617172425,0.229386295658282
ABTB1,0,8.236085575599999,0.3206409895810374
ABTB2,0,7.1048910908068965,0.3013228296433384
ACAA1,0,9.35800231210345,0.3243612049877503
ACAA2,0,9.827599795613791,0.33755808399774967
ACACA,0,7.698879526351722,0.195060373276471
ACACB,0,10.129396186434478,0.4583531739880999
ACAD10,0,8.040753275379313,0.3644415315546284
ACAD11,0,9.555355242420692,0.3304811821846259
ACAD8,0,8.349217809627579,0.2932971244133397
ACAD9,0,8.411520852800003,0.187481943841644
ACADL,0,6.239126315834481,0.2358489935528944
ACADM,0,11.83484408793103,0.3850446873762351
ACADS,0,8.511004473489654,0.3090338055740551
ACADSB,0,7.264317724772417,0.3594869542501843
ACADVL,0,11.599036037517246,0.30987854095701606
ACAN,0,5.952898924668968,0.12838563558467217
ACAP1,0,6.566166921324135,0.18013776658631425
ACAP3,0,6.293823320717246,0.20249611337692078
ACAT1,0,12.844781216413791,0.332619221915263
ACAT2,0,6.953012023282758,0.22358840554018314
