gse_id,level,gsm_id,file_url_or_value
GSE249925,sample,GSM7967185,NONE
GSE249925,sample,GSM7967186,NONE
GSE249925,sample,GSM7967187,NONE
GSE249925,sample,GSM7967188,NONE
GSE249925,sample,GSM7967189,NONE
GSE249925,sample,GSM7967190,NONE
GSE249925,sample,GSM7967191,NONE
GSE249925,sample,GSM7967192,NONE
GSE249925,sample,GSM7967193,NONE
GSE249925,sample,GSM7967194,NONE
GSE249925,sample,GSM7967195,NONE
GSE249925,sample,GSM7967196,NONE
GSE249925,sample,GSM7967197,NONE
GSE249925,sample,GSM7967198,NONE
GSE249925,sample,GSM7967199,NONE
GSE249925,sample,GSM7967200,NONE
GSE249925,sample,GSM7967201,NONE
GSE249925,sample,GSM7967202,NONE
GSE249925,sample,GSM7967203,NONE
GSE249925,sample,GSM7967204,NONE
GSE249925,sample,GSM7967205,NONE
GSE249925,sample,GSM7967206,NONE
GSE249925,sample,GSM7967207,NONE
GSE249925,sample,GSM7967208,NONE
GSE249925,sample,GSM7967209,NONE
GSE249925,sample,GSM7967210,NONE
GSE249925,sample,GSM7967211,NONE
GSE249925,sample,GSM7967212,NONE
GSE249925,sample,GSM7967213,NONE
GSE249925,sample,GSM7967214,NONE
GSE249925,sample,GSM7967215,NONE
GSE249925,sample,GSM7967216,NONE
GSE249925,sample,GSM7967217,NONE
GSE249925,sample,GSM7967218,NONE
GSE249925,sample,GSM7967219,NONE
GSE249925,sample,GSM7967220,NONE
GSE249925,sample,GSM7967221,NONE
GSE249925,sample,GSM7967222,NONE
GSE249925,sample,GSM7967223,NONE
GSE249925,sample,GSM7967224,NONE
GSE249925,sample,GSM7967225,NONE
GSE249925,sample,GSM7967226,NONE
GSE249925,sample,GSM7967227,NONE
GSE249925,sample,GSM7967228,NONE
GSE249925,sample,GSM7967229,NONE
GSE249925,sample,GSM7967230,NONE
GSE249925,sample,GSM7967231,NONE
GSE249925,sample,GSM7967232,NONE
GSE249925,sample,GSM7967233,NONE
GSE249925,sample,GSM7967234,NONE
GSE249925,sample,GSM7967235,NONE
GSE249925,sample,GSM7967236,NONE
GSE249925,sample,GSM7967237,NONE
GSE249925,sample,GSM7967238,NONE
GSE249925,sample,GSM7967239,NONE
GSE249925,sample,GSM7967240,NONE
GSE249925,sample,GSM7967241,NONE
GSE249925,sample,GSM7967242,NONE
GSE249925,sample,GSM7967243,NONE
GSE249925,sample,GSM7967244,NONE
GSE249925,sample,GSM7967245,NONE
GSE249925,sample,GSM7967246,NONE
GSE249925,sample,GSM7967247,NONE
GSE249925,sample,GSM7967248,NONE
GSE249925,sample,GSM7967249,NONE
GSE249925,sample,GSM7967250,NONE
GSE249925,sample,GSM7967251,NONE
GSE249925,sample,GSM7967252,NONE
GSE249925,sample,GSM7967253,NONE
GSE249925,sample,GSM7967254,NONE
GSE249925,sample,GSM7967255,NONE
GSE249925,sample,GSM7967256,NONE
GSE249925,sample,GSM7967257,NONE
GSE249925,sample,GSM7967258,NONE
GSE249925,sample,GSM7967259,NONE
GSE249925,sample,GSM7967260,NONE
GSE249925,sample,GSM7967261,NONE
GSE249925,sample,GSM7967262,NONE
GSE249925,sample,GSM7967263,NONE
GSE249925,sample,GSM7967264,NONE
GSE249925,sample,GSM7967265,NONE
GSE249925,sample,GSM7967266,NONE
GSE249925,sample,GSM7967267,NONE
GSE249925,sample,GSM7967268,NONE
GSE249925,sample,GSM7967269,NONE
GSE249925,sample,GSM7967270,NONE
GSE249925,sample,GSM7967271,NONE
GSE249925,sample,GSM7967272,NONE
GSE249925,sample,GSM7967273,NONE
GSE249925,sample,GSM7967274,NONE
GSE249925,sample,GSM7967275,NONE
GSE249925,sample,GSM7967276,NONE
GSE249925,sample,GSM7967277,NONE
GSE249925,sample,GSM7967278,NONE
GSE249925,sample,GSM7967279,NONE
GSE249925,sample,GSM7967280,NONE
GSE249925,sample,GSM7967281,NONE
GSE249925,sample,GSM7967282,NONE
GSE141910,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141910/suppl/GSE141910_RAW.tar
GSE141910,sample,GSM4215858,NONE
GSE141910,sample,GSM4215859,NONE
GSE141910,sample,GSM4215860,NONE
GSE141910,sample,GSM4215861,NONE
GSE141910,sample,GSM4215862,NONE
GSE141910,sample,GSM4215863,NONE
GSE141910,sample,GSM4215864,NONE
GSE141910,sample,GSM4215865,NONE
GSE141910,sample,GSM4215866,NONE
GSE141910,sample,GSM4215867,NONE
GSE141910,sample,GSM4215868,NONE
GSE141910,sample,GSM4215869,NONE
GSE141910,sample,GSM4215870,NONE
GSE141910,sample,GSM4215871,NONE
GSE141910,sample,GSM4215872,NONE
GSE141910,sample,GSM4215873,NONE
GSE141910,sample,GSM4215874,NONE
GSE141910,sample,GSM4215875,NONE
GSE141910,sample,GSM4215876,NONE
GSE141910,sample,GSM4215877,NONE
GSE141910,sample,GSM4215878,NONE
GSE141910,sample,GSM4215879,NONE
GSE141910,sample,GSM4215880,NONE
GSE141910,sample,GSM4215881,NONE
GSE141910,sample,GSM4215882,NONE
GSE141910,sample,GSM4215883,NONE
GSE141910,sample,GSM4215884,NONE
GSE141910,sample,GSM4215885,NONE
GSE141910,sample,GSM4215886,NONE
GSE141910,sample,GSM4215887,NONE
GSE141910,sample,GSM4215888,NONE
GSE141910,sample,GSM4215889,NONE
GSE141910,sample,GSM4215890,NONE
GSE141910,sample,GSM4215891,NONE
GSE141910,sample,GSM4215892,NONE
GSE141910,sample,GSM4215893,NONE
GSE141910,sample,GSM4215894,NONE
GSE141910,sample,GSM4215895,NONE
GSE141910,sample,GSM4215896,NONE
GSE141910,sample,GSM4215897,NONE
GSE141910,sample,GSM4215898,NONE
GSE141910,sample,GSM4215899,NONE
GSE141910,sample,GSM4215900,NONE
GSE141910,sample,GSM4215901,NONE
GSE141910,sample,GSM4215902,NONE
GSE141910,sample,GSM4215903,NONE
GSE141910,sample,GSM4215904,NONE
GSE141910,sample,GSM4215905,NONE
GSE141910,sample,GSM4215906,NONE
GSE141910,sample,GSM4215907,NONE
GSE141910,sample,GSM4215908,NONE
GSE141910,sample,GSM4215909,NONE
GSE141910,sample,GSM4215910,NONE
GSE141910,sample,GSM4215911,NONE
GSE141910,sample,GSM4215912,NONE
GSE141910,sample,GSM4215913,NONE
GSE141910,sample,GSM4215914,NONE
GSE141910,sample,GSM4215915,NONE
GSE141910,sample,GSM4215916,NONE
GSE141910,sample,GSM4215917,NONE
GSE141910,sample,GSM4215918,NONE
GSE141910,sample,GSM4215919,NONE
GSE141910,sample,GSM4215920,NONE
GSE141910,sample,GSM4215921,NONE
GSE141910,sample,GSM4215922,NONE
GSE141910,sample,GSM4215923,NONE
GSE141910,sample,GSM4215924,NONE
GSE141910,sample,GSM4215925,NONE
GSE141910,sample,GSM4215926,NONE
GSE141910,sample,GSM4215927,NONE
GSE141910,sample,GSM4215928,NONE
GSE141910,sample,GSM4215929,NONE
GSE141910,sample,GSM4215930,NONE
GSE141910,sample,GSM4215931,NONE
GSE141910,sample,GSM4215932,NONE
GSE141910,sample,GSM4215933,NONE
GSE141910,sample,GSM4215934,NONE
GSE141910,sample,GSM4215935,NONE
GSE141910,sample,GSM4215936,NONE
GSE141910,sample,GSM4215937,NONE
GSE141910,sample,GSM4215938,NONE
GSE141910,sample,GSM4215939,NONE
GSE141910,sample,GSM4215940,NONE
GSE141910,sample,GSM4215941,NONE
GSE141910,sample,GSM4215942,NONE
GSE141910,sample,GSM4215943,NONE
GSE141910,sample,GSM4215944,NONE
GSE141910,sample,GSM4215945,NONE
GSE141910,sample,GSM4215946,NONE
GSE141910,sample,GSM4215947,NONE
GSE141910,sample,GSM4215948,NONE
GSE141910,sample,GSM4215949,NONE
GSE141910,sample,GSM4215950,NONE
GSE141910,sample,GSM4215951,NONE
GSE141910,sample,GSM4215952,NONE
GSE141910,sample,GSM4215953,NONE
GSE141910,sample,GSM4215954,NONE
GSE141910,sample,GSM4215955,NONE
GSE141910,sample,GSM4215956,NONE
GSE141910,sample,GSM4215957,NONE
GSE141910,sample,GSM4215958,NONE
GSE141910,sample,GSM4215959,NONE
GSE141910,sample,GSM4215960,NONE
GSE141910,sample,GSM4215961,NONE
GSE141910,sample,GSM4215962,NONE
GSE141910,sample,GSM4215963,NONE
GSE141910,sample,GSM4215964,NONE
GSE141910,sample,GSM4215965,NONE
GSE141910,sample,GSM4215966,NONE
GSE141910,sample,GSM4215967,NONE
GSE141910,sample,GSM4215968,NONE
GSE141910,sample,GSM4215969,NONE
GSE141910,sample,GSM4215970,NONE
GSE141910,sample,GSM4215971,NONE
GSE141910,sample,GSM4215972,NONE
GSE141910,sample,GSM4215973,NONE
GSE141910,sample,GSM4215974,NONE
GSE141910,sample,GSM4215975,NONE
GSE141910,sample,GSM4215976,NONE
GSE141910,sample,GSM4215977,NONE
GSE141910,sample,GSM4215978,NONE
GSE141910,sample,GSM4215979,NONE
GSE141910,sample,GSM4215980,NONE
GSE141910,sample,GSM4215981,NONE
GSE141910,sample,GSM4215982,NONE
GSE141910,sample,GSM4215983,NONE
GSE141910,sample,GSM4215984,NONE
GSE141910,sample,GSM4215985,NONE
GSE141910,sample,GSM4215986,NONE
GSE141910,sample,GSM4215987,NONE
GSE141910,sample,GSM4215988,NONE
GSE141910,sample,GSM4215989,NONE
GSE141910,sample,GSM4215990,NONE
GSE141910,sample,GSM4215991,NONE
GSE141910,sample,GSM4215992,NONE
GSE141910,sample,GSM4215993,NONE
GSE141910,sample,GSM4215994,NONE
GSE141910,sample,GSM4215995,NONE
GSE141910,sample,GSM4215996,NONE
GSE141910,sample,GSM4215997,NONE
GSE141910,sample,GSM4215998,NONE
GSE141910,sample,GSM4215999,NONE
GSE141910,sample,GSM4216000,NONE
GSE141910,sample,GSM4216001,NONE
GSE141910,sample,GSM4216002,NONE
GSE141910,sample,GSM4216003,NONE
GSE141910,sample,GSM4216004,NONE
GSE141910,sample,GSM4216005,NONE
GSE141910,sample,GSM4216006,NONE
GSE141910,sample,GSM4216007,NONE
GSE141910,sample,GSM4216008,NONE
GSE141910,sample,GSM4216009,NONE
GSE141910,sample,GSM4216010,NONE
GSE141910,sample,GSM4216011,NONE
GSE141910,sample,GSM4216012,NONE
GSE141910,sample,GSM4216013,NONE
GSE141910,sample,GSM4216014,NONE
GSE141910,sample,GSM4216015,NONE
GSE141910,sample,GSM4216016,NONE
GSE141910,sample,GSM4216017,NONE
GSE141910,sample,GSM4216018,NONE
GSE141910,sample,GSM4216019,NONE
GSE141910,sample,GSM4216020,NONE
GSE141910,sample,GSM4216021,NONE
GSE141910,sample,GSM4216022,NONE
GSE141910,sample,GSM4216023,NONE
GSE141910,sample,GSM4216024,NONE
GSE141910,sample,GSM4216025,NONE
GSE141910,sample,GSM4216026,NONE
GSE141910,sample,GSM4216027,NONE
GSE141910,sample,GSM4216028,NONE
GSE141910,sample,GSM4216029,NONE
GSE141910,sample,GSM4216030,NONE
GSE141910,sample,GSM4216031,NONE
GSE141910,sample,GSM4216032,NONE
GSE141910,sample,GSM4216033,NONE
GSE141910,sample,GSM4216034,NONE
GSE141910,sample,GSM4216035,NONE
GSE141910,sample,GSM4216036,NONE
GSE141910,sample,GSM4216037,NONE
GSE141910,sample,GSM4216038,NONE
GSE141910,sample,GSM4216039,NONE
GSE141910,sample,GSM4216040,NONE
GSE141910,sample,GSM4216041,NONE
GSE141910,sample,GSM4216042,NONE
GSE141910,sample,GSM4216043,NONE
GSE141910,sample,GSM4216044,NONE
GSE141910,sample,GSM4216045,NONE
GSE141910,sample,GSM4216046,NONE
GSE141910,sample,GSM4216047,NONE
GSE141910,sample,GSM4216048,NONE
GSE141910,sample,GSM4216049,NONE
GSE141910,sample,GSM4216050,NONE
GSE141910,sample,GSM4216051,NONE
GSE141910,sample,GSM4216052,NONE
GSE141910,sample,GSM4216053,NONE
GSE141910,sample,GSM4216054,NONE
GSE141910,sample,GSM4216055,NONE
GSE141910,sample,GSM4216056,NONE
GSE141910,sample,GSM4216057,NONE
GSE141910,sample,GSM4216058,NONE
GSE141910,sample,GSM4216059,NONE
GSE141910,sample,GSM4216060,NONE
GSE141910,sample,GSM4216061,NONE
GSE141910,sample,GSM4216062,NONE
GSE141910,sample,GSM4216063,NONE
GSE141910,sample,GSM4216064,NONE
GSE141910,sample,GSM4216065,NONE
GSE141910,sample,GSM4216066,NONE
GSE141910,sample,GSM4216067,NONE
GSE141910,sample,GSM4216068,NONE
GSE141910,sample,GSM4216069,NONE
GSE141910,sample,GSM4216070,NONE
GSE141910,sample,GSM4216071,NONE
GSE141910,sample,GSM4216072,NONE
GSE141910,sample,GSM4216073,NONE
GSE141910,sample,GSM4216074,NONE
GSE141910,sample,GSM4216075,NONE
GSE141910,sample,GSM4216076,NONE
GSE141910,sample,GSM4216077,NONE
GSE141910,sample,GSM4216078,NONE
GSE141910,sample,GSM4216079,NONE
GSE141910,sample,GSM4216080,NONE
GSE141910,sample,GSM4216081,NONE
GSE141910,sample,GSM4216082,NONE
GSE141910,sample,GSM4216083,NONE
GSE141910,sample,GSM4216084,NONE
GSE141910,sample,GSM4216085,NONE
GSE141910,sample,GSM4216086,NONE
GSE141910,sample,GSM4216087,NONE
GSE141910,sample,GSM4216088,NONE
GSE141910,sample,GSM4216089,NONE
GSE141910,sample,GSM4216090,NONE
GSE141910,sample,GSM4216091,NONE
GSE141910,sample,GSM4216092,NONE
GSE141910,sample,GSM4216093,NONE
GSE141910,sample,GSM4216094,NONE
GSE141910,sample,GSM4216095,NONE
GSE141910,sample,GSM4216096,NONE
GSE141910,sample,GSM4216097,NONE
GSE141910,sample,GSM4216098,NONE
GSE141910,sample,GSM4216099,NONE
GSE141910,sample,GSM4216100,NONE
GSE141910,sample,GSM4216101,NONE
GSE141910,sample,GSM4216102,NONE
GSE141910,sample,GSM4216103,NONE
GSE141910,sample,GSM4216104,NONE
GSE141910,sample,GSM4216105,NONE
GSE141910,sample,GSM4216106,NONE
GSE141910,sample,GSM4216107,NONE
GSE141910,sample,GSM4216108,NONE
GSE141910,sample,GSM4216109,NONE
GSE141910,sample,GSM4216110,NONE
GSE141910,sample,GSM4216111,NONE
GSE141910,sample,GSM4216112,NONE
GSE141910,sample,GSM4216113,NONE
GSE141910,sample,GSM4216114,NONE
GSE141910,sample,GSM4216115,NONE
GSE141910,sample,GSM4216116,NONE
GSE141910,sample,GSM4216117,NONE
GSE141910,sample,GSM4216118,NONE
GSE141910,sample,GSM4216119,NONE
GSE141910,sample,GSM4216120,NONE
GSE141910,sample,GSM4216121,NONE
GSE141910,sample,GSM4216122,NONE
GSE141910,sample,GSM4216123,NONE
GSE141910,sample,GSM4216124,NONE
GSE141910,sample,GSM4216125,NONE
GSE141910,sample,GSM4216126,NONE
GSE141910,sample,GSM4216127,NONE
GSE141910,sample,GSM4216128,NONE
GSE141910,sample,GSM4216129,NONE
GSE141910,sample,GSM4216130,NONE
GSE141910,sample,GSM4216131,NONE
GSE141910,sample,GSM4216132,NONE
GSE141910,sample,GSM4216133,NONE
GSE141910,sample,GSM4216134,NONE
GSE141910,sample,GSM4216135,NONE
GSE141910,sample,GSM4216136,NONE
GSE141910,sample,GSM4216137,NONE
GSE141910,sample,GSM4216138,NONE
GSE141910,sample,GSM4216139,NONE
GSE141910,sample,GSM4216140,NONE
GSE141910,sample,GSM4216141,NONE
GSE141910,sample,GSM4216142,NONE
GSE141910,sample,GSM4216143,NONE
GSE141910,sample,GSM4216144,NONE
GSE141910,sample,GSM4216145,NONE
GSE141910,sample,GSM4216146,NONE
GSE141910,sample,GSM4216147,NONE
GSE141910,sample,GSM4216148,NONE
GSE141910,sample,GSM4216149,NONE
GSE141910,sample,GSM4216150,NONE
GSE141910,sample,GSM4216151,NONE
GSE141910,sample,GSM4216152,NONE
GSE141910,sample,GSM4216153,NONE
GSE141910,sample,GSM4216154,NONE
GSE141910,sample,GSM4216155,NONE
GSE141910,sample,GSM4216156,NONE
GSE141910,sample,GSM4216157,NONE
GSE141910,sample,GSM4216158,NONE
GSE141910,sample,GSM4216159,NONE
GSE141910,sample,GSM4216160,NONE
GSE141910,sample,GSM4216161,NONE
GSE141910,sample,GSM4216162,NONE
GSE141910,sample,GSM4216163,NONE
GSE141910,sample,GSM4216164,NONE
GSE141910,sample,GSM4216165,NONE
GSE141910,sample,GSM4216166,NONE
GSE141910,sample,GSM4216167,NONE
GSE141910,sample,GSM4216168,NONE
GSE141910,sample,GSM4216169,NONE
GSE141910,sample,GSM4216170,NONE
GSE141910,sample,GSM4216171,NONE
GSE141910,sample,GSM4216172,NONE
GSE141910,sample,GSM4216173,NONE
GSE141910,sample,GSM4216174,NONE
GSE141910,sample,GSM4216175,NONE
GSE141910,sample,GSM4216176,NONE
GSE141910,sample,GSM4216177,NONE
GSE141910,sample,GSM4216178,NONE
GSE141910,sample,GSM4216179,NONE
GSE141910,sample,GSM4216180,NONE
GSE141910,sample,GSM4216181,NONE
GSE141910,sample,GSM4216182,NONE
GSE141910,sample,GSM4216183,NONE
GSE141910,sample,GSM4216184,NONE
GSE141910,sample,GSM4216185,NONE
GSE141910,sample,GSM4216186,NONE
GSE141910,sample,GSM4216187,NONE
GSE141910,sample,GSM4216188,NONE
GSE141910,sample,GSM4216189,NONE
GSE141910,sample,GSM4216190,NONE
GSE141910,sample,GSM4216191,NONE
GSE141910,sample,GSM4216192,NONE
GSE141910,sample,GSM4216193,NONE
GSE141910,sample,GSM4216194,NONE
GSE141910,sample,GSM4216195,NONE
GSE141910,sample,GSM4216196,NONE
GSE141910,sample,GSM4216197,NONE
GSE141910,sample,GSM4216198,NONE
GSE141910,sample,GSM4216199,NONE
GSE141910,sample,GSM4216200,NONE
GSE141910,sample,GSM4216201,NONE
GSE141910,sample,GSM4216202,NONE
GSE141910,sample,GSM4216203,NONE
GSE141910,sample,GSM4216204,NONE
GSE141910,sample,GSM4216205,NONE
GSE141910,sample,GSM4216206,NONE
GSE141910,sample,GSM4216207,NONE
GSE141910,sample,GSM4216208,NONE
GSE141910,sample,GSM4216209,NONE
GSE141910,sample,GSM4216210,NONE
GSE141910,sample,GSM4216211,NONE
GSE141910,sample,GSM4216212,NONE
GSE141910,sample,GSM4216213,NONE
GSE141910,sample,GSM4216214,NONE
GSE141910,sample,GSM4216215,NONE
GSE141910,sample,GSM4216216,NONE
GSE141910,sample,GSM4216217,NONE
GSE141910,sample,GSM4216218,NONE
GSE141910,sample,GSM4216219,NONE
GSE141910,sample,GSM4216221,NONE
GSE141910,sample,GSM4216224,NONE
GSE141910,sample,GSM4216226,NONE
GSE141910,sample,GSM4216228,NONE
GSE160997,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160997/suppl/GSE160997_RAW.tar
GSE160997,sample,GSM4887610,NONE
GSE160997,sample,GSM4887611,NONE
GSE160997,sample,GSM4887612,NONE
GSE160997,sample,GSM4887613,NONE
GSE160997,sample,GSM4887614,NONE
GSE160997,sample,GSM4887615,NONE
GSE160997,sample,GSM4887616,NONE
GSE160997,sample,GSM4887617,NONE
GSE160997,sample,GSM4887618,NONE
GSE160997,sample,GSM4887619,NONE
GSE160997,sample,GSM4887620,NONE
GSE160997,sample,GSM4887621,NONE
GSE160997,sample,GSM4887622,NONE
GSE160997,sample,GSM4887623,NONE
GSE160997,sample,GSM4887624,NONE
GSE160997,sample,GSM4887625,NONE
GSE160997,sample,GSM4887626,NONE
GSE160997,sample,GSM4887627,NONE
GSE160997,sample,GSM4887628,NONE
GSE160997,sample,GSM4887629,NONE
GSE160997,sample,GSM4887630,NONE
GSE160997,sample,GSM4887631,NONE
GSE160997,sample,GSM4887632,NONE
GSE160997,sample,GSM4887633,NONE
GSE160997,sample,GSM4887634,NONE
GSE160997,sample,GSM4887635,NONE
GSE160997,sample,GSM4887636,NONE
GSE160997,sample,GSM4887637,NONE
GSE160997,sample,GSM4887638,NONE
GSE160997,sample,GSM4887639,NONE
GSE160997,sample,GSM4887640,NONE
GSE160997,sample,GSM4887641,NONE
GSE160997,sample,GSM4887642,NONE
GSE160997,sample,GSM4887643,NONE
GSE160997,sample,GSM4887644,NONE
GSE160997,sample,GSM4887645,NONE
GSE160997,sample,GSM4887646,NONE
GSE160997,sample,GSM4887647,NONE
GSE160997,sample,GSM4887648,NONE
GSE160997,sample,GSM4887649,NONE
GSE160997,sample,GSM4887650,NONE
GSE57338,series,,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57338/suppl/GSE57338_RAW.tar
GSE57338,sample,GSM1379812,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379812/suppl/GSM1379812_C02065_HuGene1.1ST.CEL.gz
GSE57338,sample,GSM1379813,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379813/suppl/GSM1379813_C02066_HuGene1.1ST.CEL.gz
GSE57338,sample,GSM1379814,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379814/suppl/GSM1379814_C02070_HuGene1.1ST.CEL.gz
