member_name,filename,gsm_id_from_filename,sample_code_from_filename,size_bytes
GSM4215882_C01783.csv.gz,GSM4215882_C01783.csv.gz,GSM4215882,C01783,163387
GSM4215883_C01794.csv.gz,GSM4215883_C01794.csv.gz,GSM4215883,C01794,160924
GSM4215884_C01809.csv.gz,GSM4215884_C01809.csv.gz,GSM4215884,C01809,161462
GSM4215885_C01814.csv.gz,GSM4215885_C01814.csv.gz,GSM4215885,C01814,167760
GSM4215886_C01816.csv.gz,GSM4215886_C01816.csv.gz,GSM4215886,C01816,164023
GSM4215887_C01862.csv.gz,GSM4215887_C01862.csv.gz,GSM4215887,C01862,178434
GSM4215888_C01875.csv.gz,GSM4215888_C01875.csv.gz,GSM4215888,C01875,164472
GSM4215889_C01881.csv.gz,GSM4215889_C01881.csv.gz,GSM4215889,C01881,166917
GSM4215890_C01895.csv.gz,GSM4215890_C01895.csv.gz,GSM4215890,C01895,172875
GSM4215891_C01902.csv.gz,GSM4215891_C01902.csv.gz,GSM4215891,C01902,170227
GSM4215892_C01904.csv.gz,GSM4215892_C01904.csv.gz,GSM4215892,C01904,162622
GSM4215893_C01905.csv.gz,GSM4215893_C01905.csv.gz,GSM4215893,C01905,164668
GSM4215894_C01910.csv.gz,GSM4215894_C01910.csv.gz,GSM4215894,C01910,162364
GSM4215895_C01912.csv.gz,GSM4215895_C01912.csv.gz,GSM4215895,C01912,165075
GSM4215896_C01914.csv.gz,GSM4215896_C01914.csv.gz,GSM4215896,C01914,157607
GSM4215897_C01926.csv.gz,GSM4215897_C01926.csv.gz,GSM4215897,C01926,165257
GSM4215898_C01929.csv.gz,GSM4215898_C01929.csv.gz,GSM4215898,C01929,160545
GSM4215899_C01931.csv.gz,GSM4215899_C01931.csv.gz,GSM4215899,C01931,163198
GSM4215900_C01945.csv.gz,GSM4215900_C01945.csv.gz,GSM4215900,C01945,158338
GSM4215901_C01952.csv.gz,GSM4215901_C01952.csv.gz,GSM4215901,C01952,149275
GSM4215902_C01957.csv.gz,GSM4215902_C01957.csv.gz,GSM4215902,C01957,168141
GSM4215903_C01960.csv.gz,GSM4215903_C01960.csv.gz,GSM4215903,C01960,156611
GSM4215904_C01997.csv.gz,GSM4215904_C01997.csv.gz,GSM4215904,C01997,167878
GSM4215905_C02014.csv.gz,GSM4215905_C02014.csv.gz,GSM4215905,C02014,161097
GSM4215906_C02018.csv.gz,GSM4215906_C02018.csv.gz,GSM4215906,C02018,153992
GSM4215907_C02022.csv.gz,GSM4215907_C02022.csv.gz,GSM4215907,C02022,156843
GSM4215908_C02029.csv.gz,GSM4215908_C02029.csv.gz,GSM4215908,C02029,162568
GSM4215909_C02045.csv.gz,GSM4215909_C02045.csv.gz,GSM4215909,C02045,159234
GSM4215910_C02050.csv.gz,GSM4215910_C02050.csv.gz,GSM4215910,C02050,170364
GSM4215911_C02054.csv.gz,GSM4215911_C02054.csv.gz,GSM4215911,C02054,164107
GSM4215912_C02056.csv.gz,GSM4215912_C02056.csv.gz,GSM4215912,C02056,153820
GSM4215913_C02058.csv.gz,GSM4215913_C02058.csv.gz,GSM4215913,C02058,165652
GSM4215914_C02065.csv.gz,GSM4215914_C02065.csv.gz,GSM4215914,C02065,158642
GSM4215915_C02067.csv.gz,GSM4215915_C02067.csv.gz,GSM4215915,C02067,165760
GSM4215916_C02069.csv.gz,GSM4215916_C02069.csv.gz,GSM4215916,C02069,172602
GSM4215917_C02080.csv.gz,GSM4215917_C02080.csv.gz,GSM4215917,C02080,162841
GSM4215918_C02081.csv.gz,GSM4215918_C02081.csv.gz,GSM4215918,C02081,156383
GSM4215919_C02085.csv.gz,GSM4215919_C02085.csv.gz,GSM4215919,C02085,161699
GSM4215920_C02095.csv.gz,GSM4215920_C02095.csv.gz,GSM4215920,C02095,160161
GSM4215921_C02096.csv.gz,GSM4215921_C02096.csv.gz,GSM4215921,C02096,165583
GSM4215922_C02101.csv.gz,GSM4215922_C02101.csv.gz,GSM4215922,C02101,159125
GSM4215923_C02108.csv.gz,GSM4215923_C02108.csv.gz,GSM4215923,C02108,161588
GSM4215924_C02109.csv.gz,GSM4215924_C02109.csv.gz,GSM4215924,C02109,167410
GSM4215925_C02116.csv.gz,GSM4215925_C02116.csv.gz,GSM4215925,C02116,171965
GSM4215926_C02164.csv.gz,GSM4215926_C02164.csv.gz,GSM4215926,C02164,167362
GSM4215927_C02172.csv.gz,GSM4215927_C02172.csv.gz,GSM4215927,C02172,162273
GSM4215928_C02190.csv.gz,GSM4215928_C02190.csv.gz,GSM4215928,C02190,174352
GSM4215929_C02205.csv.gz,GSM4215929_C02205.csv.gz,GSM4215929,C02205,159386
GSM4215930_C02210.csv.gz,GSM4215930_C02210.csv.gz,GSM4215930,C02210,160238
GSM4215931_C02233.csv.gz,GSM4215931_C02233.csv.gz,GSM4215931,C02233,159772
GSM4215932_C02242.csv.gz,GSM4215932_C02242.csv.gz,GSM4215932,C02242,165285
GSM4215933_C02272.csv.gz,GSM4215933_C02272.csv.gz,GSM4215933,C02272,165301
GSM4215934_C02276.csv.gz,GSM4215934_C02276.csv.gz,GSM4215934,C02276,171816
GSM4215935_C02280.csv.gz,GSM4215935_C02280.csv.gz,GSM4215935,C02280,171982
GSM4215936_C02297.csv.gz,GSM4215936_C02297.csv.gz,GSM4215936,C02297,153346
GSM4215937_C02298.csv.gz,GSM4215937_C02298.csv.gz,GSM4215937,C02298,159652
GSM4215938_C02301.csv.gz,GSM4215938_C02301.csv.gz,GSM4215938,C02301,152670
GSM4215939_C02303.csv.gz,GSM4215939_C02303.csv.gz,GSM4215939,C02303,182365
GSM4215940_C02305.csv.gz,GSM4215940_C02305.csv.gz,GSM4215940,C02305,159316
GSM4215941_C02312.csv.gz,GSM4215941_C02312.csv.gz,GSM4215941,C02312,162427
GSM4215942_C02318.csv.gz,GSM4215942_C02318.csv.gz,GSM4215942,C02318,128102
GSM4215943_C02327.csv.gz,GSM4215943_C02327.csv.gz,GSM4215943,C02327,163457
GSM4215944_C02328.csv.gz,GSM4215944_C02328.csv.gz,GSM4215944,C02328,159724
GSM4215945_C02329.csv.gz,GSM4215945_C02329.csv.gz,GSM4215945,C02329,171915
GSM4215946_C02340.csv.gz,GSM4215946_C02340.csv.gz,GSM4215946,C02340,167089
GSM4215947_C02344.csv.gz,GSM4215947_C02344.csv.gz,GSM4215947,C02344,159512
GSM4215948_C02349.csv.gz,GSM4215948_C02349.csv.gz,GSM4215948,C02349,162272
GSM4215949_C02350.csv.gz,GSM4215949_C02350.csv.gz,GSM4215949,C02350,176134
GSM4215950_C02351.csv.gz,GSM4215950_C02351.csv.gz,GSM4215950,C02351,157550
GSM4215951_C02352.csv.gz,GSM4215951_C02352.csv.gz,GSM4215951,C02352,174940
GSM4215952_C02354.csv.gz,GSM4215952_C02354.csv.gz,GSM4215952,C02354,162295
GSM4215953_C02355.csv.gz,GSM4215953_C02355.csv.gz,GSM4215953,C02355,164286
GSM4215954_C02356.csv.gz,GSM4215954_C02356.csv.gz,GSM4215954,C02356,174729
GSM4215955_C02360.csv.gz,GSM4215955_C02360.csv.gz,GSM4215955,C02360,159358
GSM4215956_C02363.csv.gz,GSM4215956_C02363.csv.gz,GSM4215956,C02363,147464
GSM4215957_C02364.csv.gz,GSM4215957_C02364.csv.gz,GSM4215957,C02364,165314
GSM4215958_C02374.csv.gz,GSM4215958_C02374.csv.gz,GSM4215958,C02374,175051
GSM4215959_C02375.csv.gz,GSM4215959_C02375.csv.gz,GSM4215959,C02375,158586
GSM4215960_C02380.csv.gz,GSM4215960_C02380.csv.gz,GSM4215960,C02380,171940
GSM4215961_C02387.csv.gz,GSM4215961_C02387.csv.gz,GSM4215961,C02387,162549
GSM4215962_C02397.csv.gz,GSM4215962_C02397.csv.gz,GSM4215962,C02397,165395
GSM4215963_C02420.csv.gz,GSM4215963_C02420.csv.gz,GSM4215963,C02420,161854
GSM4215964_C02452.csv.gz,GSM4215964_C02452.csv.gz,GSM4215964,C02452,167437
GSM4215965_C02458.csv.gz,GSM4215965_C02458.csv.gz,GSM4215965,C02458,163614
GSM4215966_C02464.csv.gz,GSM4215966_C02464.csv.gz,GSM4215966,C02464,160855
GSM4215967_C02468.csv.gz,GSM4215967_C02468.csv.gz,GSM4215967,C02468,162919
GSM4215968_C02475.csv.gz,GSM4215968_C02475.csv.gz,GSM4215968,C02475,154480
GSM4215969_C02491.csv.gz,GSM4215969_C02491.csv.gz,GSM4215969,C02491,170151
GSM4215970_C02496.csv.gz,GSM4215970_C02496.csv.gz,GSM4215970,C02496,156459
GSM4215971_C02510.csv.gz,GSM4215971_C02510.csv.gz,GSM4215971,C02510,157363
GSM4215972_C02516.csv.gz,GSM4215972_C02516.csv.gz,GSM4215972,C02516,158304
GSM4215973_C02529.csv.gz,GSM4215973_C02529.csv.gz,GSM4215973,C02529,145251
GSM4215974_C02530.csv.gz,GSM4215974_C02530.csv.gz,GSM4215974,C02530,174271
GSM4215975_C02546.csv.gz,GSM4215975_C02546.csv.gz,GSM4215975,C02546,169349
GSM4215976_C02592.csv.gz,GSM4215976_C02592.csv.gz,GSM4215976,C02592,159136
GSM4215977_C02645.csv.gz,GSM4215977_C02645.csv.gz,GSM4215977,C02645,171606
GSM4215978_C02660.csv.gz,GSM4215978_C02660.csv.gz,GSM4215978,C02660,172903
GSM4215979_C02665.csv.gz,GSM4215979_C02665.csv.gz,GSM4215979,C02665,180207
GSM4215980_C02698.csv.gz,GSM4215980_C02698.csv.gz,GSM4215980,C02698,164790
GSM4215981_C02720.csv.gz,GSM4215981_C02720.csv.gz,GSM4215981,C02720,160815
GSM4215982_C02724.csv.gz,GSM4215982_C02724.csv.gz,GSM4215982,C02724,176595
GSM4215983_C02728.csv.gz,GSM4215983_C02728.csv.gz,GSM4215983,C02728,163339
GSM4215984_P01007.csv.gz,GSM4215984_P01007.csv.gz,GSM4215984,P01007,168743
GSM4215985_P01027.csv.gz,GSM4215985_P01027.csv.gz,GSM4215985,P01027,161587
GSM4215986_P01032.csv.gz,GSM4215986_P01032.csv.gz,GSM4215986,P01032,156759
GSM4215987_P01044.csv.gz,GSM4215987_P01044.csv.gz,GSM4215987,P01044,165606
GSM4215988_P01045.csv.gz,GSM4215988_P01045.csv.gz,GSM4215988,P01045,161801
GSM4215989_P01052.csv.gz,GSM4215989_P01052.csv.gz,GSM4215989,P01052,161591
GSM4215990_P01054.csv.gz,GSM4215990_P01054.csv.gz,GSM4215990,P01054,171567
GSM4215991_P01067.csv.gz,GSM4215991_P01067.csv.gz,GSM4215991,P01067,166359
GSM4215992_P01070.csv.gz,GSM4215992_P01070.csv.gz,GSM4215992,P01070,168829
GSM4215993_P01071.csv.gz,GSM4215993_P01071.csv.gz,GSM4215993,P01071,146794
GSM4215994_P01076.csv.gz,GSM4215994_P01076.csv.gz,GSM4215994,P01076,162591
GSM4215995_P01077.csv.gz,GSM4215995_P01077.csv.gz,GSM4215995,P01077,161285
GSM4215996_P01095.csv.gz,GSM4215996_P01095.csv.gz,GSM4215996,P01095,174211
GSM4215997_P01097.csv.gz,GSM4215997_P01097.csv.gz,GSM4215997,P01097,170622
GSM4215998_P01100.csv.gz,GSM4215998_P01100.csv.gz,GSM4215998,P01100,157205
GSM4215999_P01101.csv.gz,GSM4215999_P01101.csv.gz,GSM4215999,P01101,169474
GSM4216000_P01104.csv.gz,GSM4216000_P01104.csv.gz,GSM4216000,P01104,159078
GSM4216001_P01106.csv.gz,GSM4216001_P01106.csv.gz,GSM4216001,P01106,177348
GSM4216002_P01109.csv.gz,GSM4216002_P01109.csv.gz,GSM4216002,P01109,171579
GSM4216003_P01110.csv.gz,GSM4216003_P01110.csv.gz,GSM4216003,P01110,163838
GSM4216004_P01116.csv.gz,GSM4216004_P01116.csv.gz,GSM4216004,P01116,159288
GSM4216005_P01117.csv.gz,GSM4216005_P01117.csv.gz,GSM4216005,P01117,166726
GSM4216006_P01118.csv.gz,GSM4216006_P01118.csv.gz,GSM4216006,P01118,158555
GSM4216007_P01119.csv.gz,GSM4216007_P01119.csv.gz,GSM4216007,P01119,160603
GSM4216008_P01121.csv.gz,GSM4216008_P01121.csv.gz,GSM4216008,P01121,163028
GSM4216009_P01122.csv.gz,GSM4216009_P01122.csv.gz,GSM4216009,P01122,172989
GSM4216010_P01124.csv.gz,GSM4216010_P01124.csv.gz,GSM4216010,P01124,168954
GSM4216011_P01127.csv.gz,GSM4216011_P01127.csv.gz,GSM4216011,P01127,152042
GSM4216012_P01134.csv.gz,GSM4216012_P01134.csv.gz,GSM4216012,P01134,168286
GSM4216013_P01135.csv.gz,GSM4216013_P01135.csv.gz,GSM4216013,P01135,165749
GSM4216014_P01137.csv.gz,GSM4216014_P01137.csv.gz,GSM4216014,P01137,166583
GSM4216015_P01140.csv.gz,GSM4216015_P01140.csv.gz,GSM4216015,P01140,161863
GSM4216016_P01146.csv.gz,GSM4216016_P01146.csv.gz,GSM4216016,P01146,158825
GSM4216017_P01151.csv.gz,GSM4216017_P01151.csv.gz,GSM4216017,P01151,162382
GSM4216018_P01155.csv.gz,GSM4216018_P01155.csv.gz,GSM4216018,P01155,150071
GSM4216019_P01163.csv.gz,GSM4216019_P01163.csv.gz,GSM4216019,P01163,170271
GSM4216020_P01164.csv.gz,GSM4216020_P01164.csv.gz,GSM4216020,P01164,165826
GSM4216021_P01165.csv.gz,GSM4216021_P01165.csv.gz,GSM4216021,P01165,173611
GSM4216022_P01167.csv.gz,GSM4216022_P01167.csv.gz,GSM4216022,P01167,155785
GSM4216023_P01168.csv.gz,GSM4216023_P01168.csv.gz,GSM4216023,P01168,164405
GSM4216024_P01171.csv.gz,GSM4216024_P01171.csv.gz,GSM4216024,P01171,170287
GSM4216025_P01173.csv.gz,GSM4216025_P01173.csv.gz,GSM4216025,P01173,162214
GSM4216026_P01179.csv.gz,GSM4216026_P01179.csv.gz,GSM4216026,P01179,162054
GSM4216027_P01183.csv.gz,GSM4216027_P01183.csv.gz,GSM4216027,P01183,165636
GSM4216028_P01184.csv.gz,GSM4216028_P01184.csv.gz,GSM4216028,P01184,170390
GSM4216029_P01185.csv.gz,GSM4216029_P01185.csv.gz,GSM4216029,P01185,162828
GSM4216030_P01197.csv.gz,GSM4216030_P01197.csv.gz,GSM4216030,P01197,163259
GSM4216031_P01199.csv.gz,GSM4216031_P01199.csv.gz,GSM4216031,P01199,170051
GSM4216032_P01202.csv.gz,GSM4216032_P01202.csv.gz,GSM4216032,P01202,174584
GSM4216033_P01204.csv.gz,GSM4216033_P01204.csv.gz,GSM4216033,P01204,169052
GSM4216034_P01205.csv.gz,GSM4216034_P01205.csv.gz,GSM4216034,P01205,165380
GSM4216035_P01206.csv.gz,GSM4216035_P01206.csv.gz,GSM4216035,P01206,159393
GSM4216036_P01207.csv.gz,GSM4216036_P01207.csv.gz,GSM4216036,P01207,170907
GSM4216037_P01208.csv.gz,GSM4216037_P01208.csv.gz,GSM4216037,P01208,164958
GSM4216038_P01209.csv.gz,GSM4216038_P01209.csv.gz,GSM4216038,P01209,160250
GSM4216039_P01211.csv.gz,GSM4216039_P01211.csv.gz,GSM4216039,P01211,158806
GSM4216040_P01215.csv.gz,GSM4216040_P01215.csv.gz,GSM4216040,P01215,160407
GSM4216041_P01217.csv.gz,GSM4216041_P01217.csv.gz,GSM4216041,P01217,165369
GSM4216042_P01221.csv.gz,GSM4216042_P01221.csv.gz,GSM4216042,P01221,159424
GSM4216043_P01222.csv.gz,GSM4216043_P01222.csv.gz,GSM4216043,P01222,166577
GSM4216044_P01224.csv.gz,GSM4216044_P01224.csv.gz,GSM4216044,P01224,167022
GSM4216045_P01226.csv.gz,GSM4216045_P01226.csv.gz,GSM4216045,P01226,179725
GSM4216046_P01228.csv.gz,GSM4216046_P01228.csv.gz,GSM4216046,P01228,174471
GSM4216047_P01233.csv.gz,GSM4216047_P01233.csv.gz,GSM4216047,P01233,167804
GSM4216048_P01238.csv.gz,GSM4216048_P01238.csv.gz,GSM4216048,P01238,165617
GSM4216049_P01241.csv.gz,GSM4216049_P01241.csv.gz,GSM4216049,P01241,163087
GSM4216050_P01245.csv.gz,GSM4216050_P01245.csv.gz,GSM4216050,P01245,162070
GSM4216051_P01246.csv.gz,GSM4216051_P01246.csv.gz,GSM4216051,P01246,159665
GSM4216052_P01247.csv.gz,GSM4216052_P01247.csv.gz,GSM4216052,P01247,160977
GSM4216053_P01248.csv.gz,GSM4216053_P01248.csv.gz,GSM4216053,P01248,156918
GSM4216054_P01252.csv.gz,GSM4216054_P01252.csv.gz,GSM4216054,P01252,170016
GSM4216055_P01254.csv.gz,GSM4216055_P01254.csv.gz,GSM4216055,P01254,158145
GSM4216056_P01259.csv.gz,GSM4216056_P01259.csv.gz,GSM4216056,P01259,164488
GSM4216057_P01262.csv.gz,GSM4216057_P01262.csv.gz,GSM4216057,P01262,169945
GSM4216058_P01264.csv.gz,GSM4216058_P01264.csv.gz,GSM4216058,P01264,175337
GSM4216059_P01266.csv.gz,GSM4216059_P01266.csv.gz,GSM4216059,P01266,159126
GSM4216060_P01275.csv.gz,GSM4216060_P01275.csv.gz,GSM4216060,P01275,171290
GSM4216061_P01279.csv.gz,GSM4216061_P01279.csv.gz,GSM4216061,P01279,158210
GSM4216062_P01282.csv.gz,GSM4216062_P01282.csv.gz,GSM4216062,P01282,166814
GSM4216063_P01287.csv.gz,GSM4216063_P01287.csv.gz,GSM4216063,P01287,163265
GSM4216064_P01288.csv.gz,GSM4216064_P01288.csv.gz,GSM4216064,P01288,146979
GSM4216065_P01289.csv.gz,GSM4216065_P01289.csv.gz,GSM4216065,P01289,163267
GSM4216066_P01290.csv.gz,GSM4216066_P01290.csv.gz,GSM4216066,P01290,162206
GSM4216067_P01292.csv.gz,GSM4216067_P01292.csv.gz,GSM4216067,P01292,159578
GSM4216068_P01293.csv.gz,GSM4216068_P01293.csv.gz,GSM4216068,P01293,169329
GSM4216069_P01294.csv.gz,GSM4216069_P01294.csv.gz,GSM4216069,P01294,166074
GSM4216070_P01296.csv.gz,GSM4216070_P01296.csv.gz,GSM4216070,P01296,165130
GSM4216071_P01298.csv.gz,GSM4216071_P01298.csv.gz,GSM4216071,P01298,172544
GSM4216072_P01300.csv.gz,GSM4216072_P01300.csv.gz,GSM4216072,P01300,156117
GSM4216073_P01304.csv.gz,GSM4216073_P01304.csv.gz,GSM4216073,P01304,165686
GSM4216074_P01305.csv.gz,GSM4216074_P01305.csv.gz,GSM4216074,P01305,161752
GSM4216075_P01307.csv.gz,GSM4216075_P01307.csv.gz,GSM4216075,P01307,141272
GSM4216076_P01309.csv.gz,GSM4216076_P01309.csv.gz,GSM4216076,P01309,154644
GSM4216077_P01310.csv.gz,GSM4216077_P01310.csv.gz,GSM4216077,P01310,160341
GSM4216078_P01318.csv.gz,GSM4216078_P01318.csv.gz,GSM4216078,P01318,164336
GSM4216079_P01320.csv.gz,GSM4216079_P01320.csv.gz,GSM4216079,P01320,155480
GSM4216080_P01322.csv.gz,GSM4216080_P01322.csv.gz,GSM4216080,P01322,118572
GSM4216081_P01323.csv.gz,GSM4216081_P01323.csv.gz,GSM4216081,P01323,171563
GSM4216082_P01325.csv.gz,GSM4216082_P01325.csv.gz,GSM4216082,P01325,165298
GSM4216083_P01329.csv.gz,GSM4216083_P01329.csv.gz,GSM4216083,P01329,169999
GSM4216084_P01330.csv.gz,GSM4216084_P01330.csv.gz,GSM4216084,P01330,168401
GSM4216085_P01334.csv.gz,GSM4216085_P01334.csv.gz,GSM4216085,P01334,161634
GSM4216086_P01337.csv.gz,GSM4216086_P01337.csv.gz,GSM4216086,P01337,164319
GSM4216087_P01339.csv.gz,GSM4216087_P01339.csv.gz,GSM4216087,P01339,166662
GSM4216088_P01340.csv.gz,GSM4216088_P01340.csv.gz,GSM4216088,P01340,166038
GSM4216089_P01347.csv.gz,GSM4216089_P01347.csv.gz,GSM4216089,P01347,162753
GSM4216090_P01348.csv.gz,GSM4216090_P01348.csv.gz,GSM4216090,P01348,162863
GSM4216091_P01350.csv.gz,GSM4216091_P01350.csv.gz,GSM4216091,P01350,162333
GSM4216092_P01352.csv.gz,GSM4216092_P01352.csv.gz,GSM4216092,P01352,162325
GSM4216093_P01354.csv.gz,GSM4216093_P01354.csv.gz,GSM4216093,P01354,174890
GSM4216094_P01356.csv.gz,GSM4216094_P01356.csv.gz,GSM4216094,P01356,165484
GSM4216095_P01357.csv.gz,GSM4216095_P01357.csv.gz,GSM4216095,P01357,163478
GSM4216096_P01358.csv.gz,GSM4216096_P01358.csv.gz,GSM4216096,P01358,161231
GSM4216097_P01359.csv.gz,GSM4216097_P01359.csv.gz,GSM4216097,P01359,162968
GSM4216098_P01360.csv.gz,GSM4216098_P01360.csv.gz,GSM4216098,P01360,166742
GSM4216099_P01362.csv.gz,GSM4216099_P01362.csv.gz,GSM4216099,P01362,161228
GSM4216100_P01365.csv.gz,GSM4216100_P01365.csv.gz,GSM4216100,P01365,167125
GSM4216101_P01367.csv.gz,GSM4216101_P01367.csv.gz,GSM4216101,P01367,164913
GSM4216102_P01369.csv.gz,GSM4216102_P01369.csv.gz,GSM4216102,P01369,166566
GSM4216103_P01371.csv.gz,GSM4216103_P01371.csv.gz,GSM4216103,P01371,164190
GSM4216104_P01374.csv.gz,GSM4216104_P01374.csv.gz,GSM4216104,P01374,168778
GSM4216105_P01375.csv.gz,GSM4216105_P01375.csv.gz,GSM4216105,P01375,172625
GSM4216106_P01377.csv.gz,GSM4216106_P01377.csv.gz,GSM4216106,P01377,158346
GSM4216107_P01379.csv.gz,GSM4216107_P01379.csv.gz,GSM4216107,P01379,165086
GSM4216108_P01380.csv.gz,GSM4216108_P01380.csv.gz,GSM4216108,P01380,153510
GSM4216109_P01381.csv.gz,GSM4216109_P01381.csv.gz,GSM4216109,P01381,172276
GSM4216110_P01383.csv.gz,GSM4216110_P01383.csv.gz,GSM4216110,P01383,161341
GSM4216111_P01385.csv.gz,GSM4216111_P01385.csv.gz,GSM4216111,P01385,168754
GSM4216112_P01387.csv.gz,GSM4216112_P01387.csv.gz,GSM4216112,P01387,164559
GSM4216113_P01388.csv.gz,GSM4216113_P01388.csv.gz,GSM4216113,P01388,172701
GSM4216114_P01396.csv.gz,GSM4216114_P01396.csv.gz,GSM4216114,P01396,175589
GSM4216115_P01397.csv.gz,GSM4216115_P01397.csv.gz,GSM4216115,P01397,158852
GSM4216116_P01400.csv.gz,GSM4216116_P01400.csv.gz,GSM4216116,P01400,160644
GSM4216117_P01402.csv.gz,GSM4216117_P01402.csv.gz,GSM4216117,P01402,162505
GSM4216118_P01404.csv.gz,GSM4216118_P01404.csv.gz,GSM4216118,P01404,154995
GSM4216119_P01406.csv.gz,GSM4216119_P01406.csv.gz,GSM4216119,P01406,167162
GSM4216120_P01412.csv.gz,GSM4216120_P01412.csv.gz,GSM4216120,P01412,160870
GSM4216121_P01413.csv.gz,GSM4216121_P01413.csv.gz,GSM4216121,P01413,172418
GSM4216122_P01414.csv.gz,GSM4216122_P01414.csv.gz,GSM4216122,P01414,157862
GSM4216123_P01420.csv.gz,GSM4216123_P01420.csv.gz,GSM4216123,P01420,170270
GSM4216124_P01421.csv.gz,GSM4216124_P01421.csv.gz,GSM4216124,P01421,152519
GSM4216125_P01422.csv.gz,GSM4216125_P01422.csv.gz,GSM4216125,P01422,168364
GSM4216126_P01425.csv.gz,GSM4216126_P01425.csv.gz,GSM4216126,P01425,167163
GSM4216127_P01430.csv.gz,GSM4216127_P01430.csv.gz,GSM4216127,P01430,161694
GSM4216128_P01433.csv.gz,GSM4216128_P01433.csv.gz,GSM4216128,P01433,167350
GSM4216129_P01436.csv.gz,GSM4216129_P01436.csv.gz,GSM4216129,P01436,169719
GSM4216130_P01437.csv.gz,GSM4216130_P01437.csv.gz,GSM4216130,P01437,163614
GSM4216131_P01440.csv.gz,GSM4216131_P01440.csv.gz,GSM4216131,P01440,162524
GSM4216132_P01444.csv.gz,GSM4216132_P01444.csv.gz,GSM4216132,P01444,160662
GSM4216133_P01447.csv.gz,GSM4216133_P01447.csv.gz,GSM4216133,P01447,140151
GSM4216134_P01452.csv.gz,GSM4216134_P01452.csv.gz,GSM4216134,P01452,165481
GSM4216135_P01454.csv.gz,GSM4216135_P01454.csv.gz,GSM4216135,P01454,168025
GSM4216136_P01457.csv.gz,GSM4216136_P01457.csv.gz,GSM4216136,P01457,168541
GSM4216137_P01462.csv.gz,GSM4216137_P01462.csv.gz,GSM4216137,P01462,163102
GSM4216138_P01463.csv.gz,GSM4216138_P01463.csv.gz,GSM4216138,P01463,162834
GSM4216139_P01465.csv.gz,GSM4216139_P01465.csv.gz,GSM4216139,P01465,162844
GSM4216140_P01466.csv.gz,GSM4216140_P01466.csv.gz,GSM4216140,P01466,168319
GSM4216141_P01469.csv.gz,GSM4216141_P01469.csv.gz,GSM4216141,P01469,164368
GSM4216142_P01471.csv.gz,GSM4216142_P01471.csv.gz,GSM4216142,P01471,169313
GSM4216143_P01472.csv.gz,GSM4216143_P01472.csv.gz,GSM4216143,P01472,157202
GSM4216144_P01473.csv.gz,GSM4216144_P01473.csv.gz,GSM4216144,P01473,165075
GSM4216145_P01479.csv.gz,GSM4216145_P01479.csv.gz,GSM4216145,P01479,175866
GSM4216146_P01481.csv.gz,GSM4216146_P01481.csv.gz,GSM4216146,P01481,165411
GSM4216147_P01485.csv.gz,GSM4216147_P01485.csv.gz,GSM4216147,P01485,167477
