gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
JPH2,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,1.0,0.38041281618496225,0.0,0.5331444856647368,MODERATE,36.0,0.3998111523314035,0.3998111523314035,-7.5,7.5,False
MYBPC3,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,41.5,-0.1333333333333333,0.1333333333333333,-2.0,2.0,True
MYO6,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,1.0,0.8820645378599449,0.0,0.7087225882509807,HIGH,25.0,0.5753892549176474,0.5753892549176474,-18.5,18.5,False
TTN,0.1333333333333333,UNSTABLE,43.5,GSE141910,GSE249925;GSE36961,2,1.0,0.4690880592292934,0.0,0.5641808207302528,MODERATE,35.0,0.43084748739691947,0.43084748739691947,-8.5,8.5,False
CEP85L,0.0,UNSTABLE,47.0,GSE141910,GSE249925,1,,,0.0,,INSUFFICIENT_COVERAGE,,,,,,False
MYH6,0.968060359673416,HIGH,1.0,GSE249925,GSE141910;GSE36961,2,1.0,0.8742015268572284,1.0,0.95597053440003,HIGH,2.0,-0.012089825273385979,0.012089825273385979,1.0,1.0,True
TNNI3,0.9617210925247786,HIGH,2.0,GSE249925,GSE141910;GSE36961,2,1.0,0.8493596205427171,1.0,0.947275867189951,HIGH,3.0,-0.014445225334827505,0.014445225334827505,1.0,1.0,True
GLA,0.9600291718029872,HIGH,3.0,GSE249925,GSE141910;GSE36961,2,1.0,0.9236496812991413,1.0,0.9732773884546995,HIGH,1.0,0.013248216651712275,0.013248216651712275,-2.0,2.0,True
ACTN2,0.9347924185794564,HIGH,4.0,GSE249925,GSE141910;GSE36961,2,1.0,0.7464850964150631,1.0,0.9112697837452721,HIGH,5.0,-0.023522634834184264,0.023522634834184264,1.0,1.0,True
TMEM43,0.9294960052251762,HIGH,5.0,GSE249925,GSE141910;GSE36961,2,1.0,0.8002662209891964,1.0,0.9300931773462188,HIGH,4.0,0.0005971721210425995,0.0005971721210425995,-1.0,1.0,True
TINF2,0.9040539606172328,HIGH,6.0,GSE249925,GSE141910;GSE36961,2,1.0,0.5992965622021449,1.0,0.8597537967707507,HIGH,7.0,-0.044300163846482055,0.044300163846482055,1.0,1.0,True
KCNH2,0.8813520672732007,HIGH,7.0,GSE249925,GSE141910;GSE36961,2,1.0,0.48112137849324377,1.0,0.8183924824726353,HIGH,9.0,-0.0629595848005654,0.0629595848005654,2.0,2.0,True
BAG3,0.8281811808437982,HIGH,8.0,GSE249925,GSE141910;GSE36961,2,1.0,0.7011129608028308,0.5,0.7703895362809908,HIGH,10.0,-0.05779164456280739,0.05779164456280739,2.0,2.0,True
