gene_symbol,method,original_MCI,benchmark_score,original_MCI_rank,benchmark_rank,rank_displacement,absolute_rank_displacement
CSRP3,Signed Stouffer significance,0.6431434629210778,2.320719959013908,22.0,29.0,7.0,7.0
SLC25A4,Signed Stouffer significance,0.5959726762202882,1.586792220078136,23.0,34.0,11.0,11.0
PRKAG2,Signed Stouffer significance,0.5838875374447547,2.9019684832014963,24.0,26.0,2.0,2.0
TPM1,Signed Stouffer significance,0.5680418520168269,0.865740447119824,25.0,35.0,10.0,10.0
MT-TI,Signed Stouffer significance,0.5439293516517061,0.7341179871816892,26.0,36.0,10.0,10.0
PTPN11,Signed Stouffer significance,0.4333303385227627,12.272116876718409,27.0,7.0,-20.0,20.0
PLN,Signed Stouffer significance,0.4130468243349183,3.902257414376989,28.0,24.0,-4.0,4.0
LZTR1,Signed Stouffer significance,0.4113290672251504,4.057053030456923,29.0,22.0,-7.0,7.0
LMNA,Signed Stouffer significance,0.3999888656354379,11.957003684897712,30.0,9.0,-21.0,21.0
MYL2,Signed Stouffer significance,0.3921424779050579,5.385092635405342,31.0,19.0,-12.0,12.0
MRPL44,Signed Stouffer significance,0.3858025289641727,2.3070252387211188,32.0,30.0,-2.0,2.0
PKP2,Signed Stouffer significance,0.3,5.209093875780033,33.0,20.0,-13.0,13.0
MYH7,Signed Stouffer significance,0.292774455340535,2.342068444776392,34.0,27.0,-7.0,7.0
TCAP,Signed Stouffer significance,0.2731064436543995,2.178902516287332,35.0,32.0,-3.0,3.0
ACTC1,Signed Stouffer significance,0.2166666666666666,0.5468315229341909,37.5,39.0,1.5,1.5
COQ9,Signed Stouffer significance,0.2166666666666666,0.0384792298287386,37.5,46.0,8.5,8.5
MTO1,Signed Stouffer significance,0.2166666666666666,0.5640132272432296,37.5,37.0,-0.5,0.5
NEXN,Signed Stouffer significance,0.2166666666666666,2.910307698105357,37.5,25.0,-12.5,12.5
TNNT2,Signed Stouffer significance,0.2142705021088397,0.4847214823867807,40.0,40.0,0.0,0.0
CACNA1C,Signed Stouffer significance,0.1333333333333333,0.4754200140017159,43.5,41.0,-2.5,2.5
DES,Signed Stouffer significance,0.1333333333333333,0.1368987542612385,43.5,43.0,-0.5,0.5
JPH2,Signed Stouffer significance,0.1333333333333333,0.2029975658180238,43.5,42.0,-1.5,1.5
MYBPC3,Signed Stouffer significance,0.1333333333333333,0.0027979166572731,43.5,47.0,3.5,3.5
MYO6,Signed Stouffer significance,0.1333333333333333,0.1279976034292425,43.5,44.0,0.5,0.5
TTN,Signed Stouffer significance,0.1333333333333333,0.0385564560221837,43.5,45.0,1.5,1.5
CEP85L,Signed Stouffer significance,0.0,0.5616520085584067,47.0,38.0,-9.0,9.0
MYH6,Random-effects meta-analysis,0.968060359673416,16.223100024399834,1.0,2.0,1.0,1.0
TNNI3,Random-effects meta-analysis,0.9617210925247786,12.411158808767745,2.0,3.0,1.0,1.0
GLA,Random-effects meta-analysis,0.9600291718029872,18.09688364152889,3.0,1.0,-2.0,2.0
ACTN2,Random-effects meta-analysis,0.9347924185794564,5.145625794223905,4.0,5.0,1.0,1.0
TMEM43,Random-effects meta-analysis,0.9294960052251762,5.6320267171352025,5.0,4.0,-1.0,1.0
TINF2,Random-effects meta-analysis,0.9040539606172328,2.455563235287085,6.0,11.0,5.0,5.0
KCNH2,Random-effects meta-analysis,0.8813520672732007,1.4250643649510035,7.0,15.0,8.0,8.0
BAG3,Random-effects meta-analysis,0.8281811808437982,3.574980915773861,8.0,8.0,0.0,0.0
TRIM63,Random-effects meta-analysis,0.8197933145443262,4.078046281659514,9.0,7.0,-2.0,2.0
RBM20,Random-effects meta-analysis,0.8035740008093487,2.465527338760212,10.0,10.0,0.0,0.0
CAV3,Random-effects meta-analysis,0.8000427752056666,4.380154652089682,11.0,6.0,-5.0,5.0
ALPK3,Random-effects meta-analysis,0.7976057316404546,1.396764653972635,12.0,16.0,4.0,4.0
PMS2,Random-effects meta-analysis,0.7754141536439366,1.5156164199154034,13.0,13.0,0.0,0.0
TNNC1,Random-effects meta-analysis,0.7751828097694213,2.960180333324284,14.0,9.0,-5.0,5.0
KIF5B,Random-effects meta-analysis,0.7695246707816087,1.1934640432186423,15.0,18.0,3.0,3.0
MYL3,Random-effects meta-analysis,0.7526322412963301,1.554974094771613,16.0,12.0,-4.0,4.0
FLNC,Random-effects meta-analysis,0.7283850847571424,1.2746538269966776,17.0,17.0,0.0,0.0
MT-TL1,Random-effects meta-analysis,0.7086829235607361,0.7575401581057027,18.0,24.0,6.0,6.0
LAMP2,Random-effects meta-analysis,0.6903439971857486,0.9470005940960098,19.0,22.0,3.0,3.0
RAF1,Random-effects meta-analysis,0.6752302474844579,1.4895192078290511,20.0,14.0,-6.0,6.0
SSUH2,Random-effects meta-analysis,0.6571492956096299,0.5819402128329901,21.0,32.0,11.0,11.0
CSRP3,Random-effects meta-analysis,0.6431434629210778,0.9702021995677492,22.0,20.0,-2.0,2.0
SLC25A4,Random-effects meta-analysis,0.5959726762202882,0.7006419307674615,23.0,26.0,3.0,3.0
PRKAG2,Random-effects meta-analysis,0.5838875374447547,0.6637531455079448,24.0,28.0,4.0,4.0
TPM1,Random-effects meta-analysis,0.5680418520168269,0.6107663603946517,25.0,31.0,6.0,6.0
MT-TI,Random-effects meta-analysis,0.5439293516517061,0.6545643034739583,26.0,29.0,3.0,3.0
PTPN11,Random-effects meta-analysis,0.4333303385227627,0.963224072650724,27.0,21.0,-6.0,6.0
PLN,Random-effects meta-analysis,0.4130468243349183,0.7532507354131893,28.0,25.0,-3.0,3.0
LZTR1,Random-effects meta-analysis,0.4113290672251504,0.8420725194863709,29.0,23.0,-6.0,6.0
LMNA,Random-effects meta-analysis,0.3999888656354379,1.0719367495353609,30.0,19.0,-11.0,11.0
MYL2,Random-effects meta-analysis,0.3921424779050579,0.5707083485723451,31.0,33.0,2.0,2.0
MRPL44,Random-effects meta-analysis,0.3858025289641727,0.6887879843217053,32.0,27.0,-5.0,5.0
PKP2,Random-effects meta-analysis,0.3,0.4899991610085641,33.0,35.0,2.0,2.0
