gene_symbol,MCI,primary_tier,MOD_0.400__HIGH_0.650__tier,MOD_0.400__HIGH_0.675__tier,MOD_0.400__HIGH_0.700__tier,MOD_0.400__HIGH_0.725__tier,MOD_0.400__HIGH_0.750__tier,MOD_0.425__HIGH_0.650__tier,MOD_0.425__HIGH_0.675__tier,MOD_0.425__HIGH_0.700__tier,MOD_0.425__HIGH_0.725__tier,MOD_0.425__HIGH_0.750__tier,MOD_0.450__HIGH_0.650__tier,MOD_0.450__HIGH_0.675__tier,MOD_0.450__HIGH_0.700__tier,MOD_0.450__HIGH_0.725__tier,MOD_0.450__HIGH_0.750__tier,MOD_0.475__HIGH_0.650__tier,MOD_0.475__HIGH_0.675__tier,MOD_0.475__HIGH_0.700__tier,MOD_0.475__HIGH_0.725__tier,MOD_0.475__HIGH_0.750__tier,MOD_0.500__HIGH_0.650__tier,MOD_0.500__HIGH_0.675__tier,MOD_0.500__HIGH_0.700__tier,MOD_0.500__HIGH_0.725__tier,MOD_0.500__HIGH_0.750__tier,n_distinct_tiers_across_threshold_grid,n_threshold_scenarios_changing_primary_tier,percent_threshold_scenarios_changing_primary_tier,tier_stable_across_all_threshold_scenarios,always_HIGH_across_grid,always_MODERATE_across_grid,always_UNSTABLE_across_grid,distance_from_MODERATE_threshold_0_45,distance_from_HIGH_threshold_0_70,distance_from_nearest_primary_threshold,n_scenarios_HIGH,n_scenarios_MODERATE,n_scenarios_UNSTABLE
SLC25A4,0.5959726762202882,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,1,0,0.0,True,False,True,False,0.14597267622028814,0.1040273237797118,0.1040273237797118,0,25,0
PRKAG2,0.5838875374447547,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,1,0,0.0,True,False,True,False,0.13388753744475473,0.11611246255524521,0.11611246255524521,0,25,0
TPM1,0.5680418520168269,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,1,0,0.0,True,False,True,False,0.11804185201682688,0.13195814798317307,0.11804185201682688,0,25,0
TRIM63,0.8197933145443262,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.36979331454432623,0.11979331454432629,0.11979331454432629,25,0,0
BAG3,0.8281811808437982,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.3781811808437982,0.12818118084379826,0.12818118084379826,25,0,0
PKP2,0.3,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.15000000000000002,0.39999999999999997,0.15000000000000002,0,0,25
MYH7,0.292774455340535,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.15722554465946503,0.407225544659465,0.15722554465946503,0,0,25
TCAP,0.2731064436543995,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.1768935563456005,0.42689355634560044,0.1768935563456005,0,0,25
KCNH2,0.8813520672732007,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.4313520672732007,0.18135206727320075,0.18135206727320075,25,0,0
TINF2,0.9040539606172328,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.45405396061723274,0.2040539606172328,0.2040539606172328,25,0,0
