gene_symbol,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,PRIMARY_40D_35S_25R__score,PRIMARY_40D_35S_25R__tier,PRIMARY_40D_35S_25R__rank,EQUAL_33D_33S_33R__score,EQUAL_33D_33S_33R__tier,EQUAL_33D_33S_33R__rank,ALT_45D_35S_20R__score,ALT_45D_35S_20R__tier,ALT_45D_35S_20R__rank,ALT_35D_40S_25R__score,ALT_35D_40S_25R__tier,ALT_35D_40S_25R__rank,ALT_35D_30S_35R__score,ALT_35D_30S_35R__tier,ALT_35D_30S_35R__rank,DIRECTION_HEAVY_55D_25S_20R__score,DIRECTION_HEAVY_55D_25S_20R__tier,DIRECTION_HEAVY_55D_25S_20R__rank,CONSISTENCY_HEAVY_25D_55S_20R__score,CONSISTENCY_HEAVY_25D_55S_20R__tier,CONSISTENCY_HEAVY_25D_55S_20R__rank,REPRODUCIBILITY_HEAVY_25D_20S_55R__score,REPRODUCIBILITY_HEAVY_25D_20S_55R__tier,REPRODUCIBILITY_HEAVY_25D_20S_55R__rank,LEAVE_OUT_R_RENORMALIZED__score,LEAVE_OUT_R_RENORMALIZED__tier,LEAVE_OUT_R_RENORMALIZED__rank,LEAVE_OUT_S_RENORMALIZED__score,LEAVE_OUT_S_RENORMALIZED__tier,LEAVE_OUT_S_RENORMALIZED__rank,LEAVE_OUT_D_RENORMALIZED__score,LEAVE_OUT_D_RENORMALIZED__tier,LEAVE_OUT_D_RENORMALIZED__rank,minimum_sensitivity_score,maximum_sensitivity_score,sensitivity_score_range,n_distinct_tiers_across_all_scenarios,n_nonprimary_scenarios_changing_tier,any_weight_sensitivity_tier_change,tier_stable_across_all_weight_scenarios
KIF5B,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,HIGH,0.7695246707816087,HIGH,15.0,0.7487536547126432,HIGH,14.0,0.7861913374482754,HIGH,15.0,0.7485043856551719,HIGH,15.0,0.7572116225747122,HIGH,13.0,0.8282319077011491,HIGH,14.0,0.702110196942528,HIGH,15.0,0.7325855261609193,HIGH,13.0,0.8038106721532561,HIGH,16.0,0.8717948717948718,HIGH,11.5,0.6158744513026813,MODERATE,15.0,0.6158744513026813,0.8717948717948718,0.25592042049219055,2,1,True,False
PMS2,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH,0.7754141536439366,HIGH,13.0,0.7543626860100984,HIGH,13.0,0.7920808203106033,HIGH,14.0,0.7552352232121181,HIGH,14.0,0.7622597507424219,HIGH,12.0,0.8324386811742406,HIGH,13.0,0.7113650985833291,HIGH,14.0,0.7359509449393924,HIGH,12.0,0.8116633159696933,HIGH,14.0,0.8717948717948718,HIGH,11.5,0.6256902560732278,MODERATE,13.0,0.6256902560732278,0.8717948717948718,0.246104615721644,2,1,True,False
ALPK3,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH,0.7976057316404546,HIGH,12.0,0.7754975221972583,HIGH,11.0,0.8142723983071212,HIGH,12.0,0.7805970266367099,HIGH,12.0,0.7812811033108658,HIGH,11.0,0.8482898083146104,HIGH,12.0,0.7462375782921429,HIGH,13.0,0.7486318466516884,HIGH,11.0,0.8412520866317172,HIGH,13.0,0.8717948717948718,HIGH,11.5,0.6626762194007576,MODERATE,12.0,0.6626762194007576,0.8717948717948718,0.2091186523941142,2,1,True,False
CAV3,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH,0.8000427752056666,HIGH,11.0,0.7778185160688887,HIGH,10.0,0.8167094418723333,HIGH,11.0,0.7833822192826666,HIGH,11.0,0.7833699977953332,HIGH,10.0,0.8500305537183332,HIGH,11.0,0.7500672181803332,HIGH,12.0,0.7500244429746666,HIGH,10.0,0.8445014780519999,HIGH,11.0,0.8717948717948718,HIGH,11.5,0.6667379586761111,MODERATE,11.0,0.6667379586761111,0.8717948717948718,0.20505691311876073,2,1,True,False
RBM20,1.0,0.6768780975505202,0.6666666666666666,0.8035740008093487,HIGH,0.8035740008093487,HIGH,10.0,0.7811815880723956,HIGH,9.0,0.8202406674760154,HIGH,10.0,0.7874179056868748,HIGH,10.0,0.7863967625984893,HIGH,9.0,0.8525528577209633,HIGH,10.0,0.7556162869861194,HIGH,11.0,0.7520422861767707,HIGH,9.0,0.8492097788569094,HIGH,10.0,0.8717948717948718,HIGH,11.5,0.6726233346822479,MODERATE,10.0,0.6726233346822479,0.8717948717948718,0.19917153711262392,2,1,True,False
CACNA1C,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
DES,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
JPH2,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
MYBPC3,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
MYO6,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,0.13333333333333333,UNSTABLE,43.5,0.1111111111111111,UNSTABLE,43.5,0.15,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.11666666666666665,UNSTABLE,43.5,0.18333333333333335,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.08333333333333333,UNSTABLE,43.5,0.17777777777777776,UNSTABLE,41.0,0.20512820512820512,UNSTABLE,43.0,0.0,UNSTABLE,44.0,0.0,0.20512820512820512,0.20512820512820512,1,0,False,True
