gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction,matched_in_DE
FLNC,DCM,,ClinVar_PLP_review2plus,False,True,19,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.43938627648404704,0.05557743087063191,-7.905840007372965,4.6708171990915583e-14,4.885842031786311e-13,11.097080611898303,11.536466888382357,177.0,136.0,0.43938627648404704,down_in_DCM_HF,True
GATA4,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",GATA4-related_dilated_cardiomyopathy|Transposition_of_the_great_arteries|Atrioventricular_septal_defect_4|Atrial_septal_defect_2,,,,GSE57338,DCM_HF_vs_Control,-0.020730448057950213,0.03850855444019757,-0.5383335822211625,0.5907318411778513,0.6795941804729443,8.448693418728809,8.46942386678677,177.0,136.0,0.020730448057950213,down_in_DCM_HF,True
KIF5B,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,0.10456694235950614,0.019282771865334548,5.4228169627153315,1.1799500991527822e-07,5.567600260192524e-07,10.232359447197739,10.127792504838233,177.0,136.0,0.10456694235950614,up_in_DCM_HF,True
LAMP2,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Danon_disease|Primary_dilated_cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,-0.051218140549975644,0.019142088087250164,-2.6756820006533224,0.007852693066294011,0.016957505090360352,8.238823461677967,8.290041602227939,177.0,136.0,0.051218140549975644,down_in_DCM_HF,True
LDB3,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",LDB3-related_disorder|Cardiovascular_phenotype|Neuromuscular_disease|Myofibrillar_myopathy|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4 | not_provided|Dilated_cardiomyopathy_1C|Myofibrillar_myopathy_4|Cardiomyopathy,,,,GSE57338,DCM_HF_vs_Control,0.13584467814348766,0.0560293424909875,2.4245274369467875,0.01589792604793487,0.03176168304809184,10.88633538715819,10.750490709014704,177.0,136.0,0.13584467814348766,up_in_DCM_HF,True
MHRT,DCM,,ClinVar_PLP_review2plus,False,True,3,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,,,,,,,,,,,,,,,False
MT-TI,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,,,,,,,,,,,,,,,False
MYBPC3,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4,,,,GSE57338,DCM_HF_vs_Control,0.14080294171452312,0.0437129225114207,3.2210827742696937,0.0014122644049721733,0.003536281018939751,11.634990099361577,11.494187157647064,177.0,136.0,0.14080294171452312,up_in_DCM_HF,True
MYH7,DCM,,ClinVar_PLP_review2plus,False,True,66,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",,,,GSE57338,DCM_HF_vs_Control,0.06605405789207452,0.030361547816577752,2.1755826906824645,0.030339224433346867,0.055960777456655855,12.660078518406776,12.594024460514705,177.0,136.0,0.06605405789207452,up_in_DCM_HF,True
MYPN,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1KK|not_provided | Cardiovascular_phenotype|MYPN-related_myopathy|Dilated_cardiomyopathy_1KK | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1KK|MYPN-related_myopathy,,,,GSE57338,DCM_HF_vs_Control,-0.06134912217867328,0.05686726051278223,-1.0788126880999243,0.2815072274260798,0.3774223300900369,10.00180178844633,10.063150910624998,177.0,136.0,0.06134912217867328,down_in_DCM_HF,True
