dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,ARID5A,0.10056062068174665,0.05693450540557871,1.7662508871446743,0.07833476536839128,0.12818644088850137,6.54393553883616,6.4433749181544115,177,136,0.10056062068174665,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CELF5,-0.036990864429544246,0.02094409693308599,-1.7661713726653316,0.07834812681471529,0.12819804715641925,4.090542522717515,4.127533387147059,177,136,0.036990864429544246,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GINS2,0.053695276043951745,0.03040311907882234,1.766110769909586,0.07835831162631847,0.12820445417699117,3.9886714551468923,3.9349761791029407,177,136,0.053695276043951745,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ATP5J2,-0.043827019948487145,0.024818683029741755,-1.7658882179995823,0.07839572266887067,0.1282554022862724,8.959499928463279,9.003326948411763,177,136,0.043827019948487145,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MMP2,0.0886677527001094,0.050221499364562924,1.765533761874795,0.07845533700819396,0.12834266393229074,9.04906753160452,8.96039977890441,177,136,0.0886677527001094,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HIST1H2BG,-0.055724829996468994,0.03156684126422244,-1.7652963605081067,0.07849528517397034,0.12839774290575054,5.031126920378533,5.086851750375,177,136,0.055724829996468994,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,COX6A1,-0.050282143898554565,0.028484579083921973,-1.7652408957988133,0.07850462076629493,0.1284027429153588,9.437007386322028,9.48728953022059,177,136,0.050282143898554565,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GLMN,0.04032119802301448,0.022846220335166048,1.7648957872016173,0.07856272843156649,0.12848750771157508,5.057780903655367,5.017459705632354,177,136,0.04032119802301448,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,C15ORF37,-0.041597691816051885,0.023574134175708257,-1.7645480214037228,0.07862131907486256,0.12857304878696035,5.0592929693898325,5.100890661205884,177,136,0.041597691816051885,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,EIF4A3,-0.04181720731617622,0.02370152907606453,-1.7643252965651983,0.07865886191936021,0.1286241585039914,7.686552178999998,7.728369386316181,177,136,0.04181720731617622,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ISL2,-0.034587926139040714,0.019605486887891696,-1.7641962342900108,0.07868062356372915,0.1286494564546463,4.01583066741243,4.05041859355147,177,136,0.034587926139040714,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CPLX4,-0.024928506821327634,0.014133868438957878,-1.7637426674084473,0.07875714012135797,0.12875400652520497,2.6774369815536723,2.7023654883749986,177,136,0.024928506821327634,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SYBU,-0.07809259021485504,0.04427663750248179,-1.7637425653761036,0.07875715734101657,0.12875400652520497,4.975286606932204,5.053379197147062,177,136,0.07809259021485504,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SNORA48,-0.07355364882398518,0.04171053524101517,-1.7634309509329373,0.0788097618334537,0.12882970659425486,7.941826689903958,8.015380338727942,177,136,0.07355364882398518,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,PDE10A,-0.10495167160456109,0.059531801107152386,-1.7629513915706438,0.07889077368395571,0.12895182813818992,7.126467598932207,7.2314192705367635,177,136,0.10495167160456109,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HSD11B2,0.04856398403223694,0.027547724038749305,1.7629036781378253,0.0788988376249567,0.12895470184066213,4.195207561502828,4.146643577470587,177,136,0.04856398403223694,up_in_DCM_HF
