gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction
SGCD,0.0426584979119485,0.7610982229441802,0.0593362838353757,0.4733586104650454,,DCM,ClinVar_PLP_review2plus,False,True,12,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TAB2,,,,,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
TARID,,,,,,DCM,ClinVar_PLP_review2plus,False,True,4,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
TCAP,-0.3958408204354153,0.0002633843335537,0.0919203631958087,3.065602677440574e-05,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TMEM43,-0.5821798805532185,3.0588594203661688e-12,0.0703949117023426,8.405680381495575e-14,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNC1,0.1481542853676785,0.0197426142010275,0.0501163521849164,0.0036442927339316,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNI3,0.3384252288340567,1.8888011868672745e-07,0.0559364575559216,1.2042692131032958e-08,,DCM,ClinVar_PLP_review2plus,False,True,8,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TPM1,0.0010659348838885,0.994434887792927,0.0525833755902698,0.9838551849748872,,DCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TSFM,0.146259999220367,0.0168767662150551,0.0485369317575497,0.0030568681605507,,DCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ACTC1,-0.0379735325882936,0.8120481730950254,0.0637474719892316,0.5523260537857642,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
BAG3,-0.4216179181253052,2.492225589324881e-06,0.0770601646403808,1.945260897021006e-07,HCM_non_sarcomeric,HCM,PreSpecified_H4_Stratum,True,False,0,,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
CSRP3,0.097889451561438,0.6921188074381123,0.1124482459791489,0.3854704208062594,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
FLNC,-0.342914008790519,0.0010232061674896,0.087433501756907,0.0001358290911976,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
JPH2,0.0095212077036753,0.94144931088439,0.0423407663734894,0.8224006946326319,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
LMNA,-0.5129365916265141,2.5909063902644696e-16,0.0512566129980918,3.3818838365762517e-18,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYBPC3,-0.0496806247194024,0.7641241370819705,0.0698394857862955,0.4780234205580391,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYH7,-0.0994236668916344,0.571103938527216,0.0892908312197878,0.2673699372859028,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYL2,-0.1154626826124831,0.3611602594849291,0.0755023394094007,0.1284091436777785,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYL3,-0.2250993914973426,0.0002965466729164,0.0526831484711351,3.50565400472539e-05,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PLN,0.330043208555151,0.0002921462667866,0.0771675869230013,3.4466867864572055e-05,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RBM20,0.8235595133730028,1.0031201789497471e-14,0.088219925009888,1.7891088114756624e-16,HCM_non_sarcomeric,HCM,PreSpecified_H4_Stratum,True,False,0,,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNI3,0.3384252288340567,1.8888011868672745e-07,0.0559364575559216,1.2042692131032958e-08,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNT2,0.0379053936284437,0.7042390838481823,0.0448157986456867,0.3990750077829658,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TPM1,0.0010659348838885,0.994434887792927,0.0525833755902698,0.9838551849748872,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ACTN2,0.3426919379487149,7.89448560835886e-09,0.0509524558737118,3.886124475075981e-10,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ALPK3,0.06823707330624,0.458640032798237,0.0511513665986658,0.1843171428856611,,HCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
CACNA1C,0.0911373298630856,0.4028138740452049,0.0629883780594907,0.1501159139548055,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
