gene_symbol,cohort,log2FC,FDR,p_value,SE,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,matched_in_DE,selected_source_file,direction,score_eligible,abs_log2FC
LDB3,GSE57338_DCM_HF,0.1358446781434876,0.0317616830480918,0.0158979260479348,0.0560293424909875,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1358446781434876
LMNA,GSE141910_DCM,0.0611725518749146,0.5986626794168337,0.5404553211847642,0.0998307435542425,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0611725518749146
LMNA,GSE57338_DCM_HF,-0.1456326366918827,9.67462508536026e-08,1.828953573594267e-08,0.0252019200536575,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1456326366918827
MHRT,GSE141910_DCM,,,,,DCM,,ClinVar_PLP_review2plus,False,True,3,3.0,False,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
MHRT,GSE57338_DCM_HF,,,,,DCM,,ClinVar_PLP_review2plus,False,True,3,3.0,False,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
MT-TI,GSE141910_DCM,-0.2579354447695561,0.0757133202673077,0.0520173780845831,0.1322716073495403,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2579354447695561
MT-TI,GSE57338_DCM_HF,,,,,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,False,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
MYBPC3,GSE141910_DCM,0.090883886873339,0.2532015098789563,0.2004631626584488,0.0708481758267043,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.090883886873339
MYBPC3,GSE57338_DCM_HF,0.1408029417145231,0.0035362810189397,0.0014122644049721,0.0437129225114207,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1408029417145231
MYH7,GSE141910_DCM,0.2232728600643199,0.0009387530668674,0.0004293427438646,0.0627623346301692,DCM,,ClinVar_PLP_review2plus,False,True,66,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.2232728600643199
MYH7,GSE57338_DCM_HF,0.0660540578920745,0.0559607774566558,0.0303392244333468,0.0303615478165777,DCM,,ClinVar_PLP_review2plus,False,True,66,3.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0660540578920745
MYPN,GSE141910_DCM,0.401368392119422,3.52250073232424e-08,8.276820712802054e-09,0.0678507795780462,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.401368392119422
MYPN,GSE57338_DCM_HF,-0.0613491221786732,0.3774223300900369,0.2815072274260798,0.0568672605127822,DCM,,ClinVar_PLP_review2plus,False,True,6,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0613491221786732
NCAPH2,GSE141910_DCM,0.3039516734438319,0.0005330841948107,0.0002326934250669,0.0816732739170076,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.3039516734438319
NCAPH2,GSE57338_DCM_HF,0.01566314585801,0.4909099544539541,0.39027941513508,0.0182063405095651,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.01566314585801
NEXN,GSE141910_DCM,-0.2921223273407651,1.4808797991155796e-05,5.001058987776483e-06,0.0629388835138483,DCM,,ClinVar_PLP_review2plus,False,True,3,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2921223273407651
NEXN,GSE57338_DCM_HF,0.0137593373375723,0.7141490127975729,0.6295686260496158,0.0284983100062253,DCM,,ClinVar_PLP_review2plus,False,True,3,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0137593373375723
NKX2-5,GSE141910_DCM,-0.049861465706626,0.7358503444170046,0.6900211731798844,0.1249107466220698,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.049861465706626
NKX2-5,GSE57338_DCM_HF,-0.2871019853745857,4.495591713467499e-11,5.4408750566415936e-12,0.0400330603294663,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2871019853745857
