gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_dcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_DCM_log2FC,GSE141910_DCM_FDR,GSE141910_DCM_p_value,GSE141910_DCM_SE,GSE141910_DCM_direction,GSE57338_DCM_HF_log2FC,GSE57338_DCM_HF_FDR,GSE57338_DCM_HF_p_value,GSE57338_DCM_HF_SE,GSE57338_DCM_HF_direction,DCM_uncertainty_method,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_majority_tier,bootstrap_tier_matches_primary,same_direction_across_two_DCM_cohorts,both_DCM_cohorts_FDR_lt_0_05,one_or_more_DCM_cohorts_FDR_lt_0_05,absolute_log2FC_difference_between_DCM_cohorts,note
MT-TI,DCM,,ClinVar_PLP_review2plus,False,True,1,GSE141910_DCM,-0.2579354447695561,,0.0757133202673077,0,,,0.0,,INSUFFICIENT_COVERAGE,-0.2579354447695561,0.0757133202673077,0.0520173780845831,0.1322716073495403,DOWN,,,,,,INSUFFICIENT_COVERAGE,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,,,,,Insufficient DCM cohort coverage.
MYBPC3,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.11584341429393105,0.03529810218862443,0.0035362810189397,1,1.0,0.8476473505042674,0.5,0.8216765726764936,HIGH,0.090883886873339,0.2532015098789563,0.2004631626584488,0.0708481758267043,UP,0.1408029417145231,0.0035362810189397,0.0014122644049721,0.0437129225114207,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.0499190548411841,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
MYH7,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.1446634589781972,0.11117048114602103,0.0009387530668674,1,1.0,0.6157617067528575,0.5,0.7405165973635002,HIGH,0.2232728600643199,0.0009387530668674,0.0004293427438646,0.0627623346301692,UP,0.0660540578920745,0.0559607774566558,0.0303392244333468,0.0303615478165777,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.1572188021722454,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
MYPN,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.17000963497037438,0.32719069213396634,3.52250073232424e-08,1,0.0,0.037728972857973386,0.5,0.13820514050029067,UNSTABLE,0.401368392119422,3.52250073232424e-08,8.276820712802054e-09,0.0678507795780462,UP,-0.0613491221786732,0.3774223300900369,0.2815072274260798,0.0568672605127822,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,False,True,0.4627175142980952,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
NCAPH2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.15980740965092094,0.20385077279421976,0.0005330841948107,1,1.0,0.36219862007804904,0.5,0.6517695170273172,MODERATE,0.3039516734438319,0.0005330841948107,0.0002326934250669,0.0816732739170076,UP,0.01566314585801,0.4909099544539541,0.39027941513508,0.0182063405095651,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.2882885275858219,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
NEXN,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.1391814950015964,0.21629099933468202,1.4808797991155796e-05,1,0.0,0.22298938040505611,0.5,0.20304628314176965,UNSTABLE,-0.2921223273407651,1.4808797991155796e-05,5.001058987776483e-06,0.0629388835138483,DOWN,0.0137593373375723,0.7141490127975729,0.6295686260496158,0.0284983100062253,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,False,True,0.3058816646783374,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
NKX2-5,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.16848172554060586,0.1677543802294348,4.495591713467499e-11,1,1.0,0.5021585287924766,0.5,0.7007554850773668,HIGH,-0.049861465706626,0.7358503444170046,0.6900211731798844,0.1249107466220698,DOWN,-0.2871019853745857,4.495591713467499e-11,5.4408750566415936e-12,0.0400330603294663,DOWN,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.2372405196679597,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
PLN,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,GSE141910_DCM;GSE57338_DCM_HF,-0.0707427573499575,0.22681217810291673,0.0006190668624264,2,0.0,0.0,1.0,0.25,UNSTABLE,-0.2311231865422209,0.0006190668624264,0.0002739370030247,0.0628322728161525,DOWN,0.0896376718423059,0.0283885689320918,0.013990219936314,0.0362685945865605,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,False,True,True,0.3207608583845268,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
PMS2,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.12642529587221515,0.12220752822207293,1.114406143625992e-11,1,1.0,0.516680869208348,0.5,0.7058383042229218,HIGH,0.040011523954341,0.5670354012433079,0.5065124199406137,0.0601673458368433,UP,0.2128390677900893,1.114406143625992e-11,1.2435573690731117e-12,0.0287444546121782,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,False,True,0.17282754383574828,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
PPCS,DCM,,ClinVar_PLP_review2plus,False,True,2,GSE141910_DCM;GSE57338_DCM_HF,0.11823699169003585,0.07481466166210314,4.692329193341367e-10,2,1.0,0.6836241323771435,1.0,0.8892684463320002,HIGH,0.1711389462834862,4.692329193341367e-10,8.668376730528534e-11,0.025518644212332,UP,0.0653350370965855,0.0084221653125499,0.0036258554235544,0.0222888771882153,UP,TWO_COHORT_LIMITATION_NO_PERCENTILE_BOOTSTRAP,,,,,,,,,,NOT_ESTIMATED_TWO_COHORT_DCM,,True,True,True,0.10580390918690069,Two-cohort DCM diagnostic; percentile bootstrap not estimated.
