gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction,abs_log2FC_calc
FLNC,-1.0243574877286916,1.016185552118092e-05,0.2039269348024408,1.8248447738655489e-06,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,1.0243574877286916
FLNC,-0.342914008790519,0.0010232061674896,0.087433501756907,0.0001358290911976,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.342914008790519
GLA,-0.4111015190743852,2.316239392365999e-06,0.0758568346400058,1.7791240835869125e-07,,HCM,ClinVar_PLP_review2plus,False,True,8,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.4111015190743852
GLA,-0.6492459624229141,5.314147751268396e-13,0.0742407138050206,1.819959611517421e-14,,HCM,ClinVar_PLP_review2plus,False,True,8,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.6492459624229141
GLA,-0.5106256107532672,3.5664993852147904e-20,0.0439981513663339,2.3411869305209306e-22,,HCM,ClinVar_PLP_review2plus,False,True,8,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.5106256107532672
JPH2,-0.0938695591396107,0.4920469648214389,0.0992928819956523,0.3456528265274571,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0938695591396107
JPH2,0.1443302892079416,0.1762792525917891,0.0917733444962934,0.1184699943489364,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.1443302892079416
JPH2,0.0095212077036753,0.94144931088439,0.0423407663734894,0.8224006946326319,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0095212077036753
KCNH2,-0.710044935498903,4.693406821358356e-07,0.1228702484612385,2.996600692943108e-08,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.710044935498903
KCNH2,-0.5808608874031778,9.743404645131927e-05,0.1316431875657013,2.273625259349944e-05,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.5808608874031778
KCNH2,-0.1090147168190623,0.0410327279441679,0.0407621410943813,0.0083581170988107,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.1090147168190623
