gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier
TCAP,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,-0.15830896920204773,0.2655612360216872,0.0002633843335537,1,0.3333333333333333,0.16125650567923688,0.3333333333333333,0.27310644365439957,UNSTABLE
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,3,GSE141910|GSE249925|GSE36961,0.060467316647778435,0.17532386697691157,0.0075797885381488,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.026583918028694264,0.2309963018249076,0.0080675917319001,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,3,GSE141910|GSE249925|GSE36961,-0.04789477930583247,0.13411550628848903,0.0032713764106017,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,3,GSE141910|GSE249925|GSE36961,0.1231790161141297,0.2893329595762849,7.321173813635676e-08,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,3,GSE141910|GSE249925|GSE36961,-0.048889459351539065,0.07516763628662797,0.233846544386933,0,0.3333333333333333,0.23124905364430404,0.0,0.21427050210883974,UNSTABLE
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.06433562070645103,0.14756850168146585,0.0513617441302739,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.04731092095298547,0.15355572984088867,0.1301612926694358,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0199939792573354,0.11944476190361214,0.1762792525917891,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,3,GSE141910|GSE249925|GSE36961,0.019033105743145737,0.06415827852147833,0.698704809303921,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0005354183293971351,0.05297862863076702,0.6450664126415696,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
TTN,HCM,,ClinVar_PLP_review2plus,False,True,115,2.0,3,GSE141910|GSE249925|GSE36961,-0.0577673178640442,0.2803379728801225,0.0968923401853897,0,0.3333333333333333,0.0,0.0,0.13333333333333333,UNSTABLE
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,2,GSE141910|GSE249925,-0.1119601171554263,0.2277294062193911,0.1268641692743559,0,0.0,0.0,0.0,0.0,UNSTABLE
CASR,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,1,GSE36961,-0.0135691425418498,,0.8291552979366176,0,,,0.0,,INSUFFICIENT_COHORT_COVERAGE
RPL36A-HNRNPH2,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,1,GSE249925,-0.4262889373630525,,3.4174721900688497e-07,1,,,1.0,,INSUFFICIENT_COHORT_COVERAGE
