gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_log2FC,GSE141910_FDR,GSE141910_SE,GSE141910_p_value,GSE249925_log2FC,GSE249925_FDR,GSE249925_SE,GSE249925_p_value,GSE36961_log2FC,GSE36961_FDR,GSE36961_SE,GSE36961_p_value
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.36104691646393516,0.24060969370296414,3.2513003854312975e-13,2,1.0,0.6667888815399998,0.6666666666666666,0.8000427752056666,HIGH,0.0848428805938757,0.710835483732169,0.1568838944456551,0.5892719801673201,0.5251589830466012,3.2099484480510006e-06,0.0987533918821668,5.047680552993549e-07,0.4731388857513285,3.2513003854312975e-13,0.0544555436629849,7.688828000214055e-15
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.27240234189019363,0.18532844302157916,8.067123952508962e-05,2,1.0,0.6598258999251083,0.6666666666666666,0.7976057316404546,HIGH,0.3189508504500202,0.0265516880786465,0.1198158385475857,0.0084260340010829,0.4300191019143207,8.067123952508962e-05,0.0963183661127049,1.8474920508046272e-05,0.06823707330624,0.458640032798237,0.0511513665986658,0.1843171428856611
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,3,GSE141910|GSE249925|GSE36961,0.1370606832033087,0.11062951965188356,0.0001046892457475,2,1.0,0.5964213913636287,0.6666666666666666,0.7754141536439366,HIGH,0.0614469709251586,0.7064720734616484,0.1117291559275703,0.582983517867099,0.2640348848509517,0.0009563510016565,0.0707782542577025,0.0002953170317891,0.0857001938338157,0.0001046892457475,0.018820772351036,1.119753915304287e-05
TNNC1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.12997623787456383,0.04318963590441976,0.0197426142010275,1,1.0,0.8338556469602514,0.3333333333333333,0.7751828097694213,HIGH,0.1611055382049729,0.310816921314031,0.1210494019314902,0.1847978098041127,0.0806688900510401,0.5931293822804142,0.1211547823759208,0.5068171765814509,0.1481542853676785,0.0197426142010275,0.0501163521849164,0.0036442927339316
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.321913670100112,0.27066868526408333,2.505756121928153e-09,2,1.0,0.579594297471263,0.6666666666666666,0.7695246707816087,HIGH,0.0104653151712822,0.9424187027333718,0.0889637079100476,0.9064792221451494,0.455021949579224,0.0036852807686851,0.1388385427235433,0.0013766826680441,0.5002537455498299,2.505756121928153e-09,0.0718684055838975,1.1293397618516811e-10
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,3,GSE141910|GSE249925|GSE36961,-0.3041335448558479,0.2850764072358427,2.143243221901844e-05,2,1.0,0.53133021322761,0.6666666666666666,0.7526322412963301,HIGH,-0.0669129119350639,0.7259593040204741,0.1301115308599698,0.6076522106142315,-0.6203883311351372,2.143243221901844e-05,0.128495183468001,4.17245821223277e-06,-0.2250993914973426,0.0002965466729164,0.0526831484711351,3.50565400472539e-05
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,3,GSE141910|GSE249925|GSE36961,-0.4688656469169615,0.5044500897403315,1.016185552118092e-05,2,1.0,0.46205262311564477,0.6666666666666666,0.7283850847571424,HIGH,-0.0393254442316739,0.8946305869615503,0.1905784525203842,0.8367378930070353,-1.0243574877286916,1.016185552118092e-05,0.2039269348024408,1.8248447738655489e-06,-0.342914008790519,0.0010232061674896,0.087433501756907,0.0001358290911976
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.3984599964379101,0.37868972391744404,0.0193693541020183,1,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH,-0.6662340681855963,0.0193693541020183,0.2386379113283691,0.0057711530938655,-0.1306859246902239,0.3758223339971812,0.1234402764437218,0.2918999197202926,,,,
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.11733639511431199,0.09587344710483538,0.0135238106609304,1,1.0,0.591459039578329,0.3333333333333333,0.6903439971857486,MODERATE,-0.2152729454452217,0.0135238106609304,0.0733073099792896,0.0037242277177364,-0.1130675823810225,0.3378590674270543,0.0992115156037095,0.2567353181396282,-0.0236686575166918,0.751774255587104,0.0319597851075139,0.4601646834392541
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,-0.15723484440425742,0.1420532234473193,0.0001988088629154,1,1.0,0.5482768975746417,0.3333333333333333,0.6752302474844579,MODERATE,-0.3194775548119728,0.0001988088629154,0.0743476685382006,2.7480790806499696e-05,-0.0970203177844453,0.084768993784788,0.0491052158684771,0.0505153785153756,-0.0552066606163541,0.3623150169647331,0.0361539647726144,0.1289728877172986
