feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,n_samples_used,n_hcm,n_control,n_male,n_female,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
FCER1G,FCER1G,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.174258517773589,8.641201543888888,-1.4478966821403978,0.09665205308446558,-14.980506217235352,9.995121136176283e-31,1.1821104828741489e-27,1.4478966821403978
ZDHHC9,ZDHHC9,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.26923916342453,8.254725548972226,-0.9952887085784939,0.06652879600107932,-14.960269363094246,1.1224010765780227e-30,1.2872239740658134e-27,0.9952887085784939
CTSC,CTSC,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.468171190113209,7.6207985645555585,-1.1479052143227224,0.07681367743084962,-14.944021074321135,1.2319541574306249e-30,1.3713099130035127e-27,1.1479052143227224
SLCO4A1,SLCO4A1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.533305917386792,7.522732829999997,-1.0187395203714371,0.06861267590704344,-14.847686770759779,2.1410032697547102e-30,2.3150974213467646e-27,1.0187395203714371
NFKBIZ,NFKBIZ,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.336090554339623,8.230104301472222,-0.9196359266602875,0.062005949581988205,-14.831414289435024,2.350704951478638e-30,2.4712438776016818e-27,0.9196359266602875
PROS1,PROS1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,11.8203725509434,10.365793807166671,1.4728402501586144,0.09977635471199268,14.761415712269807,3.514657113226847e-30,3.595019273167115e-27,1.4728402501586144
TIPARP,TIPARP,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.525315053528303,9.807424489611114,-1.311265203128737,0.08921452701249588,-14.697888864501563,5.0650619562552906e-30,4.892428746784058e-27,1.311265203128737
CMTM7,CMTM7,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.217573722886792,7.9229682082499995,-0.685753863996367,0.046671160206752535,-14.693310836038524,5.200290743147672e-30,4.892428746784058e-27,0.685753863996367
JAK2,JAK2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.809494621594341,7.609960175500002,1.168535283043695,0.07954354169063899,14.690511111365476,5.284768760754534e-30,4.892428746784058e-27,1.168535283043695
SCN2B,SCN2B,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.695849746792453,7.474480598305555,1.233313573050844,0.08395596058429616,14.690006099239765,5.3001526876855246e-30,4.892428746784058e-27,1.233313573050844
MGST1,MGST1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.217400350235849,6.8592721380277775,-0.6710029917865845,0.04576476471123323,-14.662000253262153,6.22745840077534e-30,5.611533110374846e-27,0.6710029917865845
LOC653888,LOC653888,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.074564089990563,8.25631248186111,-1.1690056685495764,0.08033309860284682,-14.551980303024806,1.1740428346210088e-29,1.0333215143969001e-26,1.1690056685495764
ARPC1B,ARPC1B,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.690482624433965,7.649827835555554,-0.9493624144922224,0.06558999972904063,-14.474194517672526,1.8393067183470027e-29,1.582054592330924e-26,0.9493624144922224
CD97,CD97,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.081431323952835,8.86090185161111,-0.7699552792748592,0.05321058665386745,-14.469964112280602,1.8847952211980423e-29,1.5851546653658023e-26,0.7699552792748592
MTCH1,MTCH1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,11.915928797641508,12.418760496388892,-0.5277379525078314,0.03652062114686264,-14.450410095315902,2.110158224017719e-29,1.7274724369535865e-26,0.5277379525078314
C7ORF41,C7ORF41,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,10.761762009367924,9.49651239847222,1.2895726444570617,0.08925891130028793,14.447550677810046,2.1453047755857573e-29,1.7274724369535865e-26,1.2895726444570617
MAFB,MAFB,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.665254697858488,8.95038248961111,-1.251634001189194,0.08732249776919938,-14.333465408849923,4.149176854727663e-29,3.2714530675838153e-26,1.251634001189194
MT1A,MT1A,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,10.432359276830189,11.948542734250001,-1.5741441921224653,0.10992076073610826,-14.320717775066935,4.4668481641266867e-29,3.450047665704869e-26,1.5741441921224653
CORO1A,CORO1A,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.480503318679248,7.23409269875,-0.7360589933585245,0.05159436456089266,-14.26626724881578,6.122374804608487e-29,4.634147937104256e-26,0.7360589933585245
GALK1,GALK1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.747325196716982,9.471669525583337,-0.7139673459572023,0.05016340051091199,-14.232833872613835,7.43091244311242e-29,5.514319849451621e-26,0.7139673459572023
INPP1,INPP1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.57252805945283,9.221903964555558,-0.6335189220850326,0.04465541952986432,-14.186831716167228,9.701818273218204e-29,7.061057968619541e-26,0.6335189220850326
SMOC2,SMOC2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.83371528450943,8.370124175472222,1.5161525768347757,0.1082786692917868,14.00232000218883,2.8320102353454184e-28,2.0222690446581643e-25,1.5161525768347757
ALOX5,ALOX5,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.744604050764153,7.620100898277776,-0.8699395052162887,0.06239666783506761,-13.94208273294,4.020022459672929e-28,2.817440185347809e-25,0.8699395052162887
RANGAP1,RANGAP1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.575561514415096,9.476906248083333,-0.8953128204035095,0.0645499925634908,-13.87006852902249,6.113084458923432e-28,4.206468989680295e-25,0.8953128204035095
XLKD1,XLKD1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.433883936066039,7.547591298805555,-1.1243944477494539,0.08118278036321314,-13.850159389945675,6.864587693510973e-28,4.621184808318461e-25,1.1243944477494539
SEC14L1,SEC14L1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.06451693564151,7.579715153305557,-0.5160980228397182,0.03726934238572115,-13.84778989385787,6.959983461241671e-28,4.621184808318461e-25,0.5160980228397182
SORBS2,SORBS2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,11.76535943433963,10.952858232222225,0.7966939274766407,0.05761171568777174,13.828679079691796,7.779584016836779e-28,5.07631270174491e-25,0.7966939274766407
STAT3,STAT3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.894599189311323,9.97279418188889,-1.0975479583780001,0.0796187857645965,-13.785037637010017,1.0032453037529003e-27,6.394220875355867e-25,1.0975479583780001
TDRD9,TDRD9,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.528975316,7.229797270083332,-0.7419897989327184,0.053832695919218874,-13.783255441008292,1.0137220644753792e-27,6.394220875355867e-25,0.7419897989327184
SMYD2,SMYD2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,10.591942451754715,9.778471733416668,0.8275661425540268,0.060177198164216184,13.752154766257155,1.2152577323666802e-27,7.539777727729406e-25,0.8275661425540268
C10ORF71,C10ORF71,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.492559356056605,6.686360960361111,0.8292228755384259,0.06044725460573926,13.7181230305155,1.4820864491713622e-27,9.04694254118377e-25,0.8292228755384259
CHRDL2,CHRDL2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.059841005773588,7.264958899638886,-1.2026244434657676,0.0877436101197989,-13.70611993082789,1.5895959709547679e-27,9.549182399484784e-25,1.2026244434657676
FRZB,FRZB,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.363353608377357,7.973908933,1.466125488303848,0.10710365413064139,13.688846568348806,1.758171695299263e-27,1.0396838434421236e-24,1.466125488303848
PIM1,PIM1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.040932293245283,8.411781520027779,-1.3617984671342098,0.09958859925236574,-13.674240599401344,1.914621955326432e-27,1.1147812695582176e-24,1.3617984671342098
CHST7,CHST7,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.610491151141504,9.651752197944445,-1.0836543284379387,0.0792977374993435,-13.665639936409411,2.0131962682026324e-27,1.1544155449454065e-24,1.0836543284379387
IL18R1,IL18R1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.355473600962264,7.1022052187777795,-0.7649053310999117,0.056181868264982386,-13.614807672329931,2.7089001989381917e-27,1.5250710298062619e-24,0.7649053310999117
HCK,HCK,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.468281413433963,7.074401743416665,-0.6136824538797468,0.04508114087993722,-13.612842130906637,2.7401794120072348e-27,1.5250710298062619e-24,0.6136824538797468
F13A1,F13A1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.981335625481129,8.556605353888889,-1.565754434005242,0.11580065649672762,-13.521118803411001,4.6835793869070086e-27,2.5689093547374295e-24,1.565754434005242
IRX6,IRX6,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.143926002386792,7.78931547986111,1.3961086483747014,0.10335623051393648,13.50773573525837,5.064830263134528e-27,2.7195572857082053e-24,1.3961086483747014
PPARG,PPARG,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.945195170698116,7.401555237861108,-0.49666671993998074,0.036772457763589686,-13.506486923801873,5.10195442808441e-27,2.7195572857082053e-24,0.49666671993998074
BTG2,BTG2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.165863510490565,9.671700935249998,-1.539628413076799,0.11407804241757112,-13.496273081555389,5.4160031510070064e-27,2.8221857612682876e-24,1.539628413076799
HS.177532,HS.177532,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.740019154254714,7.718912591722224,1.0076391426637634,0.07466536032420922,13.495403200204612,5.443628403862627e-27,2.8221857612682876e-24,1.0076391426637634
LMOD2,LMOD2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.795047352358486,8.550244711305556,1.2676731706315298,0.09398848090849601,13.48753760437615,5.699918247361259e-27,2.9151230539139756e-24,1.2676731706315298
CD248,CD248,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.9439330746415076,8.939211810722218,-0.9849542575127075,0.07323184434916909,-13.449808157451972,7.107758627763794e-27,3.5866697736846474e-24,0.9849542575127075
SLCO2B1,SLCO2B1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.885607149396228,8.81581339575,-0.9029961042516459,0.06723401249888425,-13.4306442630749,7.951330814462903e-27,3.959553500054777e-24,0.9029961042516459
LRRC8A,LRRC8A,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.360079963952828,8.262867117722221,-0.9096819698797612,0.06776136209786227,-13.42478872496661,8.228569001760458e-27,4.0443950966315104e-24,0.9096819698797612
ACE2,ACE2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.596103045896227,7.825706348944444,1.851139809002708,0.13797299658539303,13.416681921936927,8.62845323221554e-27,4.186569756749094e-24,1.851139809002708
CEBPB,CEBPB,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,10.976458316415094,11.93762057861111,-0.9880114315593475,0.07367701593594661,-13.410035938728921,8.970761293406207e-27,4.297562429243687e-24,0.9880114315593475
IFITM2,IFITM2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,11.513636164056603,12.696571052777777,-1.1311836331686125,0.0847145450243607,-13.352885656687725,1.253642179521465e-26,5.930667740771171e-24,1.1311836331686125
