feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
GALK1,GALK1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.747325196716982,9.49168752269231,-0.7443623259753283,0.048266326763141965,-15.421979999185522,3.218104078065231e-32,3.291685592931263e-29,0.7443623259753283
ZDHHC9,ZDHHC9,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.26923916342453,8.276080636871797,-1.0068414734472675,0.06540353077039857,-15.39429846657393,3.780235585719677e-32,3.7649156836091286e-29,1.0068414734472675
NFKBIZ,NFKBIZ,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.336090554339623,8.257074515948718,-0.9209839616090965,0.059944225653867096,-15.364014658010388,4.5086585268366025e-32,4.296698232701234e-29,0.9209839616090965
PROS1,PROS1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,11.8203725509434,10.348228854846155,1.4721436960972407,0.09582536161387552,15.362777361897,4.541244234742096e-32,4.296698232701234e-29,1.4721436960972407
C7ORF41,C7ORF41,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.761762009367924,9.455787622871794,1.3059743864961282,0.08516418559324043,15.334783951715316,5.345039166367805e-32,4.9338622509842924e-29,1.3059743864961282
TIPARP,TIPARP,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.525315053528303,9.827362747923075,-1.3020476943947759,0.08512851141460184,-15.295083547900962,6.735682828277479e-32,6.069491721880702e-29,1.3020476943947759
SLCO4A1,SLCO4A1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.533305917386792,7.534588601230766,-1.0012826838439777,0.0656227232304273,-15.258170258007715,8.352570358850734e-32,7.35142739072244e-29,1.0012826838439777
LOC653888,LOC653888,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.074564089990563,8.28209603597436,-1.2075319459837937,0.07941758087263158,-15.204844226121804,1.1399946992120997e-31,9.805508951450256e-29,1.2075319459837937
CORO1A,CORO1A,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.480503318679248,7.272303454051282,-0.7918001353720386,0.05213294518407262,-15.188095216495562,1.2570555130779138e-31,1.0572116210654827e-28,0.7918001353720386
ALOX5,ALOX5,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.744604050764153,7.642736602333332,-0.8981325515691839,0.05957705657517557,-15.075141391651357,2.431867425750278e-31,2.0007924911944567e-28,0.8981325515691839
SORBS2,SORBS2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,11.76535943433963,10.938708471794873,0.8266509625447482,0.055100342851171324,15.002646440469023,3.716562046827802e-31,2.992702281366915e-28,0.8266509625447482
CTSC,CTSC,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.468171190113209,7.717055631564102,-1.2488844414508957,0.08338987820640432,-14.976451199025515,4.332628081964012e-31,3.4160967164585416e-28,1.2488844414508957
CD97,CD97,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.081431323952835,8.875861132205127,-0.7944298082522994,0.053095923580244495,-14.962161964311031,4.710833943665853e-31,3.6384943149383236e-28,0.7944298082522994
XLKD1,XLKD1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.433883936066039,7.593889984461536,-1.1600060483955015,0.07772715830926098,-14.924076392707772,5.888596616831775e-31,4.4571965512123075e-28,1.1600060483955015
SEC14L1,SEC14L1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.06451693564151,7.5885886849999995,-0.5240717493584921,0.03550725410063532,-14.759568506006074,1.5461932224142187e-30,1.1473966410880104e-27,0.5240717493584921
HS.177532,HS.177532,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.740019154254714,7.680984289282053,1.0590348649726635,0.07180573152090411,14.748611880158299,1.6490100107217165e-30,1.2001621704956553e-27,1.0590348649726635
STAT3,STAT3,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.894599189311323,10.013470955589744,-1.1188717662784238,0.07600552273011894,-14.72092719171636,1.940394533785996e-30,1.3855881419936756e-27,1.1188717662784238
MT1A,MT1A,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.432359276830189,11.981855729051281,-1.5494964522210952,0.10592586076846673,-14.628122358221777,3.349546623080162e-30,2.3475359536498484e-27,1.5494964522210952
PIM1,PIM1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.040932293245283,8.40470178851282,-1.3637694952675385,0.09328715883206204,-14.61904845577548,3.5333344923862225e-30,2.4313195854336177e-27,1.3637694952675385
ARPC1B,ARPC1B,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.690482624433965,7.656179359358973,-0.965696734925014,0.06636237690523683,-14.551870803301625,5.2483940488209886e-30,3.5469771637799845e-27,0.965696734925014
HCK,HCK,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.468281413433963,7.105487222384615,-0.6372058089506535,0.0438797655351563,-14.521632036527784,6.272352782551854e-30,4.164622165060657e-27,0.6372058089506535
EBI2,EBI2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.228884924254721,6.8157543829230764,-0.5868694586683618,0.040427637624067446,-14.51654098925102,6.463467038395812e-30,4.2175236816401366e-27,0.5868694586683618
IFITM2,IFITM2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,11.513636164056603,12.721825912307692,-1.2081897482510913,0.08347554852053324,-14.473576630094282,8.327361744264082e-30,5.341649704634211e-27,1.2081897482510913
WAS,WAS,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.930007507311322,7.868740277384616,-0.9387327700732961,0.0650114423167669,-14.439500749719416,1.0181923322459564e-29,6.422417834363411e-27,0.9387327700732961
ITGB2,ITGB2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.427755138056606,9.840933415923073,-1.413178277866476,0.09831834324512657,-14.373495638989262,1.5034465508000927e-29,9.327776747800051e-27,1.413178277866476
SMOC2,SMOC2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.83371528450943,8.346663721051282,1.4870515634581507,0.10363648603721956,14.348726209455783,1.740376571265461e-29,1.0623595438082684e-26,1.4870515634581507
CD248,CD248,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.9439330746415076,8.927422265666662,-0.9834891910251585,0.06871333617790025,-14.312930294621188,2.150442129020137e-29,1.2918354415062874e-26,0.9834891910251585
RANGAP1,RANGAP1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.575561514415096,9.516792317025642,-0.9412308026105499,0.06579733083524769,-14.304999772214646,2.253670683852684e-29,1.3264432250517362e-26,0.9412308026105499
