gene_symbol_upper,gene_symbol,log2FC_disease_only,SE_disease_only,p_value_disease_only,FDR_disease_only,log2FC_adjusted_age_sex,SE_adjusted_age_sex,p_value_adjusted_age_sex,FDR_adjusted_age_sex,same_direction,abs_log2FC_change
ALOX5AP,ALOX5AP,-1.3851009659697635,0.1045875217740172,1.2461687751997095e-26,3.861435092308349e-24,-1.290513356151781,0.10364390127302738,2.5157435107778874e-24,7.052653993251847e-22,True,0.09458760981798253
FRZB,FRZB,1.399855477505561,0.105706044765188,1.2503081075116502e-26,3.861435092308349e-24,1.466125488303848,0.10710365413064139,1.758171695299263e-27,1.0396838434421236e-24,True,0.06627001079828698
SLC12A9,SLC12A9,-0.6005485796468324,0.0453508236163468,1.2549715065104024e-26,3.861435092308349e-24,-0.5812873236799088,0.04699359550608708,4.0797016092182444e-24,1.0787210286816698e-21,True,0.01926125596692363
FAM110B,FAM110B,0.7688272027140772,0.0581388914604797,1.4002477221374363e-26,4.2736915558075336e-24,0.7649391873512924,0.06006531414241268,4.723701852097346e-25,1.5636816322530192e-22,True,0.0038880153627848246
C14ORF132,C14ORF132,1.3036699790665196,0.0987479525283824,1.5970288109773666e-26,4.835292190419953e-24,1.3313745848099166,0.10536928961366417,8.504736978299527e-25,2.727714200684101e-22,True,0.02770460574339695
HAVCR2,HAVCR2,-1.051982113984037,0.0797681465777635,1.736551543744284e-26,5.199112830822687e-24,-0.9926837754792948,0.08237142197387705,2.672776587111245e-23,5.950229571518364e-21,True,0.05929833850474231
GPR56,GPR56,-0.8849962349571847,0.0671101536131762,1.7446687351753984e-26,5.199112830822687e-24,-0.8905468742744712,0.06980936917476005,4.156628082843395e-25,1.3921393488786824e-22,True,0.005550639317286499
CCND2,CCND2,0.6970460729704877,0.0528802103277089,1.8042615557095754e-26,5.334693971670672e-24,0.661192746856504,0.05282547595499464,1.713110797694998e-24,5.0259218022918515e-22,True,0.03585332611398373
ARHGAP4,ARHGAP4,-0.5552503772774565,0.0421497466308952,1.8964443920049518e-26,5.5637856170402636e-24,-0.5500645649034237,0.04496672020082379,9.150734788751323e-24,2.2058516485037106e-21,True,0.005185812374032817
CAPN1,CAPN1,-0.6338747399400126,0.0482170586104419,2.2291192998964136e-26,6.489480694144591e-24,-0.6445364082568015,0.049546435768198685,9.444042978435727e-26,3.843217747977188e-23,True,0.01066166831678883
