gene_symbol_target,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,gene_symbol_upper,gene_symbol_de,feature_id,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC,gene_symbol
MYH7,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy|Cardiovascular_phenotype|not_provided | Cardiovascular_phenotype|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",,,,MYH7,MYH7,MYH7,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.712802106698115,14.812225773589745,-0.0994236668916344,0.08929083121978781,-1.1134812559523024,0.2673699372859028,0.571103938527216,0.0994236668916344,MYH7
MYL2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_10,,,,MYL2,MYL2,MYL2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.733183135849053,14.848645818461538,-0.11546268261248316,0.07550233940940075,-1.5292596695104121,0.12840914367777853,0.36116025948492914,0.11546268261248316,MYL2
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|not_provided,,,,MYL3,MYL3,MYL3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,14.148982169528306,14.37408156102564,-0.2250993914973426,0.05268314847113517,-4.272701955553651,3.50565400472539e-05,0.0002965466729164889,0.2250993914973426,MYL3
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,PLN,PLN,PLN,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,10.522076680632074,10.192033472076925,0.330043208555151,0.0771675869230013,4.276966816190221,3.4466867864572055e-05,0.0002921462667866952,0.330043208555151,PLN
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,,,,,,RBM20,RBM20,RBM20,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.432343746603772,10.608784233230768,0.8235595133730028,0.08821992500988801,9.33530053761319,1.7891088114756624e-16,1.003120178949747e-14,0.8235595133730028,RBM20
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy,_familial_restrictive,_1|Hypertrophic_cardiomyopathy_7 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,,TNNI3,TNNI3,TNNI3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.865921063962267,13.527495835128203,0.3384252288340567,0.05593645755592169,6.050172707052834,1.2042692131032958e-08,1.8888011868672745e-07,0.3384252288340567,TNNI3
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3",,,,TNNT2,TNNT2,TNNT2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.558038061320756,13.520132667692309,0.03790539362844375,0.04481579864568674,0.8458042648781833,0.3990750077829658,0.7042390838481823,0.03790539362844375,TNNT2
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy,,,,TPM1,TPM1,TPM1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.83960796103773,13.838542026153842,0.0010659348838885085,0.05258337559026981,0.020271328569589825,0.9838551849748871,0.994434887792927,0.0010659348838885085,TPM1
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,,ACTN2,ACTN2,ACTN2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.837058269999998,11.494366332051284,0.34269193794871494,0.05095245587371181,6.725719733668852,3.8861244750759813e-10,7.89448560835886e-09,0.34269193794871494,ACTN2
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_familial_hypertrophic_27|Cardiovascular_phenotype|not_provided|Primary_familial_hypertrophic_cardiomyopathy | Cardiomyopathy,_familial_hypertrophic_27|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy",,,,ALPK3,ALPK3,ALPK3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.0898550260754725,7.0216179527692315,0.06823707330624003,0.05115136659866587,1.3340224874464994,0.18431714288566117,0.458640032798237,0.06823707330624003,ALPK3
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Long_QT_syndrome_8|Cardiac_arrhythmia|Long_QT_syndrome|not_provided|Hypertrophic_cardiomyopathy_1|Timothy_syndrome,,,,CACNA1C,CACNA1C,CACNA1C,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.888661939452833,7.797524609589745,0.09113732986308562,0.06298837805949073,1.446891199151199,0.15011591395480553,0.4028138740452049,0.09113732986308562,CACNA1C
CASR,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_hypocalcemia_1|Familial_hypocalciuric_hypercalcemia|Hypertrophic_cardiomyopathy|Hypercalcemia|Hypocalciuria|Parathyroid_gland_adenoma|Familial_hypocalciuric_hypercalcemia_1|Neonatal_severe_primary_hyperparathyroidism|Epilepsy,_idiopathic_generalized,_susceptibility_to,_8|not_provided",,,,CASR,CASR,CASR,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,5.9898075925094325,6.003376735051282,-0.013569142541849835,0.02466316223806209,-0.5501785379698346,0.583055275167447,0.8291552979366176,0.013569142541849835,CASR
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome | Hypertrophic_cardiomyopathy_1|Long_QT_syndrome_9|Rippling_muscle_disease_2|Distal_myopathy,_Tateyama_type|Elevated_circulating_creatine_kinase_activity|Long_QT_syndrome|not_provided",,,,CAV3,CAV3,CAV3,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.518947737264149,7.0458088515128185,0.4731388857513285,0.05445554366298497,8.688534792334373,7.688828000214055e-15,3.2513003854312975e-13,0.4731388857513285,CAV3
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,CEP85L,,,,,,,,,,,,,,,,,CEP85L
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided | not_provided|Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome,,,,COQ9,COQ9,COQ9,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.245841067075474,11.088476014128206,0.15736505294726316,0.0683337036682209,2.3028907332655955,0.022727521937098767,0.09563551203373805,0.15736505294726316,COQ9
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,,DES,DES,DES,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,13.415383584905655,13.308677958205127,0.10670562670052725,0.06577680320309681,1.6222379547856087,0.10695508870424693,0.3179750421917462,0.10670562670052725,DES
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,,GLA,GLA,GLA,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.771136137169813,8.281761747923076,-0.5106256107532672,0.04399815136633393,-11.605615120093038,2.3411869305209306e-22,3.56649938521479e-20,0.5106256107532672,GLA
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Congenital_long_QT_syndrome|not_provided|Long_QT_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,KCNH2,KCNH2,KCNH2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.385755990924529,7.49477070774359,-0.10901471681906236,0.040762141094381345,-2.674410958115469,0.008358117098810734,0.04103272794416799,0.10901471681906236,KCNH2
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,,KIF5B,KIF5B,KIF5B,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.293667194575471,8.793413449025639,0.5002537455498299,0.07186840558389755,6.960690744222021,1.1293397618516811e-10,2.5057561219281538e-09,0.5002537455498299,KIF5B
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy|not_provided | Cardiovascular_phenotype|not_provided|Danon_disease|Hypertrophic_cardiomyopathy,,,,LAMP2,LAMP2,LAMP2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.052100940867922,9.075769598384612,-0.023668657516691838,0.031959785107513954,-0.7405762409562379,0.4601646834392541,0.751774255587104,0.023668657516691838,LAMP2
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Hereditary_cancer-predisposing_syndrome|Cardiovascular_phenotype|LZTR1-related_disorder|not_provided|Hypertrophic_cardiomyopathy_1,,,,LZTR1,LZTR1,LZTR1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.005890406358489,9.243972359589746,-0.2380819532312543,0.05074138795017249,-4.692066237231199,6.262580946581004e-06,6.145025628838597e-05,0.2380819532312543,LZTR1
MHRT,HCM,,ClinVar_PLP_review2plus,False,True,9,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Cardiomyopathy|not_specified|not_provided|Hypertrophic_cardiomyopathy_1|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|MYH7-related_skeletal_myopathy|Abnormality_of_the_musculature|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|Congenital_muscular_dystrophy | Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,,MHRT,,,,,,,,,,,,,,,,,MHRT
MRPL44,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Infantile_hypertrophic_cardiomyopathy_due_to_MRPL44_deficiency|not_provided,,,,MRPL44,MRPL44,MRPL44,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.803220722499999,7.664977565076926,0.1382431574230747,0.042590850866758005,3.2458416446188667,0.001458607716514344,0.008722146885637836,0.1382431574230747,MRPL44
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,,MT-TI,,,,,,,,,,,,,,,,,MT-TI
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,"Maternally-inherited_mitochondrial_myopathy|Hypertrophic_cardiomyopathy|MELAS_syndrome|Diabetes-deafness_syndrome_maternally_transmitted|Leigh_Syndrome_(mtDNA_mutation)|Auditory_neuropathy_spectrum_disorder|MT-TL1-related_disorders|MT-TL1-related_disorder|Leigh_syndrome,_mitochondrial|Short_stature|Sensorineural_hearing_loss_disorder|Glucose_intolerance|Stroke_disorder|not_specified|MERRF_syndrome|not_provided|Mitochondrial_disease|Age_related_macular_degeneration_2|MERRF/MELAS_overlap_syndrome|Histiocytoid_cardiomyopathy|Cyclical_vomiting_syndrome|3-methylglutaconic_aciduria_type_1|Leigh_syndrome|Focal_segmental_glomerulosclerosis_1|Cerebral_palsy|Mitochondrial_complex_IV_deficiency,_nuclear_type_1|See_cases",,,,MT-TL1,,,,,,,,,,,,,,,,,MT-TL1
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | Inborn_genetic_diseases|not_provided|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | MTO1-related_disorder|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency|not_provided,,,,MTO1,MTO1,MTO1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,7.801468819490569,7.760591260025642,0.04087755946492297,0.03364953207698565,1.2148032065171235,0.226443247674556,0.5195181347897215,0.04087755946492297,MTO1
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",MYH6-related_disorder|Hypertrophic_cardiomyopathy_14|Abnormal_heart_morphology|not_provided,,,,MYH6,MYH6,MYH6,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,12.2572736645283,14.171820575384613,-1.9145469108563165,0.10471348812544527,-18.283670471971256,2.971596708120562e-39,1.0223913546866435e-35,1.9145469108563165,MYH6
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Progressive_sensorineural_hearing_loss-hypertrophic_cardiomyopathy_syndrome|Rare_genetic_deafness|not_provided,,,,MYO6,MYO6,MYO6,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.448452026330191,6.422641678820514,0.025810347509674897,0.029171979044347963,0.8847650504080429,0.3777686042630678,0.6846321946557261,0.025810347509674897,MYO6
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,,NEXN,NEXN,NEXN,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.856179256037732,11.53136450179487,0.32481475424286044,0.05192795284958578,6.255104166800432,4.335134628853129e-09,7.321173813635676e-08,0.32481475424286044,NEXN
PKP2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided|Hypertrophic_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_9,,,,PKP2,PKP2,PKP2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.282453197264152,10.791885522358973,0.4905676749051761,0.07508944830650921,6.533110656276466,1.0539527253601543e-09,1.9796343058738784e-08,0.4905676749051761,PKP2
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,,PMS2,PMS2,PMS2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,6.4343574321415105,6.348657238307693,0.0857001938338157,0.018820772351036085,4.553489741832933,1.119753915304287e-05,0.00010468924574754457,0.0857001938338157,PMS2
PRKAG2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_6|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Familial_Hypertrophic_Cardiomyopathy_with_Wolff-Parkinson-White_Syndrome|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Wolff-Parkinson-White_pattern|Hypertrophic_cardiomyopathy_6|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,PRKAG2,PRKAG2,PRKAG2,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,8.99365839821698,9.023998213153845,-0.03033981493686594,0.053708584102368534,-0.5648969423405068,0.5730289742119707,0.8235884547424198,0.03033981493686594,PRKAG2
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,reviewed_by_expert_panel,Autosomal_dominant_PTPN11-related_disorders|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|Hypertrophic_cardiomyopathy | Brachycephaly|Microcephaly|Ptosis|Global_developmental_delay|Pectus_excavatum|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|not_provided|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|RASopathy|Noonan_syndrome|Noonan_syndrome_3|Hypertrophic_cardiomyopathy,,,,PTPN11,PTPN11,PTPN11,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,11.133161046452829,10.534854987948721,0.5983060585041104,0.05438474090332427,11.001358994569356,8.866490051540772e-21,1.0519159325724516e-18,0.5983060585041104,PTPN11
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Noonan_syndrome_and_Noonan-related_syndrome|Cardiovascular_phenotype|Inborn_genetic_diseases|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5|Noonan_syndrome_1|Primary_familial_hypertrophic_cardiomyopathy | RAF1-related_disorder|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|not_provided|RASopathy|Hypertrophic_cardiomyopathy_1|LEOPARD_syndrome_2|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,RAF1,RAF1,RAF1,GSE36961,HCM,HCM_vs_Control,disease_only,106.0,39.0,9.855651122716983,9.91085778333333,-0.0552066606163541,0.036153964772614476,-1.5269877304901136,0.12897288771729865,0.3623150169647331,0.0552066606163541,RAF1
RPL36A-HNRNPH2,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,,RPL36A-HNRNPH2,,,,,,,,,,,,,,,,,RPL36A-HNRNPH2
