gene_symbol,disease_group,source_resource_layer,stratum,is_prespecified_h4_gene,MCI,Adj_MCI,MCI_tier,bootstrap_majority_tier,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_median_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,sigma_disease,sigma_GTEx,sigma_disease_to_GTEx_ratio,GTEx_low_confidence_flag,GTEx_adjustment_status,n_cohorts_available,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,resource_interpretation,has_DCM_generalization_entry,DCM_MCI_if_available,DCM_tier_if_available,resource_version,resource_release_date_utc,primary_data_type,resource_status
SLC25A4,HCM,primary_HCM_bulk_RNA_resource,,False,0.5959726762202882,0.6507376101761548,MODERATE,HIGH,0.5863013653604052,1.0,0.4136986346395948,,0.579,0.421,0.0,0.114269854115312,1.7375027656808533,0.0657667178276602,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.3218266939627278,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
PRKAG2,HCM,primary_HCM_bulk_RNA_resource,,False,0.5838875374447547,0.7021895041115338,MODERATE,MODERATE,0.5703568397147402,1.0,0.42964316028525984,,0.321,0.679,0.0,0.1904756327909202,1.263276407834176,0.1507790627685996,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.2872977260326324,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
TPM1,HCM,primary_HCM_bulk_RNA_resource,HCM_sarcomeric,True,0.5680418520168269,0.6055232772584626,MODERATE,MODERATE,0.5205612837145948,1.0,0.47943871628540524,,0.314,0.686,0.0,0.0722510543665977,1.5438802032286714,0.0467983553487513,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,1.0,0.2420243390956957,0.3333333333333333,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",True,0.125,UNSTABLE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
MT-TI,HCM,primary_HCM_bulk_RNA_resource,,False,0.5439293516517061,0.6852454789109648,MODERATE,MODERATE,0.5439293516517061,0.75,0.20607064834829392,,0.486,0.514,0.0,0.2413092288232419,1.2229475989867138,0.1973177174747154,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,2,1.0,0.4112267190048745,0.0,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence.",False,,INSUFFICIENT_COVERAGE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
PTPN11,HCM,primary_HCM_bulk_RNA_resource,,False,0.4333303385227627,0.614706227050229,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.343,0.0,0.657,0.4131719225570806,1.2275037797598385,0.3365952344667467,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.3809438243507508,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
PLN,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.4130468243349183,0.5114963955709492,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.346,0.0,0.654,0.360495812616969,2.006740516398898,0.1796424648184608,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.3229909266711952,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,True,0.25,UNSTABLE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
LZTR1,HCM,primary_HCM_bulk_RNA_resource,,False,0.4113290672251504,0.6288421420400978,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.356,0.0,0.644,0.2775036453680588,0.6267951797070186,0.4427341727448697,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.3180830492147154,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
LMNA,HCM,primary_HCM_bulk_RNA_resource,HCM_non_sarcomeric,True,0.3999888656354379,0.6623972027678536,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.358,0.0,0.642,0.4945396786888619,0.8589479191421264,0.5757504822676363,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.2856824732441083,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,True,0.125,UNSTABLE,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
MYL2,HCM,primary_HCM_bulk_RNA_resource,HCM_sarcomeric,True,0.3921424779050579,0.5096261954292214,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.326,0.127,0.547,0.3745457850129671,1.622826634441314,0.230798396491632,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.2632642225858798,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
MRPL44,HCM,primary_HCM_bulk_RNA_resource,,False,0.3858025289641727,0.4333186045734151,UNSTABLE,UNSTABLE,0.2166666666666666,1.0,0.7833333333333334,,0.341,0.0,0.659,0.1116092000106587,1.2523608811481486,0.089119040438517,True,LOW_CONFIDENCE_DISEASE_VARIABILITY_WITHIN_GTEx_BASELINE,3,0.3333333333333333,0.2451500827547792,0.6666666666666666,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.,False,,,v0.2-resource-reframe-corrected-source,2026-07-09,bulk_RNA_expression,browser_ready_table_candidate
