gene_symbol,disease_group,n_plp_variants,max_review_weight,review_status_examples,condition_examples
LOC126806423,DCM,14,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype | Cardiomyopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J
LOC126806424,DCM,15,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Cardiovascular_phenotype|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J
LOC126806425,DCM,15,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype|Cardiomyopathy | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|not_provided
LOC126806426,DCM,10,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype | Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Cardiovascular_phenotype | Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Cardiovascular_phenotype|not_provided
LOC126806427,DCM,9,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G
LOC126806429,DCM,2,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|not_provided
LOC126806431,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_provided
LOC126859796,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1J|EYA4-related_disorder
LOC126859827,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided"
LOC129931597,DCM,6,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Dilated_cardiomyopathy_1A | Charcot-Marie-Tooth_disease_type_2|Dilated_cardiomyopathy_1A | Congenital_muscular_dystrophy_due_to_LMNA_mutation|Dilated_cardiomyopathy_1A|Charcot-Marie-Tooth_disease_type_2
