gene_symbol,n_cohorts_bootstrapped,n_bootstrap_iterations,MCI_bootstrap_point_estimate,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_mean_MCI,bootstrap_median_MCI,bootstrap_sd_MCI,bootstrap_prob_HIGH,bootstrap_prob_MODERATE,bootstrap_prob_UNSTABLE,bootstrap_prob_MODERATE_or_HIGH,bootstrap_majority_tier
MYL3,3,1000,0.7526322412963301,0.6108987375679494,1.0,0.38910126243205057,0.7933290868364073,0.7883768003265806,0.1067372876432706,0.766,0.234,0.0,1.0,HIGH
MYO6,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.3455423190117161,0.1374233752022481,0.27618592736935027,0.343,0.0,0.657,0.343,UNSTABLE
NEXN,3,1000,0.21666666666666667,0.13333333333333333,1.0,0.8666666666666667,0.3977485553579638,0.21666666666666667,0.3020929218015607,0.308,0.0,0.692,0.308,UNSTABLE
PKP2,3,1000,0.3,0.21666666666666667,1.0,0.7833333333333333,0.5071715107566732,0.3,0.3331476973617869,0.34,0.0,0.66,0.34,UNSTABLE
PLN,3,1000,0.41304682433491835,0.21666666666666667,1.0,0.7833333333333333,0.5533853720950171,0.41304682433491835,0.29033542890277353,0.346,0.0,0.654,0.346,UNSTABLE
PMS2,3,1000,0.7754141536439366,0.6746318002650559,1.0,0.32536819973494413,0.8294314500121889,0.8125030462739969,0.08369631095845023,0.908,0.092,0.0,1.0,HIGH
PRKAG2,3,1000,0.5838875374447547,0.5703568397147402,1.0,0.42964316028525984,0.6773830858345482,0.6878786990644548,0.10377944949887456,0.321,0.679,0.0,1.0,MODERATE
PTPN11,3,1000,0.4333303385227627,0.21666666666666667,1.0,0.7833333333333333,0.5719075302145818,0.4333303385227627,0.3000823394464957,0.343,0.0,0.657,0.343,UNSTABLE
RAF1,3,1000,0.6752302474844579,0.6470003306746381,1.0,0.35299966932536186,0.7301968194013095,0.6991505365938835,0.08008695366463893,0.443,0.557,0.0,1.0,MODERATE
RBM20,3,1000,0.8035740008093487,0.6521712865278577,1.0,0.3478287134721423,0.8186375091151197,0.8035740008093487,0.12316010113654052,0.771,0.229,0.0,1.0,HIGH
RPL36A-HNRNPH2,1,0,,,,,,,,,,,,INSUFFICIENT_COVERAGE
SLC25A4,3,1000,0.5959726762202882,0.5863013653604052,1.0,0.4136986346395948,0.6923303661033497,0.7137936315718616,0.0965125619749855,0.579,0.421,0.0,1.0,HIGH
SSUH2,2,1000,0.6571492956096299,0.6571492956096299,1.0,0.34285070439037013,0.7615748731511519,0.6571492956096299,0.140750501006799,0.465,0.535,0.0,1.0,MODERATE
TCAP,3,1000,0.27310644365439957,0.13333333333333333,1.0,0.8666666666666667,0.44705147217502955,0.2731064436543996,0.283498892933958,0.349,0.0,0.651,0.349,UNSTABLE
TINF2,3,1000,0.9040539606172329,0.8588218279454006,1.0,0.14117817205459937,0.9269957180987914,0.9040539606172329,0.05497013366329436,1.0,0.0,0.0,1.0,HIGH
TMEM43,3,1000,0.9294960052251762,0.9042704134486832,1.0,0.0957295865513168,0.9471680485590526,0.9369884392064927,0.02805362366599107,1.0,0.0,0.0,1.0,HIGH
TNNC1,3,1000,0.7751828097694213,0.6743865142816066,1.0,0.32561348571839344,0.7906359012171638,0.7751828097694213,0.08028548008541725,0.787,0.213,0.0,1.0,HIGH
TNNI3,3,1000,0.9617210925247786,0.9536602195813106,1.0,0.04633978041868936,0.9724444345564045,0.9743084121975354,0.014081623904414966,1.0,0.0,0.0,1.0,HIGH
TNNT2,3,1000,0.21427050210883974,0.13333333333333333,0.75,0.6166666666666667,0.36513132088528644,0.21427050210883974,0.2626006504098976,0.315,0.0,0.685,0.315,UNSTABLE
TPM1,3,1000,0.5680418520168269,0.5205612837145948,1.0,0.47943871628540524,0.6376757066750749,0.5957759261690173,0.11625338241984427,0.314,0.686,0.0,1.0,MODERATE
TRIM63,3,1000,0.8197933145443262,0.7447549899346929,1.0,0.2552450100653071,0.8226550399667713,0.8197933145443262,0.06545032479844472,1.0,0.0,0.0,1.0,HIGH
TTN,3,1000,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.3361981627415705,0.193883051434433,0.23474130038186236,0.112,0.238,0.65,0.35,UNSTABLE
