dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction
GSE141910,HCM_vs_Control,FRAT1,0.030083800455302623,0.13102316568972713,0.22960672867989895,0.8186417954022448,0.881442105285667,9.584966508171501,9.5548827077162,28,166,0.030083800455302623,up_in_HCM
GSE141910,HCM_vs_Control,R3HCC1,0.02490995815962388,0.10878605311710032,0.22898117401878815,0.8191272686150088,0.8819135285763104,12.288784689575678,12.26387473141606,28,166,0.02490995815962388,up_in_HCM
GSE141910,HCM_vs_Control,PPIL4,0.018991113711475716,0.08296439391579923,0.2289067974238424,0.8191849945931908,0.8819243896780496,12.262896447322046,12.243905333610568,28,166,0.018991113711475716,up_in_HCM
GSE141910,HCM_vs_Control,ARPC3P1,-0.05018921639799698,0.2197002269720412,-0.22844408078096343,0.819544145479991,0.8822597409589507,4.623241236861381,4.673430453259383,28,166,0.05018921639799698,down_in_HCM
GSE141910,HCM_vs_Control,GRM5,0.061974502153496334,0.2718351087487582,0.22798564335107963,0.8199000125580052,0.8825915183443627,4.740689071458118,4.678714569304624,28,166,0.061974502153496334,up_in_HCM
GSE141910,HCM_vs_Control,NOVA2,0.015030804114756047,0.06600946583940193,0.22770679816324102,0.8201164874777425,0.8827667966187386,10.569464289920507,10.554433485805754,28,166,0.015030804114756047,up_in_HCM
GSE141910,HCM_vs_Control,RAB8A,0.01594883665100938,0.07005764248751363,0.22765305946245537,0.8201582078454224,0.8827667966187386,11.45644943106809,11.440500594417086,28,166,0.01594883665100938,up_in_HCM
GSE141910,HCM_vs_Control,PPIH,-0.021515750310686255,0.09455527580748792,-0.2275467987052543,0.820240705541267,0.8828042661290318,11.26357567618974,11.28509142650043,28,166,0.021515750310686255,down_in_HCM
GSE141910,HCM_vs_Control,POLA1,-0.020381563855717988,0.0896859497811621,-0.22725481422062158,0.8204674039422662,0.8829969218220658,11.242446377690438,11.262827941546155,28,166,0.020381563855717988,down_in_HCM
GSE141910,HCM_vs_Control,SENP3,-0.02596631866723359,0.11432213140286528,-0.22713291248681872,0.8205620536102951,0.8830268151020665,11.006803567832776,11.032769886499999,28,166,0.02596631866723359,down_in_HCM
GSE141910,HCM_vs_Control,PSMG2,-0.012042543849894727,0.05302838607414582,-0.22709617888533312,0.8205905756504052,0.8830268151020665,12.9336235355309,12.945666079380802,28,166,0.012042543849894727,down_in_HCM
GSE141910,HCM_vs_Control,SLC12A2-DT,-0.012139128415889877,0.05347556089659075,-0.22700329295029026,0.8206626985961536,0.8830530973037252,11.99936610688602,12.011505235301911,28,166,0.012139128415889877,down_in_HCM
GSE141910,HCM_vs_Control,MRPS36P1,0.03616352230004011,0.1594250306802498,0.22683716694758765,0.8207916939130169,0.8831009334736984,7.271051828082653,7.23488830578261,28,166,0.03616352230004011,up_in_HCM
GSE141910,HCM_vs_Control,C3orf18,-0.023468944780360823,0.10349516648998275,-0.2267636796606571,0.820848757675706,0.8831009334736984,13.172599861855906,13.196068806636266,28,166,0.023468944780360823,down_in_HCM
GSE141910,HCM_vs_Control,DCTN2,-0.014004080668022723,0.06175680412598803,-0.22676174498041474,0.820850259991109,0.8831009334736984,14.498412443153558,14.51241652382158,28,166,0.014004080668022723,down_in_HCM
GSE141910,HCM_vs_Control,TOP2B,0.017435602945875983,0.07692177703792773,0.2266666686246605,0.8209240893760401,0.883129041002884,14.945028335359611,14.927592732413743,28,166,0.017435602945875983,up_in_HCM
GSE141910,HCM_vs_Control,SBF1,-0.03311102659972398,0.14622990979551417,-0.22643128649963587,0.8211068768978693,0.8832297766480218,12.677731909504653,12.710842936104372,28,166,0.03311102659972398,down_in_HCM
GSE141910,HCM_vs_Control,RPS24,-0.02400503828483469,0.10601845097064265,-0.22642321279983496,0.8211131467557448,0.8832297766480218,16.490344917062554,16.514349955347395,28,166,0.02400503828483469,down_in_HCM
GSE141910,HCM_vs_Control,DDT,-0.03859881950222033,0.1710472160220937,-0.22566178158219555,0.8217045092229409,0.8838145235442891,12.619582972395733,12.658181791897956,28,166,0.03859881950222033,down_in_HCM
GSE141910,HCM_vs_Control,KLHL38,-0.07697199574548019,0.3414513185437387,-0.22542597308969053,0.821887669657973,0.883960171287867,12.167083851693354,12.244055847438837,28,166,0.07697199574548019,down_in_HCM
GSE141910,HCM_vs_Control,PPP1R12B,-0.03476753773298613,0.15452821915946588,-0.22499151237294504,0.8222251556112601,0.8842403333067586,17.628026618230493,17.662794155963475,28,166,0.03476753773298613,down_in_HCM
GSE141910,HCM_vs_Control,GNA11,0.030082026711645837,0.13371711605721603,0.22496766007706956,0.8222436848633851,0.8842403333067586,13.366922613384132,13.336840586672487,28,166,0.030082026711645837,up_in_HCM
GSE141910,HCM_vs_Control,NUTM2D,0.03431954955832933,0.1532781591680486,0.22390371690661176,0.8230702925804593,0.8850778535398491,8.738018617006542,8.703699067448216,28,166,0.03431954955832933,up_in_HCM
GSE141910,HCM_vs_Control,GUSBP18,0.029602564466276016,0.13234741676772538,0.2236731565243137,0.8232494476226169,0.8852190871718364,8.060382912533694,8.03078034806742,28,166,0.029602564466276016,up_in_HCM
GSE141910,HCM_vs_Control,RPS2P46,-0.025238129873994486,0.11288559141936165,-0.2235726416158524,0.8233275548094763,0.8852516565331533,13.45147063236844,13.476708762242435,28,166,0.025238129873994486,down_in_HCM
GSE141910,HCM_vs_Control,DPYSL4,0.04830217130804626,0.21629241928123907,0.22331883599323135,0.8235247875624261,0.8854122999095878,11.93212381338003,11.883821642071988,28,166,0.04830217130804626,up_in_HCM
GSE141910,HCM_vs_Control,COX19,0.015617508360696586,0.07001087564970383,0.22307260430276668,0.8237161453375758,0.8855362282032706,11.204554979117741,11.188937470757041,28,166,0.015617508360696586,up_in_HCM
GSE141910,HCM_vs_Control,ATP13A3,0.042325256863401106,0.18975900919370833,0.22304741705409603,0.8237357200825649,0.8855362282032706,14.897304168784474,14.854978911921085,28,166,0.042325256863401106,up_in_HCM
GSE141910,HCM_vs_Control,FLVCR1-DT,-0.03818750336055354,0.17125770996890058,-0.22298268129060103,0.8237860312082025,0.8855388918683923,8.586858045874575,8.62504554923513,28,166,0.03818750336055354,down_in_HCM
GSE141910,HCM_vs_Control,ISCA2,0.01892075357452344,0.08496497409313794,0.22268886416398667,0.8240143881972591,0.8857329366948765,12.646481587548198,12.627560833973671,28,166,0.01892075357452344,up_in_HCM
GSE141910,HCM_vs_Control,NDUFA4P1,0.038463162044376,0.1728373478573316,0.22253964505475618,0.8241303682169584,0.8858061720158239,10.083041084405965,10.04457792236159,28,166,0.038463162044376,up_in_HCM
GSE141910,HCM_vs_Control,LRRTM2,-0.05723988262946286,0.257438225373997,-0.22234414701354788,0.8242823242280986,0.8859180649309021,4.971279361548661,5.028519244178124,28,166,0.05723988262946286,down_in_HCM
