gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,dataset,contrast,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction,matched_in_DE
PKP2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided|Hypertrophic_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_9,,,,GSE141910,HCM_vs_Control,-0.3178644496181332,0.14239759110101963,-2.2322319300516393,0.026755314582123414,0.06830131534181616,16.296654613120538,16.614519062738673,28.0,166.0,0.3178644496181332,down_in_HCM,True
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,,GSE141910,HCM_vs_Control,0.061446970925158606,0.11172915592757035,0.5499636188515761,0.582983517867099,0.7064720734616484,10.455610959083485,10.394163988158333,28.0,166.0,0.061446970925158606,up_in_HCM,True
PRKAG2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_6|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Familial_Hypertrophic_Cardiomyopathy_with_Wolff-Parkinson-White_Syndrome|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Wolff-Parkinson-White_pattern|Hypertrophic_cardiomyopathy_6|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.3534387964355984,0.07120823590663207,-4.96345390298709,1.5227383265441434e-06,1.5538981905361973e-05,14.494319298906712,14.847758095342307,28.0,166.0,0.3534387964355984,down_in_HCM,True
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,reviewed_by_expert_panel,Autosomal_dominant_PTPN11-related_disorders|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|Hypertrophic_cardiomyopathy | Brachycephaly|Microcephaly|Ptosis|Global_developmental_delay|Pectus_excavatum|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|not_provided|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|RASopathy|Noonan_syndrome|Noonan_syndrome_3|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.1423931905591081,0.13338579216174284,-1.0675289193203046,0.2870734823074961,0.4309244610361368,15.290413838546497,15.432807029105613,28.0,166.0,0.1423931905591081,down_in_HCM,True
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Noonan_syndrome_and_Noonan-related_syndrome|Cardiovascular_phenotype|Inborn_genetic_diseases|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5|Noonan_syndrome_1|Primary_familial_hypertrophic_cardiomyopathy | RAF1-related_disorder|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|not_provided|RASopathy|Hypertrophic_cardiomyopathy_1|LEOPARD_syndrome_2|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.3194775548119728,0.07434766853820064,-4.29707563254417,2.7480790806499696e-05,0.00019880886291548608,15.144000025319674,15.463477580131658,28.0,166.0,0.3194775548119728,down_in_HCM,True
RPL36A-HNRNPH2,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,,,,,,,,,,,,,,,False
SLC25A4,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Myopia|Progressive_sensorineural_hearing_impairment|Vertigo|Hypertrophic_cardiomyopathy|Mitochondrial_respiratory_chain_defects|Abnormality_of_mitochondrial_metabolism|Inborn_mitochondrial_myopathy|Mitochondrial_DNA_depletion_syndrome_12B_(cardiomyopathic_type),_autosomal_recessive|not_provided|Progressive_external_ophthalmoplegia_with_mitochondrial_DNA_deletions,_autosomal_dominant_2|Left_ventricular_hypertrophy",,,,GSE141910,HCM_vs_Control,-0.2161473585797954,0.06862044909274569,-3.149897172600197,0.0018946098747413872,0.007663297489859581,18.0546382786361,18.270785637215898,28.0,166.0,0.2161473585797954,down_in_HCM,True
SSUH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome",,,,GSE141910,HCM_vs_Control,1.079649628532774,0.16595308688951255,6.505752009612078,6.547468167576252e-10,1.4836386558915442e-08,9.64569922735586,8.566049598823092,28.0,166.0,1.079649628532774,up_in_HCM,True
TCAP,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Abnormality_of_the_musculature|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25 | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Hypertrophic_cardiomyopathy_25|Primary_familial_hypertrophic_cardiomyopathy|Cardiovascular_phenotype | Hypertrophic_cardiomyopathy_25|Primary_familial_hypertrophic_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G | Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy,,,,GSE141910,HCM_vs_Control,0.12840556407365555,0.17916982520520874,0.7166695838799234,0.47444885205372334,0.6144006434016914,18.01691526108335,17.888509697009695,28.0,166.0,0.12840556407365555,up_in_HCM,True
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dyskeratosis_congenita,_autosomal_dominant_3|Dyskeratosis_congenita,_autosomal_dominant_1|Revesz_syndrome|not_provided|Dyskeratosis_congenita|Hypertrophic_cardiomyopathy_1",,,,GSE141910,HCM_vs_Control,-0.12190776854774366,0.04794295330592916,-2.5427671876998694,0.011786605486419533,0.0349581201454645,12.85051060910904,12.972418377656783,28.0,166.0,0.12190776854774366,down_in_HCM,True
TMEM43,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Arrhythmogenic_right_ventricular_cardiomyopathy|Cardiomyopathy|Primary_dilated_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_5|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,-0.32572688823967016,0.093185329604639,-3.495473907981484,0.0005876604846781539,0.0028294820683606404,14.016233684789269,14.341960573028937,28.0,166.0,0.32572688823967016,down_in_HCM,True
TNNC1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_specified|Dilated_cardiomyopathy_1Z|Hypertrophic_cardiomyopathy_13|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy,,,,GSE141910,HCM_vs_Control,0.16110553820497298,0.12104940193149025,1.3309073455493245,0.18479780980411278,0.31081692131403105,18.44034763319188,18.279242094986895,28.0,166.0,0.16110553820497298,up_in_HCM,True
TRIM63,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Inborn_genetic_diseases|Hypertrophic_cardiomyopathy|See_cases|Cardiomyopathy,_familial_hypertrophic,_31",,,,GSE141910,HCM_vs_Control,-0.2142254910891646,0.10339642362023588,-2.071884922016183,0.03961258098225748,0.09388653331513669,15.616332035385753,15.830557526474916,28.0,166.0,0.2142254910891646,down_in_HCM,True
TTN,HCM,,ClinVar_PLP_review2plus,False,True,115,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy",,,,GSE141910,HCM_vs_Control,-0.3700376070092879,0.18003726802953662,-2.0553389365394064,0.041200048719245284,0.09689234018538972,19.792225669812503,20.162263276821793,28.0,166.0,0.3700376070092879,down_in_HCM,True
