dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM,mean_Control,n_DCM,n_Control,abs_log2FC,direction
GSE141910,DCM_vs_Control,ZNF805,-0.2494997604304663,0.09751823351269726,-2.55849343700407,0.010958621233048672,0.018398200316262815,8.061947552914637,8.3114473133451,166,166,0.2494997604304663,down_in_DCM
GSE141910,DCM_vs_Control,KLHL24,-0.22275025132040938,0.08706812017963389,-2.5583445566625764,0.010963221223193568,0.01840425412631325,14.869936310106516,15.092686561426929,166,166,0.22275025132040938,down_in_DCM
GSE141910,DCM_vs_Control,SNX18P3,-0.3870386587582759,0.15131357966623551,-2.5578580561771,0.01097826476145015,0.018427837113856798,5.201971987227615,5.589010645985891,166,166,0.3870386587582759,down_in_DCM
GSE141910,DCM_vs_Control,CNDP2,-0.07865651915379157,0.030751595757810207,-2.557802846176352,0.010979973125355365,0.018429033768785484,13.875571386216583,13.954227905370374,166,166,0.07865651915379157,down_in_DCM
GSE141910,DCM_vs_Control,RPS27AP12,0.2920590193903423,0.11419994494843713,2.5574357283815767,0.010991338893231598,0.01844643794129241,5.204668891916333,4.912609872525985,166,166,0.2920590193903423,up_in_DCM
GSE141910,DCM_vs_Control,NUP214,-0.06652822990602214,0.026024383292883306,-2.5563806510725318,0.011024061995806557,0.018499679090678643,12.602600207907113,12.669128437813137,166,166,0.06652822990602214,down_in_DCM
GSE141910,DCM_vs_Control,FRAT1,0.1712999799171553,0.06701671527914203,2.5560784231761637,0.011033451566903692,0.018513757713957045,9.726182687633356,9.5548827077162,166,166,0.1712999799171553,up_in_DCM
GSE141910,DCM_vs_Control,TMEM108,0.2446938968360639,0.09574800597485372,2.5556030576796327,0.011048234593957535,0.018536883001444248,8.192272573451541,7.947578676615468,166,166,0.2446938968360639,up_in_DCM
GSE141910,DCM_vs_Control,CADM2,-0.3668304661420141,0.14354510997827974,-2.555506531692514,0.011051238539863594,0.018540242781014474,8.402089974276405,8.768920440418416,166,166,0.3668304661420141,down_in_DCM
GSE141910,DCM_vs_Control,GFER,0.19822127105430454,0.07756804525023174,2.5554501265933647,0.01105299423737229,0.01854150800258003,11.377833413875516,11.17961214282121,166,166,0.19822127105430454,up_in_DCM
GSE141910,DCM_vs_Control,LINC02587,0.3313124447133231,0.1296536261663274,2.555365819759609,0.011055618884389551,0.018544230534266896,8.454540795119684,8.123228350406356,166,166,0.3313124447133231,up_in_DCM
GSE141910,DCM_vs_Control,RAB4B,0.19353745524492627,0.07575087769814916,2.5549203009387047,0.011069498049869678,0.018565828718720544,10.002149856604627,9.808612401359706,166,166,0.19353745524492627,up_in_DCM
GSE141910,DCM_vs_Control,GPS1,0.22102456170301554,0.08656464791679781,2.5532889813801907,0.011120451048270355,0.018649597812902353,13.201918280697958,12.980893718994952,166,166,0.22102456170301554,up_in_DCM
GSE141910,DCM_vs_Control,TASOR,-0.12056960253294946,0.047224481993967844,-2.5531164650646727,0.011125851678854295,0.01865696486690485,13.073556961025599,13.194126563558546,166,166,0.12056960253294946,down_in_DCM
GSE141910,DCM_vs_Control,CRTC3-AS1,0.28326601310879074,0.11096468811740988,2.5527581604074956,0.01113707590006442,0.01867409529371367,4.4672895094175304,4.184023496308738,166,166,0.28326601310879074,up_in_DCM
GSE141910,DCM_vs_Control,TERF1P4,0.31109568347286465,0.12187833209729029,2.5525101805998642,0.011144850009480995,0.018685438165687525,4.912346528186223,4.6012508447133555,166,166,0.31109568347286465,up_in_DCM
GSE141910,DCM_vs_Control,ZNF23,-0.48437936389955194,0.18981045700076485,-2.551910845974098,0.011163659007343113,0.018715278384763476,6.788377578569296,7.272756942468847,166,166,0.48437936389955194,down_in_DCM
GSE141910,DCM_vs_Control,PFAS,-0.11485749846747417,0.04501178355216782,-2.551720669641017,0.011169633252989955,0.018723598371296907,10.554503830400153,10.669361328867636,166,166,0.11485749846747417,down_in_DCM
GSE141910,DCM_vs_Control,GARS1,-0.08822191123938161,0.03457490753445086,-2.551616693449613,0.011172900792375417,0.018727380024377193,13.516092251327684,13.604314162567068,166,166,0.08822191123938161,down_in_DCM
GSE141910,DCM_vs_Control,ZNF652,0.08154052112025045,0.03195972370527885,2.5513525045519163,0.011181206987750995,0.018739605736396357,11.979262452850431,11.897721931730185,166,166,0.08154052112025045,up_in_DCM
GSE141910,DCM_vs_Control,MIB2,0.35135449005567443,0.13771951034717136,2.551232495453691,0.011184981937001287,0.01874423559334705,11.593059107443924,11.241704617388256,166,166,0.35135449005567443,up_in_DCM
GSE141910,DCM_vs_Control,PRDX2,0.19794241519041123,0.07761128861352494,2.5504333032800175,0.011210149959329174,0.018784712726019278,15.565100261327578,15.367157846137161,166,166,0.19794241519041123,up_in_DCM
GSE141910,DCM_vs_Control,WASH3P,0.30607660623802246,0.12002825505346125,2.550037956493613,0.011222618820693189,0.01880390462734121,11.218267871066104,10.91219126482808,166,166,0.30607660623802246,up_in_DCM
GSE141910,DCM_vs_Control,RTEL1-TNFRSF6B,-0.3232499731072389,0.1268022554273743,-2.549244664598096,0.011247675819272076,0.018844183026441984,7.046679540478592,7.369929513585832,166,166,0.3232499731072389,down_in_DCM
GSE141910,DCM_vs_Control,LYG1,-0.1958001800221707,0.0768170012981658,-2.54891725416579,0.011258031979488516,0.018859826806286388,7.777540346260738,7.973340526282911,166,166,0.1958001800221707,down_in_DCM
GSE141910,DCM_vs_Control,GPKOW,0.12140631892497922,0.04764556038371662,2.54811398894725,0.011283475712448185,0.01890074066816443,12.023317094724199,11.901910775799227,166,166,0.12140631892497922,up_in_DCM
GSE141910,DCM_vs_Control,SDHAP3,0.12244494556209684,0.0480537792656422,2.5480814918888868,0.011284506147870075,0.01890075656523285,11.523578004912958,11.401133059350858,166,166,0.12244494556209684,up_in_DCM
GSE141910,DCM_vs_Control,HNRNPD,0.05375943983563225,0.02110128123130422,2.5476860502612007,0.011297051765254406,0.018920057836996095,14.603721393099958,14.549961953264337,166,166,0.05375943983563225,up_in_DCM
GSE141910,DCM_vs_Control,PIWIL2,0.24031871691551476,0.09434392780584887,2.547262155653182,0.011310513884275814,0.01894089041516039,7.302710734003341,7.0623920170878245,166,166,0.24031871691551476,up_in_DCM
GSE141910,DCM_vs_Control,TRNAU1AP,-0.11708584019283341,0.045971853511640584,-2.546902751336445,0.011321939116078752,0.01895830850723281,11.808641341539065,11.925727181731892,166,166,0.11708584019283341,down_in_DCM
GSE141910,DCM_vs_Control,SLC9A8,0.08681221874235323,0.03409991007277585,2.545819580083321,0.011356434717017347,0.01901435072046144,11.809670000321624,11.722857781579268,166,166,0.08681221874235323,up_in_DCM
GSE141910,DCM_vs_Control,GUSBP1,0.08118627310297111,0.03189241789446898,2.545629289432177,0.011362504546837427,0.01902279315207101,10.984186177351148,10.902999904248173,166,166,0.08118627310297111,up_in_DCM
GSE141910,DCM_vs_Control,HSPBAP1,-0.08312920290606085,0.03265728713362228,-2.5455024039787815,0.011366553505748783,0.019027851076220927,11.108965698774773,11.192094901680832,166,166,0.08312920290606085,down_in_DCM
GSE141910,DCM_vs_Control,CPSF7,0.08654069859842028,0.03400395125801255,2.545018899179494,0.011381994107825944,0.01905197621321715,13.817867305650806,13.731326607052386,166,166,0.08654069859842028,up_in_DCM
GSE141910,DCM_vs_Control,INTS1,0.2715553448288013,0.1067189815781462,2.5445833610204738,0.011395918918096087,0.01907355997927067,12.314877256394318,12.043321911565513,166,166,0.2715553448288013,up_in_DCM
GSE141910,DCM_vs_Control,PHPT1,0.2867649102043597,0.11273119132115443,2.5437938412928593,0.011421199785550222,0.019114144967446324,14.368326425975631,14.081561515771273,166,166,0.2867649102043597,up_in_DCM
GSE141910,DCM_vs_Control,LINC01704,-0.3559671434911722,0.1399391288385168,-2.5437284514036214,0.011423295847500181,0.01911592479659865,4.941377876060368,5.297345019551544,166,166,0.3559671434911722,down_in_DCM
GSE141910,DCM_vs_Control,TMCO1,-0.06394231539198447,0.025150651026263172,-2.542372176577605,0.011466848419149784,0.019187072015882135,13.487974143609536,13.551916459001516,166,166,0.06394231539198447,down_in_DCM
GSE141910,DCM_vs_Control,PLGRKT,-0.10825830629523558,0.04258993546276959,-2.5418753308483093,0.011482840096936283,0.019212093873888968,12.388662551921632,12.49692085821687,166,166,0.10825830629523558,down_in_DCM
GSE141910,DCM_vs_Control,RPL13AP6,0.2831415036978968,0.11139388459273124,2.5418047385015297,0.011485113823307004,0.019214161595055356,7.248699007026653,6.9655575033287604,166,166,0.2831415036978968,up_in_DCM
GSE141910,DCM_vs_Control,IGSF8,0.21665531379628167,0.08527319588748643,2.5407199946176187,0.011520103116922675,0.01927095590526696,11.765411857042553,11.548756543246268,166,166,0.21665531379628167,up_in_DCM
