"feature_id","ensembl_gene_id","gene_symbol","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC"
"ENSG00000232274","ENSG00000232274","ENSG00000232274","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.6889236069583,12.5989008889093,-0.451436431235717,0.239671032202737,-1.8835669337538,0.0611292369978449,0.137689862784762,-5.21269328962246,6.84175217903065,0.451436431235717
"ENSG00000103121","ENSG00000103121","CMC2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,5.95398549846185,4.85691623619114,-0.175594951108402,0.0932565086194446,-1.88292435249703,0.061216777181114,0.13787209782169,-5.21387707786674,13.5656666099209,0.175594951108402
"ENSG00000105968","ENSG00000105968","H2AZ2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,5.03512514501678,4.89463103963421,-0.115374813972526,0.0612825893197747,-1.88266871966679,0.061251631654156,0.137935647746534,-5.21434790641936,15.4265947639187,0.115374813972526
"ENSG00000227345","ENSG00000227345","PARG","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.5435626635447,11.333871053817,-0.104982048294331,0.0557645284088247,-1.88259546507198,0.0612616226660403,0.13794319868057,-5.21448281652529,11.7285171802365,0.104982048294331
"ENSG00000135047","ENSG00000135047","CTSL","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.03497488056485,7.97475230747157,-0.132339547508038,0.070298272792172,-1.88254337200123,0.0612687283378021,0.137944251742997,-5.21457875120725,15.0231895271133,0.132339547508038
"ENSG00000143933","ENSG00000143933","CALM2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.4681286323199,11.4593949764676,-0.115239225122483,0.0612249796949986,-1.88222561602412,0.0613120862280914,0.13802691625024,-5.21516387573145,16.4496957330026,0.115239225122483
"ENSG00000267108","ENSG00000267108","ENSG00000267108","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.8217916753976,10.3456681434348,0.469367779907953,0.249419079377038,1.88184392741834,0.0613642015930008,0.138129275704522,-5.21586660171597,4.17295777348347,0.469367779907953
"ENSG00000105963","ENSG00000105963","ADAP1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,7.6848052768072,8.52287784416091,0.618122921364181,0.328475919388905,1.88179067285704,0.0613714758532229,0.138130687718599,-5.21596463764514,7.40009537728432,0.618122921364181
"ENSG00000186493","ENSG00000186493","ENSG00000186493","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.0093680506621,11.6903686714122,0.561048628251516,0.298213734684325,1.881364145905,0.061429762894818,0.138236752700755,-5.21674973151349,5.800557287276,0.561048628251516
"ENSG00000133612","ENSG00000133612","AGAP3","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,6.03064242094124,6.09666497897526,0.246472863699719,0.131008617701552,1.88134847938938,0.0614319046817512,0.138236752700755,-5.21677856507865,12.3954275962068,0.246472863699719
"ENSG00000168765","ENSG00000168765","GSTM4","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,7.55527666415577,8.23630419411914,-0.200436451638408,0.106551285821134,-1.88112654008585,0.0614622529476426,0.138290069132196,-5.21718701020577,12.7733932902988,0.200436451638408
"ENSG00000196981","ENSG00000196981","WDR5B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.0068035678328,11.0327698865,0.149031493983595,0.0792312341014825,1.88096898494235,0.0614838048325489,0.138323584304991,-5.21747693801432,10.6307364953263,0.149031493983595
"ENSG00000103275","ENSG00000103275","UBE2I","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,6.47073847533493,6.89803818320027,0.1147112992785,0.061004557002132,1.88037262977733,0.061565437052627,0.138492243709747,-5.21857411931527,13.677275723466,0.1147112992785
"ENSG00000123066","ENSG00000123066","MED13L","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.92379792064767,9.46697112713571,-0.284743175074076,0.151450580436801,-1.88010619868768,0.0616019367501792,0.138552962811735,-5.21906419403905,13.7228446448553,0.284743175074076
"ENSG00000270761","ENSG00000270761","ENSG00000270761","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.8173625856654,12.7977014398821,0.53695122139335,0.285600461253988,1.88007827100753,0.0616057637447878,0.138552962811735,-5.21911556048333,4.35816659367464,0.53695122139335
