feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,normalization,transformation,n_samples,n_hcm,n_control,mean_log2CPM_hcm,mean_log2CPM_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
MFAP2,MFAP2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,1.3499158774057152,1.1671367035350588,0.18277917387065584,0.1467471026640259,1.2455385527380702,0.2154013986381638,0.29164897708606885,0.18277917387065584
MFAP5,MFAP5,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.70588842511529,4.930834349023174,-0.22494592390788704,0.18060136570505414,-1.2455383326129073,0.21540147920824212,0.29164897708606885,0.22494592390788704
GNG7,GNG7,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.149250130749554,5.021817902662766,0.1274322280867871,0.10231296509539267,1.245513977314353,0.21541039385562108,0.29164897708606885,0.1274322280867871
DDX28,DDX28,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.4013093009873434,3.3261833274021733,0.07512597358517026,0.060320066320707584,1.2454557524148457,0.21543170671358886,0.29165288198881584,0.07512597358517026
ACSL1,ACSL1,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,8.2516720019899,8.118920907711379,0.1327510942785215,0.10659348546466446,1.245395942348918,0.21545360141360886,0.29165757385782004,0.1327510942785215
PRPF38B,PRPF38B,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,4.75702940747873,4.877457286234083,-0.12042787875535277,0.09672997382784591,-1.2449902960759913,0.215602139387801,0.2918336861059989,0.12042787875535277
NDUFC2,NDUFC2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,5.6182428885121976,5.707174219023665,-0.08893133051147095,0.07144288349797705,-1.2447892100266236,0.21567579998351466,0.29190842474464235,0.08893133051147095
HBB,HBB,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,3.7263106620075046,4.118548204175171,-0.3922375421676661,0.31525489246319466,-1.2441917684543438,0.21589475936754535,0.29215829563391665,0.3922375421676661
PTPRH,PTPRH,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,2.1804565315965476,2.4132555155706426,-0.2327989839740947,0.18711642572002005,-1.2441397545848214,0.21591382986242985,0.29215829563391665,0.2327989839740947
TPM2,TPM2,GSE249925,HCM,HCM_vs_Control,disease_only_log2CPM_OLS,log2CPM_plus_1 ~ HCM_status,CPM,log2(CPM + 1),120,97,23,8.913685544811083,9.028437015976937,-0.11475147116585038,0.09223398411815337,-1.244134385638722,0.2159157984161689,0.29215829563391665,0.11475147116585038
