"mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC"
180.734614224161,-3.05666111442004,0.207510754492189,-14.7301334906721,4.12889464521835e-49,2.28256686041864e-46,"SERPINA1","SERPINA1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.05666111442004
593.22261039025,-4.08775178806342,0.279687770540686,-14.615411250056,2.23997725339722e-48,1.21733272293099e-45,"TUBA3E","TUBA3E","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.08775178806342
18.3923645404377,-6.47136311758424,0.444970772829291,-14.5433442210977,6.43695617794351e-48,3.43990938149301e-45,"MCEMP1","MCEMP1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,6.47136311758424
738.583638489608,-3.28034299918867,0.225805547156764,-14.5272914704408,8.13749016742297e-48,4.27738499554509e-45,"CSRNP1","CSRNP1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.28034299918867
159.486458425925,-2.37730585363696,0.16384286504657,-14.5096696945653,1.05226040063565e-47,5.44188346548087e-45,"CD163L1","CD163L1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.37730585363696
142.036308843381,-2.33011655645476,0.160656708575336,-14.5036990805903,1.14793213510927e-47,5.84242793335614e-45,"HCK","HCK","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.33011655645476
770.835754358287,-1.61002427226061,0.111148010115459,-14.4854079761584,1.49830394563101e-47,7.50650276761138e-45,"HCLS1","HCLS1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.61002427226061
4546.42205212706,-2.4140256718724,0.166815310226513,-14.4712476846069,1.84102047909505e-47,9.08161240641594e-45,"BTG2","BTG2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.4140256718724
1061.95556713108,-4.89150345209706,0.33823280690405,-14.4619426390672,2.10764151530598e-47,1.02393056889047e-44,"PLA2G2A","PLA2G2A","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.89150345209706
4510.29278622014,-2.09115947942197,0.144611069949256,-14.460576774349,2.14988692768837e-47,1.02886529028955e-44,"PLIN2","PLIN2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.09115947942197
75.9148673136531,-2.62237846982854,0.18200641177193,-14.4081653184537,4.59761929562653e-47,2.16791272198484e-44,"SIRPB2","SIRPB2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.62237846982854
1316.10627474449,-1.37824740221382,0.0956805355355211,-14.4046790133417,4.83559183200003e-47,2.2470785000181e-44,"TNFRSF1A","TNFRSF1A","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.37824740221382
45.9711450584374,-3.32509219073478,0.233255940213605,-14.2551233108568,4.16565829504463e-46,1.9081095367473e-43,"SIGLEC10","SIGLEC10","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.32509219073478
473.632681329896,-2.23298695355454,0.15715337032744,-14.2089663677079,8.06064770910882e-46,3.64023391753331e-43,"GFPT2","GFPT2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.23298695355454
112.41225493639,-2.58994033991066,0.182836540062257,-14.1653322636097,1.50155036726945e-45,6.68690430223995e-43,"LILRB2","LILRB2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.58994033991066
639.452603489781,-3.19117855616836,0.225441785306111,-14.1552221644949,1.73388921173941e-45,7.61581146372773e-43,"LYVE1","LYVE1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.19117855616836
1793.27082794921,-2.22463536208982,0.157392191908549,-14.1343438649258,2.33298285750838e-45,1.01087516679931e-42,"TUBA1C","TUBA1C","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.22463536208982
571.67103855428,-1.81287116740622,0.128447950112193,-14.1136636732838,3.12890972488173e-45,1.33767148558144e-42,"NFKBIZ","NFKBIZ","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.81287116740622
2296.93987162128,-1.67356680251921,0.118717756158544,-14.097021849741,3.9613762003973e-45,1.6712837695992e-42,"BCL6","BCL6","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.67356680251921
7634.66028537199,-1.61969492094191,0.114931272957989,-14.0927258461147,4.20992535618353e-45,1.75307852754115e-42,"STAT3","STAT3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.61969492094191
725.09637194533,-2.58200181386749,0.18333230731302,-14.0837250766664,4.78211248463915e-45,1.9658160859932e-42,"VSIG4","VSIG4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.58200181386749
1211.90969025035,-1.39475939492542,0.0996303559992178,-13.9993416759082,1.57321255427545e-44,6.38525156206179e-42,"KIAA0040","KIAA0040","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.39475939492542
86.7058084128989,-3.51818796389598,0.251403113511647,-13.9942099950683,1.69098248195056e-44,6.77745778765783e-42,"PTX3","PTX3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.51818796389598
2564.38606417311,1.70980775460451,0.122461747261388,13.9619741906426,2.65963234371279e-44,1.05282038850379e-41,"PIK3IP1","PIK3IP1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.70980775460451
1252.14110812154,-2.12427950987096,0.15221057697056,-13.9561885392618,2.88452602851811e-44,1.12792003144396e-41,"STEAP4","STEAP4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.12427950987096
4205.82618513019,1.82693720264765,0.131215173624277,13.9232159832286,4.57830957410572e-44,1.76866166486899e-41,"SMOC2","SMOC2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.82693720264765
1711.32398829829,1.04409964888779,0.0750521336109707,13.9116584519747,5.38169365802613e-44,2.05426935060655e-41,"FAM110B","FAM110B","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.04409964888779
725.686174122716,-2.06266640033249,0.14847910670041,-13.8919639683338,7.08652089319164e-44,2.67320242257996e-41,"LAPTM5","LAPTM5","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.06266640033249
133.591424665328,2.40199843455204,0.173155642931541,13.8719038772631,9.37548028224959e-44,3.49552790430292e-41,"TMEM74","TMEM74","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.40199843455204
564.719255029,-3.5358279772935,0.255112141393998,-13.8598968985671,1.10833338477405e-43,4.08478179878104e-41,"SOCS3","SOCS3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.5358279772935
1248.36376567795,2.07424404980983,0.150385196527232,13.7928738845929,2.81325309114201e-43,1.02504712629974e-40,"RASL11B","RASL11B","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.07424404980983
1583.27985758822,-1.63657902140379,0.11934355662069,-13.7131745336309,8.46706508264035e-43,3.05042668325596e-40,"SRGN","SRGN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.63657902140379
560.675358435008,-2.1294570430385,0.155554338651354,-13.689473797393,1.17356036567898e-42,4.18100439612565e-40,"CD68","CD68","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.1294570430385
120.060053620173,1.90852887117386,0.139435210338801,13.687567627549,1.20475066205534e-42,4.24495881627937e-40,"CPEB1","CPEB1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.90852887117386
234.419614972425,-3.03790759505937,0.222039752209132,-13.6818185249913,1.30390429911975e-42,4.54438993988868e-40,"CSF3R","CSF3R","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.03790759505937
1415.46976649421,-3.27895884653629,0.240461700022432,-13.6360960861144,2.44292572234031e-42,8.4225774581849e-40,"ZFP36","ZFP36","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.27895884653629
85.8742435413803,-2.54002288572267,0.18628309253135,-13.6352840786944,2.47027034291188e-42,8.42624981650283e-40,"CCR1","CCR1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.54002288572267
2202.52279899103,-1.62070501996001,0.119150355398594,-13.6021836824427,3.886535172208e-42,1.31176698696503e-39,"TSPYL2","TSPYL2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.62070501996001
1759.36280996472,-1.61394381646144,0.118824329505078,-13.58260402717,5.07881387013971e-42,1.69632383262666e-39,"SAMHD1","SAMHD1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.61394381646144
8692.96483534456,-1.11303813318245,0.0819535711593004,-13.5813255900581,5.1682522005166e-42,1.7084003974986e-39,"SNORA67","SNORA67","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.11303813318245
199.598446977585,-1.55044052550948,0.114413039261816,-13.551257230057,7.78846386052424e-42,2.54825821656989e-39,"CHST7","CHST7","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.55044052550948
435.414632185292,-2.05424049537777,0.151675115492765,-13.5436883545722,8.634238719377e-42,2.79644677068792e-39,"COTL1","COTL1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.05424049537777
281.94046938617,-2.14692081248342,0.159019411681099,-13.500998335907,1.54271356483956e-41,4.94655677430156e-39,"MAP3K8","MAP3K8","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.14692081248342
276.387221106501,-2.00165761315954,0.148335138737053,-13.4941567466882,1.69280896674266e-41,5.37408185243928e-39,"CPM","CPM","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.00165761315954
3679.59059666124,0.992489983190754,0.0736348943839439,13.4785279655017,2.09239806364722e-41,6.57751485419457e-39,"HTRA1","HTRA1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.992489983190754
169.093206153682,-2.0678087560282,0.153479166287537,-13.4728954166603,2.25833294837533e-41,7.030212393855e-39,"ALOX5AP","ALOX5AP","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.0678087560282
47.823172590362,-3.51205235302682,0.2610134409201,-13.4554463580361,2.86006988184666e-41,8.81781545110878e-39,"CHI3L2","CHI3L2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.51205235302682
154.418999297935,-1.9757529910056,0.14687220312069,-13.4521914223759,2.98881415580395e-41,9.12698448492361e-39,"SERPINB8","SERPINB8","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.9757529910056
1603.03128085345,1.17684121546463,0.0874946728109422,13.450432782434,3.06075633718001e-41,9.25849916937167e-39,"ZNF844","ZNF844","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.17684121546463
127.689865698236,-1.43607835338051,0.106804028273376,-13.4459193777291,3.25336913865756e-41,9.74916150111364e-39,"LINC00961","LINC00961","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.43607835338051
75.0597512770509,-2.40643565773961,0.179343930147614,-13.4179933257787,4.74385108483728e-41,1.40839667763169e-38,"STXBP2","STXBP2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.40643565773961
1391.3188488007,-2.15961090411068,0.161222161485113,-13.3952484212916,6.44599979712966e-41,1.89618841738684e-38,"SLC19A2","SLC19A2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.15961090411068
207.465188565083,3.02310324391276,0.226342460071805,13.3563240540627,1.08806085637476e-40,3.17159848170913e-38,"COL9A1","COL9A1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.02310324391276
3210.74591841792,-5.06540812427132,0.380764603291654,-13.303253717603,2.2161051055043e-40,6.40154901827835e-38,"SERPINE1","SERPINE1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,5.06540812427132
1431.68280135041,-2.13720105252311,0.16120577728341,-13.2575959034382,4.07759120384666e-40,1.16735611035839e-37,"ADAMTS9","ADAMTS9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.13720105252311
2989.59272981202,-2.51785980000022,0.190025398837291,-13.2501224331392,4.50467782058266e-40,1.2782122976917e-37,"C1QTNF1","C1QTNF1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.51785980000022
53.7981465965256,-2.32875702033092,0.176051531626182,-13.2277009965223,6.07162693184627e-40,1.70772496440981e-37,"LRRC25","LRRC25","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.32875702033092
132.768547931779,-3.00236392805305,0.22725525671608,-13.211416850982,7.53918383028438e-40,2.10205556812381e-37,"AOX1","AOX1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.00236392805305
105.743083466053,-1.74314628510166,0.132279642325568,-13.1777366075077,1.17874399758494e-39,3.25821099470375e-37,"TBXAS1","TBXAS1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.74314628510166
651.354507995433,-4.02424613121223,0.3067317871054,-13.1197557618292,2.53751411703377e-39,6.95408996996332e-37,"MAFF","MAFF","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.02424613121223
3683.15835429402,1.21066612735229,0.0923529634078731,13.1091205163113,2.91964480516366e-39,7.93351618921759e-37,"MTURN","MTURN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.21066612735229
727.966931978672,-2.16270798162037,0.165001695961498,-13.1071863777996,2.99504972466845e-39,8.07002305645119e-37,"ITPKC","ITPKC","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.16270798162037
3011.97293193977,1.67963648477379,0.128330985537183,13.0883159491292,3.8402805517745e-39,1.02612296343415e-36,"PLCE1","PLCE1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.67963648477379
103.043514973291,-3.03383179509529,0.231940143535326,-13.0802359128195,4.27112549546851e-39,1.13181295774134e-36,"RP11-481J2.2","RP11-481J2.2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.03383179509529
522.962624715976,-1.00583693397304,0.0769073076155152,-13.0785612597641,4.366262639354e-39,1.1475397153135e-36,"CDK2","CDK2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.00583693397304
