"gene_symbol_target","disease_group","stratum","sources","is_prespecified_h4_gene","present_in_strict_clinvar_filter","n_plp_variants","max_review_weight","review_status_examples","condition_examples","matched_in_expression_matrix","expression_gene_id","expression_symbol_match_type","gene_symbol_upper","mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol_de","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC","gene_symbol"
"MYBPC3","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",458,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_4 | Cardiomyopathy|Hypertrophic_cardiomyopathy_4|Cardiovascular_phenotype | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4",NA,NA,NA,"MYBPC3",144154.97607711,0.0874487830243299,0.149394240535476,0.58535578554358,0.558308511936294,0.670522291060204,"MYBPC3","MYBPC3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0874487830243299,"MYBPC3"
"MYH7","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",135,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy|Cardiovascular_phenotype|not_provided | Cardiovascular_phenotype|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",NA,NA,NA,"MYH7",1046004.85290271,0.449774081278351,0.125411299778476,3.58639199237088,0.000335284841404966,0.00136031546941779,"MYH7","MYH7","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.449774081278351,"MYH7"
"MYL2","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",7,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_10",NA,NA,NA,"MYL2",943845.092019584,0.651954225849199,0.0967709407684093,6.73708678113862,1.61593677780912e-11,2.56501964572632e-10,"MYL2","MYL2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.651954225849199,"MYL2"
"MYL3","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",3,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|not_provided",NA,NA,NA,"MYL3",128899.963858479,-0.517369515856775,0.131227261123376,-3.94254601847065,8.06211746818649e-05,0.000380768499778954,"MYL3","MYL3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.517369515856775,"MYL3"
"PLN","HCM","HCM_non_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"PLN",89002.6401815539,0.583084861425442,0.136547549607513,4.2701964487934,1.9530086647311e-05,0.000107118148864075,"PLN","PLN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.583084861425442,"PLN"
"RBM20","HCM","HCM_non_sarcomeric","PreSpecified_H4_Stratum","True","False",0,NA,"nan","nan",NA,NA,NA,"RBM20",14460.9452599853,0.765149951094259,0.0894229699971599,8.55652581342982,1.16319801259175e-17,3.98896054286009e-16,"RBM20","RBM20","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.765149951094259,"RBM20"
"TNNI3","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",14,3,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy,_familial_restrictive,_1|Hypertrophic_cardiomyopathy_7 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"TNNI3",119469.621525448,0.411224920864906,0.165798720472121,2.48026594954365,0.0131284421599825,0.0329562647316744,"TNNI3","TNNI3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.411224920864906,"TNNI3"
"TNNT2","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",27,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3",NA,NA,NA,"TNNT2",312026.730456362,-0.0426254913332086,0.0743059661297348,-0.573648302463176,0.566205818512264,0.677374880621769,"TNNT2","TNNT2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0426254913332086,"TNNT2"
"TPM1","HCM","HCM_sarcomeric","ClinVar_PLP_review2plus;PreSpecified_H4_Stratum","True","True",7,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy",NA,NA,NA,"TPM1",373545.273696424,0.193968349561005,0.069726198283518,2.7818575275293,0.00540487615236162,0.0154265576775256,"TPM1","TPM1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.193968349561005,"TPM1"
"ACTN2","HCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",NA,NA,NA,"ACTN2",143493.596634007,0.248713642942233,0.0724028700368727,3.43513513781388,0.000592258403869114,0.00225268961585519,"ACTN2","ACTN2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.248713642942233,"ACTN2"
"ALPK3","HCM","","ClinVar_PLP_review2plus","False","True",7,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_familial_hypertrophic_27|Cardiovascular_phenotype|not_provided|Primary_familial_hypertrophic_cardiomyopathy | Cardiomyopathy,_familial_hypertrophic_27|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy",NA,NA,NA,"ALPK3",22391.2936784217,0.455760509191109,0.0983961714479122,4.6318927096912,3.62337922156485e-06,2.3301249771411e-05,"ALPK3","ALPK3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.455760509191109,"ALPK3"
"CACNA1C","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Long_QT_syndrome_8|Cardiac_arrhythmia|Long_QT_syndrome|not_provided|Hypertrophic_cardiomyopathy_1|Timothy_syndrome",NA,NA,NA,"CACNA1C",6464.25786465423,-0.239587986877154,0.0853835332723745,-2.80602099368347,0.00501574243610667,0.0144834983313512,"CACNA1C","CACNA1C","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.239587986877154,"CACNA1C"
"CASR","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_hypocalcemia_1|Familial_hypocalciuric_hypercalcemia|Hypertrophic_cardiomyopathy|Hypercalcemia|Hypocalciuria|Parathyroid_gland_adenoma|Familial_hypocalciuric_hypercalcemia_1|Neonatal_severe_primary_hyperparathyroidism|Epilepsy,_idiopathic_generalized,_susceptibility_to,_8|not_provided",NA,NA,NA,"CASR",0.10478014817725,0.48639011293152,1.73191120871016,0.280840097624727,0.778833047294472,NA,"CASR","CASR","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.48639011293152,"CASR"
"CAV3","HCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome | Hypertrophic_cardiomyopathy_1|Long_QT_syndrome_9|Rippling_muscle_disease_2|Distal_myopathy,_Tateyama_type|Elevated_circulating_creatine_kinase_activity|Long_QT_syndrome|not_provided",NA,NA,NA,"CAV3",1208.78519354361,0.570105898381348,0.107589705714194,5.29888890946314,1.16509490956989e-07,9.76669364194743e-07,"CAV3","CAV3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.570105898381348,"CAV3"
"CEP85L","HCM","","ClinVar_PLP_review2plus","False","True",2,2,"criteria_provided,_multiple_submitters,_no_conflicts","PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"CEP85L",627.994273727031,-0.179428646323231,0.161447512964708,-1.11137448343632,0.266407190912417,0.386449519065134,"CEP85L","CEP85L","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.179428646323231,"CEP85L"
"COQ9","HCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided | not_provided|Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome",NA,NA,NA,"COQ9",8269.05161766814,0.0506547250868353,0.0843089992505379,0.600822279200665,0.547958363403941,0.661760337634048,"COQ9","COQ9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0506547250868353,"COQ9"
"DES","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",NA,NA,NA,"DES",446723.791932215,-0.10966191467971,0.115618932627308,-0.948477141137431,0.342886604487822,0.469200925499212,"DES","DES","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.10966191467971,"DES"
"GLA","HCM","","ClinVar_PLP_review2plus","False","True",8,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy",NA,NA,NA,"GLA",385.755021786105,-0.758087998534302,0.077303671095352,-9.80662351208678,1.05437632597169e-22,6.19185394065135e-21,"GLA","GLA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.758087998534302,"GLA"
"KCNH2","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_long_QT_syndrome|not_provided|Long_QT_syndrome|Primary_familial_hypertrophic_cardiomyopathy",NA,NA,NA,"KCNH2",2168.53530308561,-0.556845157814703,0.128651436393431,-4.32832445113015,1.50248021150016e-05,8.45332961950188e-05,"KCNH2","KCNH2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.556845157814703,"KCNH2"
"KIF5B","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy",NA,NA,NA,"KIF5B",10078.750256702,0.573321374913781,0.120353299427279,4.76365315817701,1.90119183758733e-06,1.29097448285473e-05,"KIF5B","KIF5B","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.573321374913781,"KIF5B"
"LAMP2","HCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy|not_provided | Cardiovascular_phenotype|not_provided|Danon_disease|Hypertrophic_cardiomyopathy",NA,NA,NA,"LAMP2",2548.39093851944,-0.0307235990684889,0.0874856837393932,-0.351184305308853,0.725450083767606,0.808341377742721,"LAMP2","LAMP2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0307235990684889,"LAMP2"
"LZTR1","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Hereditary_cancer-predisposing_syndrome|Cardiovascular_phenotype|LZTR1-related_disorder|not_provided|Hypertrophic_cardiomyopathy_1",NA,NA,NA,"LZTR1",1170.53253597653,-0.359419816732052,0.13830882155564,-2.59867601133065,0.00935840540927163,0.0246796470307501,"LZTR1","LZTR1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.359419816732052,"LZTR1"
"MHRT","HCM","","ClinVar_PLP_review2plus","False","True",9,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Cardiomyopathy|not_specified|not_provided|Hypertrophic_cardiomyopathy_1|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|MYH7-related_skeletal_myopathy|Abnormality_of_the_musculature|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|Congenital_muscular_dystrophy | Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",NA,NA,NA,"MHRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MHRT"
"MRPL44","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Infantile_hypertrophic_cardiomyopathy_due_to_MRPL44_deficiency|not_provided",NA,NA,NA,"MRPL44",1897.27386167395,0.193750839812202,0.0632863245476993,3.061496163617,0.00220233814208164,0.00711924288614836,"MRPL44","MRPL44","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.193750839812202,"MRPL44"
"MT-TI","HCM","","ClinVar_PLP_review2plus","False","True",1,3,"reviewed_by_expert_panel","Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome",NA,NA,NA,"MT-TI",3640.07384761369,-0.371733802202506,0.211585078622173,-1.75689989399635,0.0789348737259815,0.148409041348063,"MT-TI","MT-TI","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.371733802202506,"MT-TI"
"MT-TL1","HCM","","ClinVar_PLP_review2plus","False","True",1,3,"reviewed_by_expert_panel","Maternally-inherited_mitochondrial_myopathy|Hypertrophic_cardiomyopathy|MELAS_syndrome|Diabetes-deafness_syndrome_maternally_transmitted|Leigh_Syndrome_(mtDNA_mutation)|Auditory_neuropathy_spectrum_disorder|MT-TL1-related_disorders|MT-TL1-related_disorder|Leigh_syndrome,_mitochondrial|Short_stature|Sensorineural_hearing_loss_disorder|Glucose_intolerance|Stroke_disorder|not_specified|MERRF_syndrome|not_provided|Mitochondrial_disease|Age_related_macular_degeneration_2|MERRF/MELAS_overlap_syndrome|Histiocytoid_cardiomyopathy|Cyclical_vomiting_syndrome|3-methylglutaconic_aciduria_type_1|Leigh_syndrome|Focal_segmental_glomerulosclerosis_1|Cerebral_palsy|Mitochondrial_complex_IV_deficiency,_nuclear_type_1|See_cases",NA,NA,NA,"MT-TL1",18181.2746558149,-0.0294470651377465,0.131375668998863,-0.22414397857796,0.822645272970643,0.879649064702126,"MT-TL1","MT-TL1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0294470651377465,"MT-TL1"
"MTO1","HCM","","ClinVar_PLP_review2plus","False","True",13,2,"criteria_provided,_multiple_submitters,_no_conflicts","Inborn_genetic_diseases|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | Inborn_genetic_diseases|not_provided|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | MTO1-related_disorder|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency|not_provided",NA,NA,NA,"MTO1",966.056802662256,0.0727451752323839,0.0603080603984855,1.20622641072719,0.227730203141892,0.342717602250146,"MTO1","MTO1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0727451752323839,"MTO1"
"MYH6","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","MYH6-related_disorder|Hypertrophic_cardiomyopathy_14|Abnormal_heart_morphology|not_provided",NA,NA,NA,"MYH6",55926.8130981923,-3.12688632993162,0.166500876220595,-18.7799992463034,1.10081639309829e-78,3.92184186981151e-75,"MYH6","MYH6","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.12688632993162,"MYH6"
"MYO6","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Progressive_sensorineural_hearing_loss-hypertrophic_cardiomyopathy_syndrome|Rare_genetic_deafness|not_provided",NA,NA,NA,"MYO6",618.382705925671,0.13234898671161,0.0977259512791795,1.35428701362569,0.175644827647522,0.280891558787538,"MYO6","MYO6","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.13234898671161,"MYO6"
"NEXN","HCM","","ClinVar_PLP_review2plus","False","True",3,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure",NA,NA,NA,"NEXN",25626.218929434,0.32933136870124,0.135961460265709,2.42224059713414,0.0154251340933047,0.0378041351041597,"NEXN","NEXN","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.32933136870124,"NEXN"
"PKP2","HCM","","ClinVar_PLP_review2plus","False","True",1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided|Hypertrophic_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_9",NA,NA,NA,"PKP2",22401.239551332,0.428293546882371,0.0989201550761583,4.32968940002803,1.49319797983445e-05,8.40553020109056e-05,"PKP2","PKP2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.428293546882371,"PKP2"
"PMS2","HCM","","ClinVar_PLP_review2plus","False","True",1,3,"reviewed_by_expert_panel","Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma",NA,NA,NA,"PMS2",288.553617952466,0.35002442599817,0.067369481586959,5.19559328278882,2.04067975537588e-07,1.64196626540457e-06,"PMS2","PMS2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.35002442599817,"PMS2"
"PRKAG2","HCM","","ClinVar_PLP_review2plus","False","True",6,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_6|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Familial_Hypertrophic_Cardiomyopathy_with_Wolff-Parkinson-White_Syndrome|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Wolff-Parkinson-White_pattern|Hypertrophic_cardiomyopathy_6|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy",NA,NA,NA,"PRKAG2",4646.97865823419,0.0391684730540384,0.0834233594153469,0.469514454087458,0.6387019557298,0.73778152275093,"PRKAG2","PRKAG2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.0391684730540384,"PRKAG2"
"PTPN11","HCM","","ClinVar_PLP_review2plus","False","True",2,3,"reviewed_by_expert_panel","Autosomal_dominant_PTPN11-related_disorders|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|Hypertrophic_cardiomyopathy | Brachycephaly|Microcephaly|Ptosis|Global_developmental_delay|Pectus_excavatum|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|not_provided|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|RASopathy|Noonan_syndrome|Noonan_syndrome_3|Hypertrophic_cardiomyopathy",NA,NA,NA,"PTPN11",10083.8051853602,0.619257655720492,0.109731127974417,5.64340918708928,1.66715480917057e-08,1.61692836664383e-07,"PTPN11","PTPN11","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,0.619257655720492,"PTPN11"
